,h0,h1,h2,h3,h4,h5
aphanizomenon,-0.59219015,-1.851267,1.0386133,0.6359747,-1.0542196,0.14825118
askenasia,0.72702175,-0.11068468,0.41115144,-0.7277455,-0.49931738,0.54785746
asplanchna,0.71986973,-2.631036,-0.2899799,0.19887294,-1.3352119,-1.1758207
asterionella,-2.5894325,-1.9952105,1.6212622,-2.1017685,0.8911826,0.15489286
aulacoseira,-2.7567017,-0.9999934,-1.7094926,1.1280683,-1.4910649,1.9814469
bosmina,0.8163419,0.2147694,-1.202247,0.6627526,-0.09635636,0.10266006
centric_diatom,-0.8076549,0.91105634,-1.5435553,-1.5045805,-0.63504374,-0.6093241
ceratium,-0.05582146,0.35406327,1.241536,-0.38279042,-1.4339248,1.1564014
chaoborus,-0.060758784,-1.795872,0.8760653,-0.45503378,-0.63268447,0.56673765
chlorophyte,0.59995043,-0.77866524,-0.13701506,-1.3236729,0.43478048,0.9713247
chlorophyte_colonial_dividing,0.8153709,-0.8197061,0.851131,-1.3648546,0.52040935,1.2845658
chlorophyte_elongated,0.0064428523,-0.98209614,0.99019516,-0.23297074,0.76038486,-0.85958433
chlorophyte_frame,-0.08646209,-1.0266621,2.2389135,-0.50896317,0.98823434,0.24711606
chlorophyte_square,0.76181644,-0.1621742,0.8315495,-1.1955063,0.83570343,1.3552026
chroococcales,1.1680672,-2.0786932,1.1668159,-2.6221094,0.63745975,1.2113338
chydorus,-0.71616524,-2.5204527,-2.3860703,-1.8900703,1.0674113,1.2625165
ciliate,0.25195172,-0.16251178,-0.085012645,0.119574666,0.36147502,-0.75727415
ciliate_big,-0.88846606,-2.2847948,-0.82339823,1.0626924,-0.73277396,1.1937944
ciliate_blue,0.07648624,0.27537435,0.064030655,-0.14271642,0.38847354,0.95149213
ciliate_green,0.6909687,-1.095152,0.7467816,-0.97880554,-1.4651372,0.7070191
ciliate_round,-0.69562805,-0.5597051,-1.1793435,-1.0875137,0.19100012,-0.284007
closterium,-0.40532306,0.2019674,-0.3668435,-0.91027683,-0.20222975,0.9604077
coelastrum_reticulatum,-0.072261445,0.93032,0.39254856,-0.9306305,0.52808136,3.494549
coelosphaerium,-0.2024653,-3.872556,2.1832352,-2.6084206,0.99201137,1.5283122
coleps,0.15006968,-0.49326262,-0.60526943,-1.5170654,0.5455645,1.5658617
collotheca,-0.34750313,-1.0141003,1.7355872,-0.9912563,0.25235376,1.3396041
conochilus,1.1741358,-1.0955453,-0.6357956,0.42340976,-1.950275,-0.42346212
cosmarium,0.44175845,0.003525509,0.7200604,-1.178989,0.32630292,0.6499572
cryptophyte,0.4743351,-0.57104933,-0.05705,0.23893112,0.43559232,0.16752017
cyanobacteria_colonial_blue,1.0646157,-1.1463586,-0.17729591,-1.7690387,-0.021057257,1.9739476
cyanobacteria_colonial_clathrate,-1.0393939,-3.7181773,1.6407657,-1.3191458,-0.8777854,2.010502
cyanobacteria_colonial_probably,0.48427138,-1.8385516,0.7337133,-1.7596657,0.598481,2.3424664
cyanobacteria_filamentous,-2.2314832,-1.2162962,0.32845747,-1.1427014,1.060167,1.6460428
cyclops,0.4421401,-0.37835386,0.56717813,0.16536683,0.18278934,0.07261342
daphnia,0.07659744,-1.4426608,0.19694509,0.74099797,-0.4647912,0.8396878
daphnia_cucullata,0.33355185,-3.458436,-1.4113564,-1.5799531,-0.055177607,3.0960135
diaphanosoma,1.3787419,-3.4484794,0.58123356,-2.644146,1.431927,0.8481566
didinium,0.11254433,0.6974684,-0.022164932,-1.4175446,7.192613e-05,0.5028722
dinobryon,0.77214175,-3.5126877,1.1885802,-3.1635923,-2.056757,1.3716044
dinoflagellate_diamond,-0.983719,-0.30234945,-3.6566591,0.87114364,0.9433361,-1.3351816
dolichospermum,-0.9280448,-1.73844,0.19378403,-1.4388127,-1.0400791,1.7894036
eudiaptomus,-0.24129862,-0.15738782,0.27148986,0.14643408,0.122518815,-0.07351048
fragilaria,-1.9930294,-2.5650766,1.9440165,-1.3135024,-2.1014268,0.95986116
gonium,-0.87121975,-3.127876,4.478879,-1.8529968,0.13204785,-0.32329723
gymnodinium,0.2898945,0.28923732,-0.4104625,-0.49276376,0.41968867,0.7273549
kellicottia,0.22328368,0.14688884,-0.05140872,0.3958114,-0.14720564,-0.29457727
keratella_cochlearis,0.07309584,0.12583491,0.6189078,-0.52890813,-0.4992365,0.4814278
keratella_quadrata,0.23782678,-0.86904377,0.91425717,0.5206423,-1.6314604,-0.3171854
leptodora,0.019047735,-3.0298183,0.03398977,-0.0856753,-0.0018544866,2.237844
limnoraphis,-0.27732733,-2.1500313,-0.8975434,-1.1272812,1.2366909,2.3617432
mallomonas_akrokomos,0.693072,-1.5481477,-0.43611106,-1.0504022,0.07747427,-1.6349094
mallomonas_big,0.24811156,-0.9140059,-0.93776244,-2.2179909,-0.9360448,0.83646536
nauplius,0.4875988,-0.45510513,0.34949958,0.40819868,0.06506663,-0.30216745
oocystaceae,1.1230885,-0.56179804,-0.72280186,-1.7941307,1.0338968,2.4574032
pandorina,-0.4807219,-0.13366075,0.47315446,-0.4193523,-0.31522647,0.8312553
paradileptus,-0.5226124,-0.3565265,0.5909708,-0.61627877,-1.0433896,1.7012382
pediastrum,-0.08373552,-0.23083884,0.32333705,-1.0028275,0.6714973,1.4907709
pennate_diatom,-1.9726187,-0.6478974,1.8948584,-0.055681877,1.0816628,-0.44667637
peridinium,0.5942894,1.5142639,0.29920375,-1.5493728,0.34596485,0.8412024
phacotus,0.027865939,-1.3127149,0.8852319,-0.73381233,-0.883493,1.003498
plankton_x,0.67842567,-1.2978566,0.6163343,-1.3129956,0.094456926,-0.19485311
plankton_y,0.07934029,0.94883996,-0.5400015,-0.27426818,0.18341942,0.38074473
plankton_z,0.58135736,-0.7647073,1.38148,-2.0418198,0.43200874,0.7991402
planktosphaeria,-0.72319597,-1.7011249,-0.43029886,-0.06224735,-1.461008,0.6036091
polyarthra,0.7476098,-0.8612068,0.40042558,0.33441895,-0.28263056,-1.7352152
protist_like_ciliate,0.4941553,0.34644592,0.20383616,-0.96339625,0.41569912,0.88858575
rhodomonas,0.4910829,0.11498177,-0.5553247,0.7925562,0.43105182,-0.1608257
rotifer,0.7906704,-1.2506315,0.503071,0.06694339,-0.87128747,-0.81844056
rotifer_long,0.35842118,-0.99877197,0.9699007,-0.23568231,0.2335003,0.022534376
rotifer_z,0.5180427,-1.3959168,1.1519868,-2.425617,-0.47926715,0.20345461
scenedesmus,0.4994003,0.2877379,0.808756,-1.2106696,0.38393494,1.8584287
snowella,-1.0349963,-2.0839427,-0.39291316,-6.729954,3.1386964,0.45638195
staurastrum,0.3008877,0.16053374,0.06534516,-0.54189664,-0.10826968,0.8997354
strombidium,0.49704248,0.8609073,0.48211402,0.00240363,0.32047296,0.051596016
synchaeta,-0.32326674,-3.068802,-1.8585249,-0.5083524,-2.157813,-1.2912835
synedra,-0.05971137,-1.5514063,1.1319809,-0.1539329,-1.0088234,-0.063990474
synedra_angustissima,-1.8559977,-2.3798537,-1.7444173,-1.0092449,-0.8164383,0.8730519
synura,-0.7916985,-1.1241077,0.7624642,-1.0232129,-0.6107986,1.5298504
tetraedron,0.6967409,-0.43987802,0.031819154,-1.3314139,0.84041685,0.8780455
tintinnid,-0.258816,0.24421383,-0.48542264,-0.14761432,0.15958682,0.11312273
trichocerca,0.79239804,-0.06127203,0.52749133,-0.4542665,-0.08676113,0.26151183
uroglena,1.3170391,-3.2458043,2.7284925,-0.5649335,-3.2184622,-0.59990025
vorticella_epistylis_like,-0.44156808,0.6903178,-0.49303955,-0.7561317,0.39554375,0.5059164
