,h0,h1,h2
aphanizomenon,-1.7407668,1.1897855,-2.2728784
askenasia,-1.1729708,-1.0742531,-0.89576125
asplanchna,-1.73727,0.78691846,0.7575968
asterionella,-0.26753142,-0.47351936,-0.86463344
aulacoseira,1.2663156,0.6659348,-0.9885256
bosmina,0.40500185,0.26211146,1.0358114
centric_diatom,1.1116674,0.40343374,-0.02446646
ceratium,-2.6114826,0.81747717,-4.1987953
chaoborus,-1.1821768,-0.28158513,-1.1995336
chlorophyte,-3.4301052,-5.116053,1.95387
chlorophyte_colonial_dividing,-3.8277688,-5.5247455,0.10787541
chlorophyte_elongated,-1.3829043,-2.3261633,1.2542387
chlorophyte_frame,-3.779228,-3.6995945,-0.08735909
chlorophyte_square,-2.6482263,-5.1586957,0.27540052
chroococcales,-1.0932094,-3.8208535,-1.0015416
chydorus,0.28538826,-0.29725787,-0.77470905
ciliate,-0.49628192,0.1306682,0.8164239
ciliate_big,-1.6491991,1.8347985,-4.5941477
ciliate_blue,-0.08882918,-1.4769548,-0.55725247
ciliate_green,-2.5203497,-0.8530901,-2.0882938
ciliate_round,0.1717857,0.03890327,-0.1281344
closterium,2.4767666,-0.9884768,-1.6530184
coelastrum_reticulatum,1.5108124,-2.036498,-1.757577
coelosphaerium,-1.4913118,-3.0092459,-1.608243
coleps,0.69634396,-1.455053,-1.3461499
collotheca,-0.6126915,-2.6374483,-2.4756465
conochilus,-2.2012327,2.1451821,-0.3461852
cosmarium,-0.9444174,-2.9920819,-0.9926418
cryptophyte,-3.0974743,-1.4645323,1.1814455
cyanobacteria_colonial_blue,-0.5745313,-3.6562576,-0.16918144
cyanobacteria_colonial_clathrate,0.058179867,-2.8606195,-2.07304
cyanobacteria_colonial_probably,-0.6315254,-3.4030657,-1.935978
cyanobacteria_filamentous,0.8262528,-0.4790817,-1.771255
cyclops,-2.781129,-1.7276473,0.5305695
daphnia,-1.9473346,0.92482984,-1.9328398
daphnia_cucullata,0.93832844,-0.7171981,-0.9550421
diaphanosoma,-0.050609313,-1.444367,-1.0300604
didinium,-0.37546402,-0.5391233,-0.75400895
dinobryon,-4.7418847,-2.0644963,-3.7665966
dinoflagellate_diamond,3.1151934,2.0928636,1.9381174
dolichospermum,0.1426475,-1.3374373,-1.8851001
eudiaptomus,-0.38617182,0.068266094,0.22095266
fragilaria,1.677936,-0.9661963,-2.6847706
gonium,-3.5970104,-2.6978388,-1.5751294
gymnodinium,-0.5843404,-1.2651781,-0.17589684
kellicottia,-1.3066024,0.49049944,0.4571548
keratella_cochlearis,-0.8090616,-0.36172155,-2.551436
keratella_quadrata,-2.021556,1.3455298,-0.76012135
leptodora,-0.618528,-0.7549681,-1.726608
limnoraphis,-0.5759388,0.32727107,-2.0997975
mallomonas_akrokomos,-1.6989378,-0.58689296,1.5684628
mallomonas_big,0.32309097,-1.582741,-1.6423748
nauplius,-5.1805334,-0.3679559,2.1134322
oocystaceae,-2.9483335,-2.727283,-1.3702354
pandorina,0.7105879,-1.0703033,-1.2122229
paradileptus,-0.80472535,-0.33370364,-3.814613
pediastrum,1.5356141,-3.6956298,-2.7275603
pennate_diatom,-0.99688965,0.18361579,-0.42954934
peridinium,-0.25576955,-1.4948139,-0.61492926
phacotus,-2.198329,-2.3890226,-1.0478592
plankton_x,-1.3612438,-1.2431706,-0.6820383
plankton_y,0.36953452,-0.88843364,0.08173951
plankton_z,-2.351391,-2.3802834,-1.0834484
planktosphaeria,-1.3014519,-0.78421634,0.10938245
polyarthra,-2.768812,-0.94857645,2.193686
protist_like_ciliate,-1.2330664,-1.6181303,-0.3818576
rhodomonas,-2.4174194,0.74169093,1.8881023
rotifer,-4.935268,-0.39123031,1.10504
rotifer_long,-1.4945837,-0.55468076,-0.34110686
rotifer_z,-0.74683326,-1.6917715,-1.7462077
scenedesmus,-0.8504734,-2.121725,-3.0585377
snowella,-0.23667337,-2.0213158,-3.7059925
staurastrum,0.5447589,-1.2475585,-1.1349136
strombidium,-1.9834533,-0.0015741747,-0.45860767
synchaeta,0.10157992,0.5862156,0.23793538
synedra,-1.492387,0.8484787,-0.8806591
synedra_angustissima,1.4523448,-0.30975506,-0.66749847
synura,1.8451408,-1.940169,-1.4626138
tetraedron,-1.5008329,-2.6948874,-0.8618652
tintinnid,0.12089633,0.196104,-0.30528998
trichocerca,-3.0863228,-0.59088886,-1.190391
uroglena,-2.2875223,-0.60550237,-2.1742005
vorticella_epistylis_like,0.11210898,-0.37023988,-1.303903
