,h0,h1,h2,h3,h4,h5
aphanizomenon,-2.2574313,0.89448214,-0.3195179,-0.00032267868,-2.1066222,-0.57132536
askenasia,-1.2772295,-0.23132166,-1.1851178,-0.7193547,0.13150519,0.110291354
asplanchna,-0.4988115,2.749044,-1.5018446,1.2088392,-0.36832637,1.4809204
asterionella,0.3321101,0.9872842,-0.97175187,-0.55653274,-3.3267934,0.59369475
aulacoseira,-1.1190007,1.203774,2.8986702,-0.6822455,-1.2958204,0.22363648
bosmina,-0.3314423,1.1406004,1.1424133,-0.2859427,0.5882839,0.37084836
centric_diatom,0.8798472,0.68997586,1.2239869,-0.7262749,-1.0106477,-0.0028377392
ceratium,-3.3748405,0.08122184,-0.37009418,-0.98399067,-1.4628874,-0.992303
chaoborus,-1.3434571,-0.24859335,-0.13944776,0.43902296,0.5021838,0.6997842
chlorophyte,-0.5667174,0.93173885,-2.3809206,-3.6169794,0.4989682,3.148297
chlorophyte_colonial_dividing,0.07993371,-2.124932,-4.815325,-1.2429965,0.38691095,3.0211658
chlorophyte_elongated,1.8341199,-1.1569431,-3.370745,0.5925371,-1.328818,1.0476495
chlorophyte_frame,-0.6755696,-1.3393437,-2.8632545,-2.2837837,1.1752338,1.9259315
chlorophyte_square,0.7800689,-2.6006823,-2.72059,-2.9010584,0.63252825,3.399367
chroococcales,0.18034506,-2.3439353,-0.99977654,-2.3699865,0.029027743,2.0622797
chydorus,-0.16600446,-0.9068593,0.5371005,-0.0013590247,0.20747985,0.18384117
ciliate,0.7282875,0.32061747,-0.9513878,-0.74781626,-0.34256074,-0.8493819
ciliate_big,-3.7435374,1.0710741,2.1019278,-0.22683546,-1.2521074,0.41901612
ciliate_blue,-0.4563018,-1.193386,0.5470074,-1.867222,0.90352964,0.18076536
ciliate_green,-3.3788416,-0.8539036,-2.5479274,0.4169398,1.7327713,0.046624403
ciliate_round,0.019182961,1.4787612,0.6396272,-0.22763376,-1.8949927,0.8619079
closterium,1.1255349,-1.9762094,2.1062212,-0.32089835,-1.5998012,0.4093575
coelastrum_reticulatum,0.23700464,-2.0980017,0.9671287,0.5719179,-1.3587905,1.3252938
coelosphaerium,-0.5158249,-2.8026428,-1.4087565,-1.5531261,-0.3595374,0.6209014
coleps,0.5390165,-1.8485956,0.13960521,-0.48621923,-1.0181657,0.090936705
collotheca,-1.3602325,-2.3899016,-0.7782782,-0.31090957,-0.9726067,0.78730303
conochilus,-2.302066,2.5718632,-1.73173,0.95851606,-0.742762,-1.0546156
cosmarium,-0.11404039,-1.5388111,-1.7099863,-0.5842549,-0.83962345,1.2961918
cryptophyte,0.076334715,0.7951772,-2.3564358,-1.8059628,-0.27553397,0.16255046
cyanobacteria_colonial_blue,1.1575093,-2.174333,-2.4742727,1.21072,-0.876455,3.4680831
cyanobacteria_colonial_clathrate,-0.44572192,-2.7535923,-2.4779265,2.6111276,-1.6034867,2.09204
cyanobacteria_colonial_probably,-0.37078944,-3.6301935,-1.6211737,-0.39951405,0.6348627,2.087661
cyanobacteria_filamentous,-0.34017983,-1.7739369,1.2859335,-0.39608994,-1.3712271,-0.32505926
cyclops,0.0022816784,-0.39752707,-2.2233214,-0.31359243,1.0007466,1.428164
daphnia,-3.4619744,-0.55550855,-0.8212276,2.057502,0.5605379,-0.5997698
daphnia_cucullata,-1.5018243,-1.4648919,1.7879995,0.011268316,0.27102733,0.006217735
diaphanosoma,-0.28575763,-2.0195477,0.030109566,-0.67986673,0.3313311,0.11424566
didinium,-0.42175078,-0.030918222,-0.19104166,-1.6080836,-0.22258213,-0.4482356
dinobryon,-5.583909,-1.158811,-5.124232,1.8536888,-1.1153408,1.5643976
dinoflagellate_diamond,2.0890894,2.9450006,4.1508484,-0.8407685,-1.2636327,-0.6662308
dolichospermum,0.13054967,-2.3668034,-0.06112768,-0.9496039,-1.2412082,-0.5333053
eudiaptomus,-0.25245252,0.4628337,-0.58705217,1.1279812,-0.38314208,0.54017407
fragilaria,-0.7387718,-1.5858194,1.27442,1.828664,-2.4954379,1.1771713
gonium,-0.7144758,-1.8463254,-2.8833916,-0.7616429,0.366237,0.90709543
gymnodinium,-0.30088803,1.2578824,1.4056032,-4.9979463,0.13744155,0.17733867
kellicottia,1.1895458,1.5521073,-1.2574978,-0.28115842,-1.4875286,0.48158392
keratella_cochlearis,-0.6403842,-0.56116474,-0.029024301,-0.36787435,-1.2075814,0.30243054
keratella_quadrata,-1.3946444,2.0629737,-1.1166006,0.30390596,-0.5111639,0.18071079
leptodora,-2.1166003,-0.9423522,1.1819042,-0.7212476,0.44837505,0.36602697
limnoraphis,-1.9506125,-1.0472105,1.3267922,-0.538436,0.023732606,-0.53657037
mallomonas_akrokomos,0.7279242,1.0151708,-2.3780134,-0.6879299,-0.36600834,-0.12915711
mallomonas_big,-1.0679578,-1.2238092,0.4657229,-0.78136766,-0.6801375,0.37386674
nauplius,-0.1378224,2.2431903,-4.621413,-1.2461963,-0.24115354,-0.59123003
oocystaceae,-1.9121749,-1.0424788,-0.7672456,-2.8257146,0.15417868,1.0096967
pandorina,0.32352108,-0.30751407,0.2993056,0.46264452,-2.0466359,1.380283
paradileptus,-4.154022,-0.95033205,2.270377,0.14615323,-1.5743252,0.3549783
pediastrum,-0.016859036,-2.6991255,0.7142087,-0.0328978,-0.29941523,2.155048
pennate_diatom,-0.57322514,2.2802625,-0.39979383,-0.9710808,-1.6925863,0.7810425
peridinium,-0.5113767,-0.45671442,0.09239029,-2.7659435,-0.6225499,-0.29611444
phacotus,-1.6700789,0.15113674,-1.1602421,-1.68581,0.7479057,1.7277484
plankton_x,-0.35225612,-0.83623135,-0.6791014,-1.9877971,0.8533803,-0.192326
plankton_y,0.4067905,1.0566401,0.66996765,-1.6138353,-0.95020676,0.87010294
plankton_z,-1.455078,-0.13014853,-1.5945439,-1.723427,-0.19492647,1.0889488
planktosphaeria,-0.42003095,0.60339266,-1.2076916,-0.1169033,-0.3494977,0.6640778
polyarthra,1.432206,0.6003859,-3.163862,0.97977203,-0.2574036,1.2479386
protist_like_ciliate,-0.42362192,-0.13799937,-0.39606285,-3.5008245,-0.90974134,-0.034381196
rhodomonas,1.0478272,2.8108509,-3.1084387,-2.433192,0.16844179,-1.18387
rotifer,-0.49341044,1.2514197,-3.375516,1.1828998,-0.20991918,1.1339728
rotifer_long,-0.6165448,-0.3750024,-1.4686248,-0.75682425,-0.0461278,-0.6905239
rotifer_z,-0.7145362,-1.7430874,-0.5960797,-0.7914958,0.46991563,0.004383178
scenedesmus,-2.0147605,-2.5300126,1.1124481,-1.8790174,-0.25433677,0.5561937
snowella,0.11227056,-5.563763,0.83396906,-2.379404,0.9416179,-0.097312205
staurastrum,0.06149897,-0.9867326,-0.460081,0.26473472,-1.6871775,0.2681978
strombidium,-0.7730533,0.91487426,-1.5193856,-1.9389137,0.18720223,-0.7655755
synchaeta,-1.4043232,2.4330564,0.6339305,1.3875784,-0.2901505,1.4424238
synedra,-1.5906959,1.5814039,-0.9233508,0.94523346,-0.70929724,0.40888554
synedra_angustissima,-0.48721528,-0.11137631,2.6360204,-0.17112444,-1.3292291,0.8615904
synura,0.04880582,-1.8489716,1.2670358,0.28798085,-0.91237456,0.9325113
tetraedron,-0.898348,-0.880425,-0.5517404,-2.0253782,0.5905189,1.7340319
tintinnid,0.96523935,0.5217796,0.47735336,-0.76999897,-1.8787706,0.10092218
trichocerca,-1.4042382,-0.37107444,-2.0098655,-0.71864665,0.2665313,-0.31486338
uroglena,-2.9615295,-0.26023936,-2.161576,1.8882004,-0.53097993,1.0503137
vorticella_epistylis_like,0.21637172,-0.28711724,0.678638,-1.9314722,-1.9771211,-0.37860617
