,h0,h1,h2,h3,h4,h5
aphanizomenon,0.12454316,1.2208817,-0.58997005,-2.1402485,-1.7180011,0.7623502
askenasia,0.7311645,-0.8925558,-2.1354675,-0.36433706,-0.7156691,-0.02285079
asplanchna,2.4164627,0.923796,-0.08080951,-0.5537246,-1.1004529,-2.1159618
asterionella,1.2155018,-1.1597193,-0.75251806,-1.9268512,0.9771041,-0.96373516
aulacoseira,0.44297788,-0.22327183,0.19305642,-1.4948066,0.5750189,1.7878792
bosmina,-0.11145788,0.15063488,0.5032826,0.8383571,-0.0060598985,0.57562625
centric_diatom,1.298595,-1.725283,0.62980163,-0.69656235,1.24591,0.50677484
ceratium,0.044842653,-0.40351993,-2.6058037,-1.5018278,-1.8551382,2.5647056
chaoborus,-0.34752852,0.65446234,-0.76417494,-0.794773,-1.2359188,0.31950387
chlorophyte,0.47338587,-3.9982095,-0.72180146,-3.4559298,-3.8277488,-1.8287828
chlorophyte_colonial_dividing,-1.6770778,-3.1368296,-2.1860535,-0.69473356,-1.9237633,-4.650583
chlorophyte_elongated,-0.94994414,-0.13216437,0.32552013,0.2617178,-0.6950365,-2.7654834
chlorophyte_frame,-1.4540508,-2.486282,-1.1480032,-0.009360406,-2.6761425,-1.7812893
chlorophyte_square,-3.4675999,-2.6797087,0.14410035,-1.8364115,-2.2834442,-3.3496015
chroococcales,-2.9998944,-2.130999,-0.56628364,-1.06885,0.027100647,-2.3456728
chydorus,-0.727267,1.1549028,0.32167304,-1.2977291,-0.20978579,-0.29413983
ciliate,0.03469091,-0.5652041,1.1913582,0.356128,-0.3498639,-0.533828
ciliate_big,-0.38094643,1.1617306,-0.3118316,-2.537234,-2.2883065,2.583344
ciliate_blue,-1.8031553,-0.28229597,0.88849396,-1.324518,-0.9245857,0.33547398
ciliate_green,0.9629123,-0.25591686,-3.8625348,0.61871904,-2.3744116,-0.04889301
ciliate_round,0.26797092,-0.248309,0.6663778,-1.0779299,0.5095406,-0.35956213
closterium,-0.740584,-0.9581992,-0.34158847,-1.9657974,2.8562088,0.35898063
coelastrum_reticulatum,-1.621206,0.41357836,-0.98118246,-1.4583634,2.7585013,-1.6588221
coelosphaerium,-2.1985397,-1.2264185,-1.8245705,-0.32289106,-0.35065567,-0.7452049
coleps,-1.821047,-0.09078265,0.24590284,-1.1817613,0.7499168,-0.1381241
collotheca,-2.708789,0.52017534,-1.7834789,-0.6063717,0.1459328,-0.9841598
conochilus,2.004393,0.53104377,-0.6286472,-0.05148221,-1.4278272,-0.21678275
cosmarium,-1.643569,-1.1576058,-0.99930614,-0.54398584,-0.19976695,-1.307228
cryptophyte,-0.73100793,-0.44537753,1.4595416,-0.89896613,-3.6024556,-1.2410868
cyanobacteria_colonial_blue,-1.134781,-0.6030939,-1.1228902,-1.3585185,0.6227151,-3.105831
cyanobacteria_colonial_clathrate,-0.45748657,-0.07854872,-2.5407462,-1.8154747,1.7599052,-2.8209686
cyanobacteria_colonial_probably,-3.3568892,-0.34884644,-1.5903023,-0.6981404,0.23239577,-1.8349093
cyanobacteria_filamentous,-2.9442441,1.39767,1.372114,-2.2646194,0.53156143,0.13683043
cyclops,-1.1487323,-0.15032417,0.7265813,-0.5996554,-2.4299045,-1.7215048
daphnia,-0.040136375,3.3351371,-1.9733603,-1.5461615,-2.5123718,0.5579693
daphnia_cucullata,-2.020049,1.5028445,-1.57956,0.080655314,0.23174948,1.9197947
diaphanosoma,-2.3164332,0.6630185,0.21159332,-1.0471894,0.08342154,-0.55627275
didinium,-0.07375592,-1.5624611,-0.17449722,-0.6627483,0.14800453,0.03076429
dinobryon,0.33987033,1.9365662,-5.629448,-3.9244382,-3.5968134,-3.6895206
dinoflagellate_diamond,2.1701343,-0.26653564,3.0400858,-0.8278173,1.6808813,1.4422855
dolichospermum,-2.1047003,0.2135509,-0.223785,-1.4587126,-0.24860273,0.609829
eudiaptomus,0.6738622,0.5236606,-0.57433146,-0.07928864,0.23280191,-0.9062931
fragilaria,0.3490736,-0.15498766,-2.071102,-2.8650343,3.4316537,-1.0681899
gonium,-1.3484721,-0.82531136,-1.1489872,-0.31535116,-2.9766495,-2.1566775
gymnodinium,-1.2856052,-3.5331786,1.6026076,-1.1403779,-1.6478349,1.6017799
kellicottia,0.5634917,-0.85320246,2.4426394,-1.0725989,-1.4389403,-1.0814598
keratella_cochlearis,-0.41039306,-0.16446128,-0.65376323,-2.6314833,-0.23186485,0.119370416
keratella_quadrata,2.5635428,-0.3259075,-1.0153153,-0.8822603,-1.5928838,-0.047545806
leptodora,-1.6446968,0.8993572,-0.4776845,-2.147095,-1.2331946,0.97384596
limnoraphis,-1.3896985,1.7284851,-0.14069283,-2.4720323,-1.6665347,1.5046273
mallomonas_akrokomos,0.5152542,-1.0291508,0.58169276,1.4119462,-0.81439155,-1.8305544
mallomonas_big,-0.8800535,-0.78088254,-2.0548277,-0.7646016,1.7403303,-0.49677354
nauplius,1.7683142,-1.2606924,0.26127115,1.0284169,-3.8393095,-1.95424
oocystaceae,-2.1283464,-1.9406546,-0.79618424,-2.1209352,-3.5282133,1.6359402
pandorina,0.47191128,-0.6136894,-1.1762263,-2.5033207,1.6391389,-0.7788345
paradileptus,-0.6933031,0.63705945,-2.6498358,-3.0734074,-0.6916001,2.3877425
pediastrum,-2.5142188,0.4177198,-0.7998112,-2.2813582,0.91047025,-1.0926156
pennate_diatom,0.99806947,-0.5090962,0.52078754,-1.7757319,-1.4145299,0.09421698
peridinium,-1.2432364,-2.6217022,-0.0037020808,-0.6887944,0.044218864,0.52310866
phacotus,0.43631762,-2.1814241,-1.7766702,-2.046917,-1.8333509,-0.25591567
plankton_x,-1.4882053,-1.4383614,-0.29595837,0.74529797,-0.75180674,0.0057076556
plankton_y,0.15348776,-2.1175745,0.81101596,-0.647929,0.539219,-0.2571425
plankton_z,-0.6435932,-1.5608475,-1.0519174,-1.5673606,-1.258771,-1.133819
planktosphaeria,1.0189536,-1.0952766,-0.8904653,0.046804335,-0.5205077,-1.1621462
polyarthra,0.47921872,0.3850606,1.0641513,0.2894617,-1.1600188,-3.830045
protist_like_ciliate,-1.8654809,-2.1640358,0.9435132,-1.0961269,-1.8272336,0.97462994
rhodomonas,1.4792157,-1.7314427,1.4518839,1.3563087,-2.4410238,-0.6554127
rotifer,1.0393529,1.4730574,-0.36325416,-0.55687284,-2.71268,-3.8807583
rotifer_long,-0.7586379,-0.27710247,-0.66206306,0.8578244,-1.5516709,0.06261499
rotifer_z,-1.2064029,-0.7000293,-1.4100238,-0.027901407,-0.27092624,0.18026547
scenedesmus,-4.021076,0.261832,-0.2037995,-1.6834817,-1.5417131,1.4123383
snowella,-5.17253,-0.4935076,0.18529311,-1.8189658,-0.85675967,1.8450918
staurastrum,-0.021101333,-0.64720124,-1.4082289,-0.6490516,1.8412664,-1.1831795
strombidium,0.9965641,-1.8162615,-0.2302033,-0.2897365,-1.5382789,-0.030775676
synchaeta,2.825275,0.7342414,-1.859195,-0.5160774,0.75881207,-0.62492496
synedra,1.8795738,1.144877,-1.3460042,-1.441517,-1.1154965,-0.49372858
synedra_angustissima,-1.2892357,0.9844025,0.6398037,-1.5366006,0.1033616,1.4588859
synura,-2.1449683,0.7715776,-0.43684673,-0.98028576,1.877889,-0.6198169
tetraedron,-1.6248559,-1.5601143,-0.3234913,-2.012544,-0.8866685,-0.9672649
tintinnid,-0.41155905,-0.27043754,1.5963141,-1.480897,0.2104687,-0.30417994
trichocerca,-0.2969155,-0.3531139,-0.9765282,-0.32539436,-2.1092734,-0.43230367
uroglena,0.10004631,2.172996,-2.5511897,-1.9849058,-1.7871021,-1.6849433
vorticella_epistylis_like,-0.74749464,-0.9114673,0.5348805,-1.9090158,-0.04413342,0.82416785
