,h0,h1,h2,h3,h4,h5
aphanizomenon,0.139418,-1.871074,-0.3617335,0.012548307,0.71599597,-2.5226164
askenasia,-0.23264815,-0.5941938,0.80640036,-0.8285816,0.78984785,-0.15685822
asplanchna,0.3019577,-1.692915,1.8338159,1.0304117,-0.37173444,-1.3912789
asterionella,-1.9725219,-1.1209855,-1.7504165,-0.935791,1.041506,-2.6474195
aulacoseira,1.1004697,-0.74289674,-3.1447706,1.2519674,1.9548285,-1.3347967
bosmina,0.37995875,0.2858471,0.5462558,1.0184689,0.53396755,-0.21588585
centric_diatom,-1.5112573,-0.2762357,-0.49428126,1.7598894,0.5988639,1.35445
ceratium,0.2651965,-2.2152886,-0.23034717,-1.7149076,1.7323849,-4.4953285e-05
chaoborus,-0.17807728,-0.5936887,-0.22377366,-1.049297,0.4107596,-2.398891
chlorophyte,-1.0416213,0.28757113,0.6981384,-0.28209722,1.2924801,-1.3083442
chlorophyte_colonial_dividing,-0.87614554,0.11959033,0.75565237,-1.5702535,1.3402458,-1.3573261
chlorophyte_elongated,-0.07863491,0.51488537,0.32842952,-0.87265176,-1.7643896,-0.20601986
chlorophyte_frame,-0.7364249,0.23880015,1.1509504,-1.5799257,0.78488773,-1.0958153
chlorophyte_square,-1.0138698,0.46536094,0.64385295,-1.353585,1.3157163,-1.0825425
chroococcales,-2.001278,0.16702606,1.1048393,-2.3159835,1.8079967,-2.3136585
chydorus,-1.5208212,1.3690436,-0.7353376,0.3557739,0.85336304,-5.106664
ciliate,-0.16486023,0.4467008,0.36555204,0.45469192,-1.3494312,0.24403125
ciliate_big,0.9820696,-0.9154831,-1.0676138,0.7076217,1.3907876,-2.541627
ciliate_blue,0.13190264,0.24051379,0.111026704,-0.50453514,1.6976447,-0.31634265
ciliate_green,0.8319161,-1.1910262,0.64294857,-2.6089993,0.5581456,0.34244493
ciliate_round,-0.97059983,0.27700385,-0.4615004,0.7656114,0.42693123,-0.14189807
closterium,-0.7996581,-0.5234178,-0.6323849,0.008795094,1.6242146,-0.5258171
coelastrum_reticulatum,0.91543823,-1.6414862,-0.04004575,-2.7150643,3.195472,-0.22143422
coelosphaerium,-1.3336246,-0.83162564,0.64083105,-3.5691411,2.5000303,-3.0880208
coleps,-0.8414137,0.22091027,-0.45349273,-1.022302,1.5815061,-1.1968975
collotheca,-0.9136578,-0.3855172,0.24850754,-1.6577889,1.6233985,-1.7252063
conochilus,1.9122549,-1.2399812,1.2371565,-0.856698,-0.21253033,1.072451
cosmarium,-0.7443949,-0.064924195,0.5526108,-1.1215005,1.6835102,-0.3751128
