,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-0.52769357,0.3040289,0.59917766,0.32758784,-0.13553855,-1.6125681,-2.2325888
askenasia,0.71451455,-2.0587223,-0.0053349673,-0.6903567,0.82296884,-1.9053445,0.14920494
asplanchna,0.12333356,0.2660581,2.9714355,-1.3337066,0.70936596,1.1543478,-2.5034919
asterionella,-1.1574352,0.7574766,1.0887506,-3.0647786,-0.31226483,-1.7794093,0.44349104
aulacoseira,-1.7679203,0.79178435,1.4217383,1.6397282,-0.76125544,-1.976511,0.24377392
bosmina,-1.4538243,0.6553933,0.6842286,2.8255477,0.20600615,1.5203091,-1.142417
centric_diatom,-1.7244028,0.028033352,1.2076801,-0.7077388,-1.5085222,-1.1624879,2.0526905
ceratium,-1.3967817,-0.11767502,1.1649911,0.4988814,1.6769431,-2.5547683,-1.1482185
chaoborus,-0.001881803,-0.39947626,0.73452646,0.8579251,1.4010698,-0.87545884,-1.6333038
chlorophyte,-4.1910996,-5.094763,0.5618495,-1.4849565,3.9004045,0.18336992,-1.2421858
chlorophyte_colonial_dividing,-2.4190087,-1.7122808,-0.93989015,-4.3402853,3.3037357,0.17616788,-4.0419993
chlorophyte_elongated,0.35305312,-0.33953738,-1.2803793,-1.9047148,0.4018304,1.1876997,-1.3958154
chlorophyte_frame,-1.1178648,-2.18431,-1.6237782,-2.026375,2.302026,0.6349087,-0.7111279
chlorophyte_square,-3.2471166,-0.5589577,-1.6522783,-2.6418252,2.234756,0.38143596,-3.2113032
chroococcales,-1.9959785,0.38700324,-2.9458835,-2.1027632,1.9697754,0.52723914,-0.99859035
chydorus,0.69001704,-0.49016234,-0.4649121,0.8991189,0.09663494,-1.2906615,-0.3229476
ciliate,-0.33663103,-0.7114488,-0.7811462,-0.61943704,-1.5929805,0.5181138,0.35903108
ciliate_big,-2.5384192,1.0602857,1.4067779,2.0386581,0.6138786,-2.3692741,-3.0708458
ciliate_blue,-0.71208274,-1.1538458,-1.4407384,0.43422863,-0.44690502,-0.98925567,0.07849233
ciliate_green,2.7281306,-3.4603498,0.4195563,-0.73781127,2.8554015,-2.7184942,-0.22558199
ciliate_round,-1.6140921,1.6926243,0.2640675,-0.42451343,-1.1206694,0.046033345,-1.1611335
closterium,-0.64267904,1.3543754,-0.8715618,-1.0569422,-0.75270337,-2.420551,1.7358338
