,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.018204374,-0.08003408,0.15000921,0.0092648445,0.059088603,0.02517264,-0.30867568
askenasia,-0.07435104,-0.016622752,-0.10650612,0.22942112,0.023113169,0.31788355,-0.009321724
asplanchna,0.074124314,0.02601216,-0.014919024,0.02724799,-0.3051896,0.17813888,0.011495848
asterionella,-0.15634353,-0.09938086,0.10202371,-0.0071836337,-0.28286242,-0.14665869,0.057263844
aulacoseira,-0.0055252216,-0.005434737,-0.0050898553,-0.005671943,-0.0058633587,-0.0058854045,-0.0058687464
bosmina,0.3173859,-0.3354539,-0.1442736,0.084587276,-0.05188776,0.14679655,-0.033705793
centric_diatom,-0.122960985,-0.08286587,-0.14401773,-0.17062879,-0.115076244,-0.12058484,-0.1021182
ceratium,-0.01040571,0.056972202,-0.0015645913,-0.21094956,-0.22685784,0.16555001,-0.020441618
chaoborus,-0.12745216,0.26194325,0.1484579,-0.15852398,0.04670207,0.29642418,0.38522357
chlorophyte,-0.083219916,-0.08118225,-0.07933676,-0.08177818,-0.07418608,-0.08214768,-0.08473296
chlorophyte_colonial_dividing,-0.1060619,-0.11050138,-0.10170499,-0.106068216,-0.095678404,-0.0944094,-0.101005696
chlorophyte_elongated,-0.017178569,-0.20961896,-0.24524955,0.22474973,0.06040121,0.061755557,-0.2125304
chlorophyte_frame,0.057479005,-0.0046069594,0.17809787,0.09238222,0.016837135,-0.2135683,-0.214976
chlorophyte_square,-0.03354356,0.07933292,-0.08806088,-0.025892857,-0.17091247,-0.095883876,-0.23212211
chroococcales,-0.2516156,-0.059176117,-0.12508367,-0.09731344,0.08944474,-0.1459113,-0.048866015
chydorus,0.18033253,-0.07440576,-0.13552485,-0.15098903,0.0015639106,-0.47369596,-0.116299175
ciliate,-0.051347394,0.098037705,0.14371964,-0.1445413,-0.31785163,0.2668042,0.26657668
ciliate_big,0.13096142,-0.1520264,-0.23490582,-0.1621195,-0.1546541,0.08593456,0.15493903
ciliate_blue,0.02330041,0.11108831,-0.15630451,-0.3032087,0.020764168,0.016634358,0.072250806
ciliate_green,-0.4307905,0.30727533,0.015960542,0.066757485,-0.3725195,-0.17631632,0.15661405
ciliate_round,0.09721973,-0.52954996,-0.14111379,-0.032463793,-0.15069851,0.30415842,-0.24837734
closterium,0.14538226,-0.02736695,-0.09401965,0.12227297,-0.13924997,-0.20754233,-0.0027590105
coelastrum_reticulatum,0.2915892,0.25169912,0.19426732,-0.28684068,0.03299608,-0.17116186,-0.12863152
coelosphaerium,-0.13777576,-0.13106094,-0.0508757,0.2772992,0.05570569,0.1342026,-0.117292754
coleps,0.20405164,-0.13308011,-0.0017266643,0.055511072,0.28363487,0.34698597,-0.025285263
collotheca,-0.19517742,0.16944584,0.06769517,0.010971212,0.018525809,0.2690564,0.4111337
conochilus,0.0761487,0.096888274,-0.59284145,0.3801717,-0.13902515,0.18176727,-0.2985116
cosmarium,0.1342857,-0.22755104,0.047768023,-0.118409224,-0.1047175,0.013438632,0.10558061
cryptophyte,-0.044076193,-0.045180667,-0.04283734,-0.044634,-0.04145641,-0.043564282,-0.046755113
cyanobacteria_colonial_blue,0.022250257,-0.1377215,-0.10617032,-0.19399196,-0.013295424,-0.2513179,-0.043616015
cyanobacteria_colonial_clathrate,0.06067835,0.0962447,-0.42240232,-0.30736977,0.13766369,0.22526488,-0.17905962
