,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.23652679,-0.56243175,-0.8395303,-1.6221988,-0.97617364,0.33992824,0.8363223
askenasia,0.028882205,-1.1370026,0.8380858,-0.5236513,-0.19598489,-0.81909156,-0.01751009
asplanchna,1.1807373,0.5077547,0.9196233,-2.1768212,0.19933067,-1.5234634,0.90472436
asterionella,-0.95565593,-1.589702,-2.1082828,-1.7496988,-0.9608095,-0.18803746,-1.9900664
aulacoseira,1.4532369,-1.9174514,-1.8060402,-1.3037188,1.2835597,1.3230305,1.3898278
bosmina,0.34469503,0.03748013,0.9648587,0.053872544,1.1270281,1.1722609,-0.00029454855
centric_diatom,0.1551486,-0.4326155,-0.86055833,1.1080453,1.4801221,-0.604886,-1.5708144
ceratium,-0.85679454,-1.7731608,-0.20762841,0.92266357,-0.9172872,-0.15556325,1.4170959
chaoborus,-0.26464444,-1.337172,-0.0866105,-0.39559022,-1.0529509,-0.5276212,0.700454
chlorophyte,-0.4187735,-1.0845659,0.6615892,-1.4590964,-0.1731465,-0.08983921,-0.85074085
chlorophyte_colonial_dividing,-0.20331268,-1.8641026,1.1768714,-1.6449946,-1.0003872,-0.22993979,-0.6635528
chlorophyte_elongated,0.28827414,0.5583669,-0.0023994227,-1.0035666,-1.223417,-0.5906426,-0.35663593
chlorophyte_frame,1.0762675,-1.5014104,0.92908967,-1.8245982,-1.7313757,-1.1578763,-1.2097905
chlorophyte_square,-0.3478124,-1.6298112,1.0471045,-1.3071511,-0.91615236,-0.01211459,-0.8707422
chroococcales,-0.32185587,-2.8066359,1.2385721,-1.7921455,-2.4551108,0.34277079,-1.3167217
chydorus,-2.7106328,-0.9725369,-0.7355011,-1.5685252,1.9310602,1.9732964,-0.86640745
ciliate,-0.11110738,0.788823,0.09742344,-0.32954234,0.19985053,-0.09571072,-0.27609465
ciliate_big,0.75275373,-1.7625782,-0.6554838,-2.1197214,0.525349,0.47094154,0.8217513
ciliate_blue,0.38508126,-0.7002809,0.491459,-0.19859001,-0.36051583,0.13580333,-0.28468084
ciliate_green,-0.23585808,-1.8173292,0.7026961,-0.47514,-0.6424529,-1.477243,1.2295713
ciliate_round,0.7984035,-0.5243787,-0.41314065,-0.096481815,0.15961371,0.13466817,-0.7988648
closterium,-0.80775136,-1.2779937,-0.21520151,0.22286186,0.8259555,0.46299493,-0.3955615
coelastrum_reticulatum,-0.4606987,-2.1774988,-1.225591,0.9113116,-2.1340263,2.8326447,0.03193988
