date,h0,h1,h2,h3,h4,h5
2022-07-20,0.53956676,0.49936822,0.42089054,0.49458998,0.5442475,0.4873232
2024-11-17,0.5403717,0.49987295,0.42151988,0.49545985,0.5454401,0.48821127
2023-03-01,0.53986925,0.49955395,0.42112666,0.49515623,0.5448609,0.48771647
2022-12-04,0.5391614,0.49891257,0.42067808,0.4944975,0.5442306,0.487202
2019-09-18,0.53857243,0.49866816,0.4200287,0.49352893,0.543324,0.48585492
2024-09-09,0.53969294,0.49956754,0.42104566,0.49489075,0.54453045,0.48750195
2022-02-25,0.54004246,0.49993086,0.4215282,0.4955795,0.5451103,0.48802635
2019-10-09,0.53986424,0.49995732,0.42132095,0.49517798,0.5448969,0.48771805
2021-09-08,0.5397675,0.49985233,0.42133445,0.4952592,0.544849,0.48773268
2019-06-21,0.53911436,0.4992613,0.42069095,0.4944434,0.544404,0.48726636
2020-10-27,0.54040635,0.5002712,0.42173937,0.4955661,0.5453936,0.48819944
2024-05-30,0.5403322,0.5000251,0.42165738,0.49548337,0.54529375,0.48816454
2022-01-07,0.54079145,0.50057805,0.42205754,0.49593022,0.54573005,0.48851138
2023-12-19,0.5406812,0.5004587,0.4219367,0.49583924,0.5456588,0.4885016
2021-01-28,0.5402461,0.50011396,0.42170474,0.49567515,0.5452733,0.48816934
2021-04-11,0.53981245,0.49953058,0.42118812,0.49489284,0.5446666,0.48762143
2020-01-30,0.5407238,0.50042206,0.4218919,0.49579912,0.5455837,0.48843572
2024-06-05,0.5401897,0.5000026,0.42171144,0.49539378,0.54531705,0.4879655
2021-09-21,0.5399287,0.49995828,0.42140856,0.49522263,0.54502136,0.48781934
2024-10-02,0.54002833,0.49996608,0.42123574,0.49523714,0.54499763,0.48783672
2022-09-04,0.53893346,0.49903235,0.42036277,0.49428055,0.5437239,0.48670897
2023-01-31,0.5387824,0.49845892,0.42030716,0.4942026,0.5439141,0.48686725
2019-05-25,0.5403243,0.50004405,0.42159918,0.49534705,0.5452156,0.488012
2021-07-15,0.53976077,0.50003695,0.42152327,0.49506015,0.54475445,0.48767218
2022-09-14,0.53808624,0.4985967,0.41959807,0.49363673,0.54283327,0.4858147
