,h0,h1,h2,h3,h4,h5
rhodomonas,-0.14562163,-0.13444035,-0.14729989,-0.14543891,-0.13324735,-0.13461243
rotifer,-0.12648892,-0.14438035,-0.11629916,-0.12761216,-0.14304675,-0.15952353
rotifer_long,0.051291894,0.13935634,-0.054665834,-0.00041904204,-0.011697433,-0.101997115
rotifer_z,0.12078239,-0.017392248,-0.022876842,-0.1348171,0.010994803,0.043196674
scenedesmus,0.067699246,0.005387335,-0.18814096,0.36983865,0.2016166,-0.3397787
snowella,-0.078512855,0.031717543,-0.48504913,-0.040192936,0.07221503,-0.077539824
staurastrum,-0.11971612,-0.2981268,0.18899193,0.3680586,-0.06337883,-0.20631175
strombidium,-0.19442423,-0.25402036,0.36652765,0.20272447,0.12372733,-0.22401755
synchaeta,0.055192746,-0.099401504,0.119691715,-0.01579297,0.30159694,-0.18851568
synedra,0.09384337,0.14284591,0.011249772,-0.15926349,0.20483437,-0.19350328
synedra_angustissima,-0.032561433,-0.16795614,-0.21051905,0.29280847,0.17987563,0.012575661
synura,0.13082276,-0.16016097,-0.019888842,-0.25560027,0.0026781152,0.025106931
tetraedron,0.10786921,0.059648894,-0.008570257,0.26350746,0.11862417,-0.310942
tintinnid,0.33276895,-0.055436112,0.092240885,-0.25664374,0.14308652,0.20468435
trichocerca,0.06014393,0.05987096,-0.08455416,-0.35852057,0.0148932375,0.10256801
uroglena,-0.17672911,-0.09851216,-0.1595966,-0.14399269,-0.0842972,-0.11078892
vorticella_epistylis_like,-0.27724424,-0.12526897,0.031742223,-0.0666206,0.015337437,-0.054878067
