,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.0023254913,0.0021905466,0.0022261585,0.0023452446,0.0026620848,0.002214511,0.0022502807
askenasia,0.00016816126,0.00016837502,0.00016852278,0.00016846249,0.00016242602,0.00016867426,0.00016950394
asplanchna,-0.001125391,-0.0010579817,-0.0010757349,-0.0011352937,-0.0012956904,-0.001069817,-0.0010877785
asterionella,0.00042382604,0.00038930014,0.00039829614,0.00042904454,0.0005146777,0.00039532175,0.00040447956
aulacoseira,-0.0006503839,-0.00062073657,-0.00062873616,-0.0006546661,-0.00072924764,-0.00062635355,-0.0006342856
bosmina,-0.0006298629,-0.0005872262,-0.0005984371,-0.0006361484,-0.00073832675,-0.00059472694,-0.0006062501
centric_diatom,0.00037298226,0.0003426742,0.0003505236,0.00037756262,0.00045500434,0.00034791543,0.0003559587
ceratium,-2.4471101e-05,-3.863138e-05,-3.5043526e-05,-2.2280245e-05,1.2896863e-05,-3.6234178e-05,-3.252245e-05
chaoborus,0.00086862827,0.0007994284,0.0008172884,0.000878391,0.00104661,0.00081124593,0.0008294188
chlorophyte,-0.00010126781,-0.00012560036,-0.00011964545,-9.745483e-05,-2.899119e-05,-0.000121879464,-0.000114991526
chlorophyte_colonial_dividing,-0.00045437334,-0.00042267906,-0.0004307741,-0.0004590615,-0.00053757237,-0.0004281165,-0.0004363694
chlorophyte_elongated,-0.000111173766,-0.00011304773,-0.000112258145,-0.00011129488,-0.000102643506,-0.00011246948,-0.00011239048
chlorophyte_frame,0.00022036117,0.00018880407,0.00019650659,0.00022525377,0.00030792344,0.00019428432,0.00020232842
chlorophyte_square,-5.8391495e-05,-4.2069107e-05,-4.5942797e-05,-6.0807102e-05,-0.000108380766,-4.4719636e-05,-4.911676e-05
chroococcales,-0.0002652448,-0.0002509592,-0.00025458017,-0.00026739136,-0.0003053641,-0.00025338322,-0.0002570978
chydorus,-0.00055168587,-0.0005125813,-0.0005232794,-0.000556653,-0.00064954744,-0.0005197758,-0.00053039513
ciliate,-0.0010465961,-0.0009789909,-0.0009964985,-0.0010565113,-0.0012253551,-0.0009908665,-0.0010087384
ciliate_big,-0.00055817526,-0.000556553,-0.00055721996,-0.00055814575,-0.00055229233,-0.00055707886,-0.0005574571
ciliate_blue,-0.0003758717,-0.00033681365,-0.00034691184,-0.0003818732,-0.00047794063,-0.0003434959,-0.00035416355
