date,h0,h1,h2
2022-07-04,0.5227319,0.51338583,0.58460075
2024-07-08,0.52217853,0.5128437,0.5836048
2020-04-02,0.5234925,0.5138668,0.58535683
2020-05-17,0.5237503,0.51424724,0.5858607
2019-08-14,0.5232281,0.5138622,0.5852269
2024-01-17,0.5239522,0.51452357,0.5859696
2024-12-22,0.5239532,0.51434624,0.58571786
2019-05-19,0.5237738,0.5142576,0.58572286
2021-05-31,0.5220245,0.51420885,0.58467805
2020-11-07,0.52394533,0.5144959,0.58592176
2019-10-24,0.52374053,0.5143495,0.585671
2021-07-13,0.5233826,0.51391786,0.58560616
2024-02-24,0.5226593,0.51339316,0.58515924
2022-04-17,0.5236826,0.51410615,0.5856443
2023-05-28,0.52374446,0.5142847,0.58582264
2024-10-03,0.52340066,0.514017,0.5851654
2021-01-25,0.5235272,0.5143136,0.58569956
2024-09-19,0.5231081,0.513658,0.5850108
2024-07-13,0.52264625,0.5133243,0.5843372
2023-07-29,0.52333665,0.51380944,0.58535177
2020-08-04,0.52378106,0.5142813,0.58576995
2020-02-29,0.52286184,0.51390135,0.5851958
2020-03-06,0.5226208,0.5137833,0.58508766
2024-08-05,0.5235804,0.51403564,0.58549684
2024-03-12,0.5230099,0.5137044,0.58518577
2021-07-23,0.5221209,0.51288867,0.58384526
2023-06-19,0.5232581,0.513695,0.58541167
2023-04-06,0.5230758,0.5134397,0.58493745
2022-09-17,0.5212709,0.5123917,0.58272666
2019-09-12,0.52239597,0.5133184,0.58402884
2020-04-03,0.52357495,0.51393026,0.58542794
2021-04-28,0.52385664,0.5142849,0.5858314
2020-02-01,0.52391535,0.51428795,0.58576256
2022-06-18,0.52311474,0.5135499,0.5852799
2024-03-19,0.52319646,0.5138779,0.58542424
2023-11-09,0.5232856,0.5139447,0.5852266
2021-08-17,0.5238162,0.51423043,0.5858096
2023-02-25,0.5236115,0.5138264,0.5854504
2021-02-24,0.52390224,0.5144723,0.58593726
2019-09-10,0.5227079,0.51349235,0.5844654
2021-04-06,0.5235292,0.51392174,0.58536386
2020-12-07,0.52403444,0.5145909,0.5860319
2019-10-22,0.5236841,0.5143232,0.58562684
2022-11-20,0.52369267,0.51415956,0.58567667
2020-12-27,0.52395886,0.51453793,0.58596766
2024-10-21,0.5231161,0.513743,0.585281
2024-04-28,0.52390426,0.5143282,0.58586377
2019-12-01,0.5240075,0.51449835,0.5859685
2023-09-27,0.5212366,0.5116538,0.58233607
2022-11-13,0.5238063,0.51429707,0.5857708
2024-02-10,0.52322066,0.513822,0.58529985
2021-10-28,0.5217471,0.5126232,0.5828528
2019-11-22,0.52393544,0.5144627,0.58591247
2021-05-05,0.5238626,0.5142979,0.5858477
2020-07-01,0.52349234,0.5140544,0.5855677
2021-04-20,0.5237447,0.51418954,0.58571386
2022-11-18,0.52375716,0.5142583,0.58577037
2024-08-31,0.5223901,0.51296943,0.58423376
2020-10-15,0.5236748,0.51412266,0.58546984
2020-09-04,0.52218854,0.5128832,0.5840597
2021-04-15,0.5237048,0.51416844,0.58563435
2024-03-11,0.52305645,0.5137186,0.5851917
2022-08-04,0.5236329,0.51414245,0.5855455
2021-09-19,0.5232614,0.5138501,0.5850929
2021-07-17,0.52235913,0.5130432,0.58419526
2019-06-08,0.5231934,0.5137068,0.58518434
2024-06-23,0.52330524,0.51399857,0.58530337
2024-11-09,0.52354085,0.51369107,0.58511686
2020-08-22,0.523553,0.5141924,0.58547455
2023-06-22,0.52322525,0.51361483,0.5853648
2023-05-13,0.52387583,0.5143135,0.5860115
2024-01-28,0.52378607,0.5143851,0.5858293
2020-04-24,0.5238907,0.51427156,0.58581775
2023-01-04,0.5234609,0.5136961,0.58538157
2021-01-05,0.52395266,0.51452154,0.5859921
2019-04-13,0.52358675,0.51393515,0.5855419
2019-10-11,0.5232736,0.5139234,0.58519036
2021-08-23,0.52377003,0.5141211,0.58596534
2023-02-19,0.52357256,0.51371473,0.5854033
2022-08-24,0.51567173,0.5082476,0.5797154
2024-10-29,0.5233183,0.5133845,0.5847738
2023-10-28,0.5231048,0.5135712,0.58486456
