,h0,h1,h2
aphanizomenon,0.00610394,-0.09556064,0.14032182
askenasia,0.002240312,0.046041433,0.011953205
asplanchna,-0.2879415,-0.019162424,0.034624424
asterionella,-0.16327964,0.008909821,-0.10213924
aulacoseira,-0.0045037954,-0.0057907603,-0.004803786
bosmina,0.009526789,-0.033227544,0.013890418
centric_diatom,-0.22354804,-0.11112104,-0.1594124
ceratium,-0.1911075,-0.09382187,0.22789843
chaoborus,0.17124705,-0.4288639,-0.14052062
chlorophyte,-0.071272194,-0.07159959,-0.08022977
chlorophyte_colonial_dividing,-0.095526256,-0.0839066,-0.0979121
chlorophyte_elongated,-0.21248074,-0.12763266,0.23814048
chlorophyte_frame,-0.2689693,-0.08219638,0.14711307
chlorophyte_square,-0.13124977,-0.009285067,-0.12213331
chroococcales,-0.14935037,-0.060992274,-0.19571124
chydorus,-0.25337163,0.008089062,-0.016359339
ciliate,0.06340584,0.07054896,0.16002111
ciliate_big,0.0858204,-0.18928805,-0.21535543
ciliate_blue,0.14414507,-0.022605265,-0.16590483
ciliate_green,0.23545143,0.12998152,-0.16385315
ciliate_round,0.043345142,0.29321468,0.38066232
closterium,-0.18015762,0.029849678,0.012173032
coelastrum_reticulatum,0.07269321,0.2599858,-0.1819823
coelosphaerium,0.017748155,-0.103581585,-0.3134751
coleps,-0.071013056,-0.19933335,0.08146128
collotheca,0.31072372,0.2278599,-0.0054441774
conochilus,-0.21429513,-0.25765532,0.33687398
cosmarium,0.09088579,0.09193694,-0.21303217
cryptophyte,-0.03730719,-0.037487622,-0.041212223
cyanobacteria_colonial_blue,-0.11755644,-0.13978091,-0.25115833
cyanobacteria_colonial_clathrate,-0.24245198,0.12599182,0.32649636
cyanobacteria_colonial_probably,-0.16972761,-0.14852892,-0.19621825
cyanobacteria_filamentous,-0.06704089,-0.20094319,-0.25038067
cyclops,-0.108468555,-0.1645939,-0.1444955
daphnia,0.14036755,-0.18520358,-0.054254044
daphnia_cucullata,0.19410029,-0.064819366,-0.12467267
diaphanosoma,-0.13332029,0.020075424,-0.45145658
didinium,-0.12149239,-0.02836583,0.12815256
dinobryon,-0.04178565,-0.041653953,-0.04546899
dinoflagellate_diamond,0.083044864,0.091155075,-0.030278936
dolichospermum,-0.07137612,-0.1463625,-0.072315134
eudiaptomus,-0.1614914,0.03007627,0.08231659
fragilaria,-0.15404779,-0.12169009,-0.22145987
gonium,-0.3224167,0.13314506,0.12491922
gymnodinium,0.07049883,-0.41262093,0.14435461
kellicottia,0.001983031,0.052333154,-0.3536263
keratella_cochlearis,-0.18758008,0.12856531,0.07584973
keratella_quadrata,-0.46212563,-0.10342565,0.002180117
leptodora,-0.16341047,0.30119887,-0.2654389
limnoraphis,0.27570945,0.030224837,-0.057175573
mallomonas_akrokomos,0.18839718,-0.13024423,-0.2120014
mallomonas_big,-0.09147811,0.086580515,0.049761217
nauplius,-0.08423415,-0.20959283,-0.12849024
oocystaceae,-0.11810854,-0.11541981,-0.12796041
pandorina,-0.09565049,-0.000513451,0.40931484
paradileptus,0.13782257,0.23261178,-0.06432639
pediastrum,0.22755475,-0.10920538,0.013037693
pennate_diatom,-0.07770403,0.09027353,0.1378084
peridinium,-0.057330355,-0.16753152,0.17507008
phacotus,0.022291923,-0.017369024,-0.01757326
plankton_x,0.34477848,0.5015695,0.10156526
plankton_y,0.10942944,-0.58723474,0.39436266
plankton_z,-0.04455389,0.27768096,-0.19598548
planktosphaeria,0.24258156,-0.19125374,0.14100274
polyarthra,-0.043410312,-0.025555894,0.10313227
protist_like_ciliate,0.03888602,0.034593187,-0.048556425
rhodomonas,-0.13936917,-0.13971597,-0.16152117
rotifer,-0.14376855,-0.17897497,-0.08983549
rotifer_long,-0.053404484,0.01839627,-0.18423967
rotifer_z,0.2553862,-0.36211413,0.17450514
scenedesmus,0.0043664128,0.034933567,-0.449753
snowella,-0.34319383,0.11727022,0.2058014
staurastrum,-0.14230205,-0.031073933,-0.020652942
strombidium,-0.14120375,-0.028337192,-0.01058732
synchaeta,0.08591013,-0.26741198,-0.089757815
synedra,0.20282678,-0.11859852,0.18043128
synedra_angustissima,0.14831835,-0.14380898,-0.020847129
synura,0.21938649,0.14345951,-0.0015272985
tetraedron,0.27751195,-0.28372425,-0.0109184915
tintinnid,0.0069977515,0.251515,0.129005
trichocerca,0.023558991,0.15326968,0.021681082
uroglena,-0.25280234,-0.18545887,-0.16986665
vorticella_epistylis_like,0.015955871,-0.2766574,0.11058889
