,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-0.96679896,-2.4814289,0.29463986,-1.9968009,0.0012220267,0.7749806,0.26748952
askenasia,-1.4477296,0.029864512,-0.91961,-1.7900192,0.13765755,-0.65014225,0.006329524
asplanchna,-0.47793534,-2.0234866,-1.7691936,0.95524615,1.1310205,-0.3009434,1.6754315
asterionella,1.291154,-1.9026134,-0.67673343,-1.0609696,0.5305377,-2.8125598,0.6735275
aulacoseira,1.4288223,-1.5342706,1.7433243,-1.3208759,0.72786236,-0.300411,-0.2555288
bosmina,0.871263,-1.5094746,0.56209254,1.8310481,-0.12746362,1.151375,-0.55862117
centric_diatom,1.3776281,-0.056810115,0.665253,-0.48507792,1.5765445,-1.7213867,-0.040319547
ceratium,-2.0026305,-1.3022691,1.6364075,-3.086302,-1.1551623,-1.0200859,0.8388162
chaoborus,-1.0958655,-0.2389886,0.17560607,-0.71303624,-1.3505467,0.3961077,0.7476148
chlorophyte,-3.536105,0.056992155,0.2820595,0.23992981,-1.4436601,-5.4645786,-1.9088384
chlorophyte_colonial_dividing,-3.4617121,1.4061056,-4.7276053,-0.1568391,-3.1949177,-3.9817793,-1.651854
chlorophyte_elongated,-0.4863632,-1.0070932,-2.9756436,0.9620356,-0.8167553,-0.36709204,-0.16403733
chlorophyte_frame,-2.598633,0.081734955,-2.2035549,0.04919485,-1.7550908,-0.9451405,-1.7655457
chlorophyte_square,-1.7495182,-0.38966516,-3.3677163,0.15292929,-2.3355494,-1.9813585,-3.1801775
chroococcales,0.22254136,0.32631242,-3.0020852,-0.64805144,-2.0691307,-1.9394993,-3.0344875
chydorus,0.26143184,-0.29708475,-1.1041216,-1.630945,0.12792331,1.1405672,-0.4740276
ciliate,-0.41893187,0.15804335,-0.042781457,0.34438622,1.2805583,-0.54269105,-0.50061697
ciliate_big,0.40890402,-3.277599,1.5632282,-1.8692938,-0.061744813,0.08762189,0.6995846
ciliate_blue,-0.6488954,0.44096902,0.11243238,-1.1389177,-0.07998841,0.5428487,-1.9990019
ciliate_green,-3.4544108,1.3374947,-0.94181156,-3.174994,-1.7081873,-0.308862,1.8571532
ciliate_round,2.037716,-2.2921705,-0.54543716,0.1402617,1.1801031,-0.9934796,-0.4910955
closterium,2.759469,-0.35003537,0.09643028,-1.623048,-0.14904255,-1.3015059,-0.71018946
coelastrum_reticulatum,2.5557847,-0.04179571,-1.7999754,-1.1515772,-1.7986616,-0.24272984,-0.27480465
coelosphaerium,-0.5518295,0.021343973,-0.8121002,-0.10500828,-2.6493857,-0.6539949,-1.3912841
coleps,1.4307097,0.043093577,-0.5325464,-1.0022484,-0.7191992,-0.53213245,-1.2068973
collotheca,0.023500903,-0.8587065,-1.81014,-2.1591072,-2.2713635,0.6542314,-0.9420468
conochilus,-1.6274298,-1.3782954,0.06660495,0.090094104,0.7490545,-0.08541341,2.0433795
cosmarium,-0.78126186,0.82787853,-1.8564714,-0.7115904,-1.8169893,-1.2373132,-0.9227846
cryptophyte,-2.8483918,-1.0492414,-0.83952963,0.48270303,0.40577775,0.40772825,-1.5381813
cyanobacteria_colonial_blue,0.47513118,-0.73310065,-2.338295,0.43114033,-2.4711568,-1.32948,-0.06562248
cyanobacteria_colonial_clathrate,1.1440164,-0.46219945,-2.3686388,-0.697647,-3.543233,-2.434476,2.1560843
cyanobacteria_colonial_probably,0.26398897,-0.39558938,-2.3779845,0.12351768,-4.009936,1.0041982,-1.8040029
cyanobacteria_filamentous,1.3226682,-0.82013804,-0.16420157,-1.6950939,-0.71007234,1.2956924,-1.4598901
cyclops,-1.6901374,-0.52049667,-1.4082868,0.65686524,-1.035102,0.058425467,-0.6669914
daphnia,-1.7786075,-0.77621084,-0.63471496,-1.9954497,-1.9256155,2.2671163,1.8124238
daphnia_cucullata,0.4122104,-0.43188182,1.0674034,-0.5644815,-2.662257,2.1889267,-0.6137113
diaphanosoma,0.3334771,0.5234092,-0.97207886,-0.51416683,-1.1608114,0.6795278,-1.5941657
didinium,-0.24345696,0.35595617,-0.10548917,-1.0474584,0.619018,-1.2431223,-0.7857897
dinobryon,-3.4396849,-0.15265054,-4.414948,-6.592283,-3.0282443,-1.8072728,3.0590534
dinoflagellate_diamond,3.4969368,-1.1013997,3.3512113,2.0616806,3.1368742,-0.62580913,-0.13649224
dolichospermum,0.099105515,-0.39707088,0.14431755,-1.8973936,-0.96495265,0.16920875,-1.2358637
eudiaptomus,0.23412535,0.019440906,-1.0764642,-0.24245217,0.12565196,0.14176494,0.677932
fragilaria,2.7682595,-0.86695063,-0.682943,-2.9934714,-1.0169622,-2.0098364,1.5212369
gonium,-2.6104789,0.5814638,-2.0595157,-0.2010621,-2.1825836,-0.59512615,-0.7964518
gymnodinium,-0.78765655,-0.63912207,2.4510324,0.7932287,0.32140192,-2.5426385,-2.8283541
kellicottia,-0.37197354,-1.4224552,-0.5565624,0.6410906,1.5937904,-1.060689,0.10705877
keratella_cochlearis,-0.14242356,-0.43255612,-0.600097,-3.297454,0.4266974,-1.5224744,0.11577497
keratella_quadrata,-1.9948419,-0.5449977,0.06423493,-1.2580806,1.3383275,-1.0699039,1.4177355
leptodora,-0.6569809,-0.59115696,0.9076415,-0.8747902,-2.0524707,1.0774109,-0.7484577
limnoraphis,-0.7586334,-0.6067745,0.6165314,-2.924156,-0.6977965,2.0385625,-0.8866119
mallomonas_akrokomos,-0.7346141,-0.42742404,-1.2402599,1.2601035,0.7396535,-0.650963,0.030842153
mallomonas_big,0.87495154,-0.22113928,-0.92140245,-1.9651238,-0.8276166,-0.60667115,-0.7703897
nauplius,-3.93058,-0.9137445,-1.0929902,1.975217,1.161346,-1.0206542,0.023552163
oocystaceae,-3.7165363,0.05896738,1.578492,-1.1850125,-2.386294,-0.53226626,-1.9862609
