,h0,h1,h2,h3,h4,h5,h6
phacotus,-1.0296065,-1.0669278,-0.48680452,-1.1307908,-1.6515927,-0.60314685,-2.9670658
plankton_x,0.18758857,0.69428736,-1.6273562,0.43277887,-1.7725194,0.12947159,-1.6410826
plankton_y,1.1222084,0.28607306,-1.2489265,-1.5864395,0.6349315,0.34866825,-0.59602076
plankton_z,-0.9294698,-1.0297383,-0.6357554,-1.247937,-1.4561074,-0.77529365,-2.4529457
planktosphaeria,-0.64189976,-0.52710825,0.6892257,-0.9079664,-0.2159751,0.012443437,-1.7992115
polyarthra,-2.1975324,2.4231098,0.3321891,-0.4379317,0.48073012,-2.7937908,-0.020874878
protist_like_ciliate,1.4274248,0.119081885,-2.9807875,-0.87063676,-0.6851678,-1.1196194,-1.0498748
rhodomonas,0.10219726,2.4438114,-0.8437788,-0.8619298,2.132995,-1.0312511,-2.6209488
rotifer,-1.9360358,0.98491675,1.1387978,-0.1671759,-0.34557575,-5.6197147,-0.28717595
rotifer_long,-0.57467747,-0.5369063,-0.63239026,0.88533896,-0.7295873,-0.3850802,-1.0789229
rotifer_z,-0.77800167,-1.1887128,-0.26468605,0.10960739,-1.882297,0.7777506,-1.325521
scenedesmus,0.056588363,-2.0542126,-2.376825,0.5964975,-2.6448512,-1.3806642,1.1553686
snowella,-2.3352387,-2.684122,-3.9620209,2.8110583,-2.6360455,1.4131842,-1.3313589
staurastrum,-0.8391736,-0.27372676,0.73942727,-2.8607605,-0.45947298,0.701792,0.7629912
strombidium,0.47509235,-0.63525665,-0.47375512,-0.6868652,0.4599691,-0.73407817,-2.676861
synchaeta,0.34339935,-0.4360299,1.1997244,-0.2715374,0.858282,-1.1809628,0.47089085
synedra,-0.3381486,-0.98515445,1.0362735,-0.3512341,0.6300841,-1.7080579,-0.2051675
synedra_angustissima,0.4917051,-1.066949,-1.7642021,0.6955336,0.6595539,-0.4879039,2.0581088
synura,-0.6993547,-1.3749074,-0.57135546,-0.088061884,-1.1542708,0.6565245,1.6157786
tetraedron,-1.385543,-0.8643351,-2.152502,-0.46932492,-1.3816079,-0.42610714,-0.77241033
tintinnid,0.29180586,-0.42934057,-1.3042803,-0.96558964,1.8885399,-0.35930946,0.41587457
trichocerca,-0.36362094,-0.8158318,0.24550417,-0.20656039,-1.1381607,-2.0093954,-1.6389635
uroglena,-1.74839,-2.1705158,1.6193343,-0.5473734,-1.2942358,-2.914983,0.08986118
vorticella_epistylis_like,1.4338013,-1.0249774,-1.3658936,-1.9693006,0.5264827,-0.2543036,0.43373132
