,h0,h1,h2,h3
aphanizomenon,-0.00085619267,-0.00086346036,-0.0009297269,-0.00088261766
askenasia,0.0008908701,0.0008970436,0.00094630243,0.00091198157
asplanchna,-9.581375e-05,-9.489157e-05,-8.332662e-05,-9.1443406e-05
asterionella,-0.0019107972,-0.0019218099,-0.0020256676,-0.0019531088
aulacoseira,0.00027146022,0.0002748859,0.00030820683,0.00028465287
bosmina,-0.00041561233,-0.00041528294,-0.00040632611,-0.000412943
centric_diatom,7.424375e-05,7.660635e-05,0.00010119562,8.3954845e-05
ceratium,2.2068762e-05,2.4813293e-05,4.758224e-05,3.1811993e-05
chaoborus,-0.00079404865,-0.00079816754,-0.0008367423,-0.000809878
chlorophyte,-0.00022929558,-0.00023135851,-0.0002550459,-0.0002376702
chlorophyte_colonial_dividing,0.0009979139,0.0010090753,0.0011136889,0.001039939
chlorophyte_elongated,-0.00035260964,-0.00035504965,-0.00037988828,-0.0003628437
chlorophyte_frame,-0.0004090123,-0.00041446413,-0.00046820633,-0.0004301752
chlorophyte_square,-0.0008285545,-0.0008329037,-0.0008757623,-0.0008460371
chroococcales,0.0004944663,0.00050030235,0.0005528823,0.0005167405
chydorus,-0.00050603726,-0.0005054596,-0.0004937163,-0.00050223706
ciliate,-0.0003087455,-0.00030921097,-0.00031297596,-0.00031043612
ciliate_big,-0.00036987985,-0.00036978637,-0.00036781406,-0.0003693533
ciliate_blue,0.00016109218,0.00016447049,0.0001960877,0.00017354003
ciliate_green,-0.00047226966,-0.00047808545,-0.0005358703,-0.0004951264
ciliate_round,0.0006724398,0.0006789336,0.00073836325,0.00069700636
closterium,-0.0010827135,-0.0010899892,-0.0011606049,-0.0011106154
coelastrum_reticulatum,7.526892e-05,7.628511e-05,8.254015e-05,7.867317e-05
coelosphaerium,-0.0014807017,-0.0014900317,-0.0015805012,-0.0015173648
coleps,-0.000772009,-0.00077854557,-0.0008408512,-0.000796742
collotheca,-0.00022069414,-0.00022055535,-0.00021963174,-0.00021995543
conochilus,-0.001859095,-0.0018761915,-0.0020428451,-0.001924925
cosmarium,0.00022391506,0.00022655143,0.00025148538,0.00023406101
cryptophyte,-0.00013846386,-0.00013686181,-0.00012489868,-0.00013352191
cyanobacteria_colonial_blue,-0.0010326713,-0.0010340795,-0.0010467876,-0.0010386326
cyanobacteria_colonial_clathrate,-0.00033384227,-0.0003365399,-0.00036281193,-0.00034446424
cyanobacteria_colonial_probably,0.0010095158,0.0010177048,0.0010981275,0.0010414723
cyanobacteria_filamentous,0.001510409,0.001521411,0.0016264952,0.0015523615
cyclops,0.00022168025,0.0002261194,0.00026986064,0.00023906794
daphnia,7.982601e-06,1.1014988e-05,4.37e-05,2.0247975e-05
daphnia_cucullata,-0.00014670036,-0.00014631174,-0.00014294528,-0.00014534961
diaphanosoma,-0.001521611,-0.0015374545,-0.0016931618,-0.001582873
didinium,0.0004737375,0.00047536494,0.00049079396,0.00048044982
dinobryon,0.00012482682,0.00012788267,0.00016021138,0.00013733817
dinoflagellate_diamond,0.001083208,0.0010936118,0.001196,0.0011235949
dolichospermum,-0.00172096,-0.0017336956,-0.0018561947,-0.001769891
eudiaptomus,3.9834213e-05,4.5631667e-05,0.00010026555,6.168752e-05
fragilaria,-0.00083913247,-0.0008436312,-0.0008813451,-0.00085466536
gonium,-0.0005733994,-0.0005757717,-0.00059945777,-0.00058363593
gymnodinium,-0.0006048796,-0.000609228,-0.0006494377,-0.00062151544
kellicottia,-2.9198582e-05,-2.7413877e-05,-1.17099e-05,-2.249255e-05
keratella_cochlearis,-0.000401466,-0.00040283738,-0.00041044338,-0.00040550684
keratella_quadrata,0.00096893247,0.0009787214,0.0010713331,0.001005595
leptodora,-0.0006141884,-0.00061999145,-0.0006794983,-0.0006371054
