,h0,h1,h2,h3,h4,h5
aphanizomenon,-0.3635088,0.16308258,0.1818895,-1.6594867,1.4975431,-2.5316138
askenasia,-0.29461724,-0.7803375,-0.97409844,-0.47851828,0.6395261,-0.38904274
asplanchna,0.4672994,0.5117941,-1.5105901,0.57352656,1.4523268,-1.2729237
asterionella,-1.8852787,-1.6026058,1.964584,-0.7875881,0.29470542,-2.0439854
aulacoseira,0.8007438,1.6266482,2.9993274,-0.5789476,1.1471672,-2.159797
bosmina,1.4559382,0.27113074,-0.44932523,-0.16538432,-0.24281776,-0.3192314
centric_diatom,1.9225283,-1.8850454,0.8979978,-0.41975117,0.54578596,1.0614597
ceratium,-1.2221941,-0.41219524,-0.18912409,-2.2727332,1.5438768,-0.37767956
chaoborus,-0.86919624,-0.40558535,-0.049693387,-0.70549124,0.7327316,-2.7901611
chlorophyte,0.10782555,-1.302549,-0.6468298,-1.4836695,-0.31927258,-1.5503547
chlorophyte_colonial_dividing,-1.1374863,-1.1318041,-0.87996674,-1.8260065,-0.42343375,-1.5965079
chlorophyte_elongated,-0.7134471,-0.12827821,-0.14031695,1.716725,-0.7926514,-0.46103784
chlorophyte_frame,-1.6227355,-0.8414047,-0.54135364,-0.7703486,-1.1445951,-1.085241
chlorophyte_square,-0.921123,-0.9926576,-0.7999202,-2.8995583,-0.87290025,-1.0069759
chroococcales,-1.8714079,-1.6123626,-1.029018,-5.9923816,-1.2529377,-1.9281241
chydorus,1.6263776,-1.8647324,0.80657053,-0.7946136,-0.81640875,-4.9006166
ciliate,0.5398098,-0.13042393,-0.23618527,1.027448,-0.3049819,-0.10775279
ciliate_big,0.6027489,0.8884861,1.1073878,-2.450831,0.6127641,-3.132903
ciliate_blue,-0.43357074,0.073463865,-0.18533047,-1.3964299,-0.35414523,-0.10157971
ciliate_green,-1.0114412,-0.45655033,-1.1402078,-0.6824583,1.5018041,-1.0688671
ciliate_round,0.9666692,-0.79116565,0.63324636,-1.4309021,-0.21046105,-0.09090373
closterium,-0.19927715,-0.8481695,0.76881427,-0.44441777,0.18099773,-0.4865038
coelastrum_reticulatum,-2.3854928,0.5638929,1.3767903,-6.6896815,-1.734263,-0.24068363
coelosphaerium,-2.5464826,-2.1891353,-0.0062067276,-7.224119,-1.3531555,-3.699088
coleps,0.10386951,-1.407227,0.3711558,-3.2322018,-0.9079383,-1.6054432
collotheca,-1.7687442,-0.70301056,-0.2618162,-3.2895586,-0.41401023,-1.3224044
conochilus,1.5905349,0.09665236,-1.797734,0.5213228,2.6642811,-1.0616273
cosmarium,-0.66588867,-1.0555532,-0.6925677,-4.415964,-0.13767901,-0.40902296
cryptophyte,0.070757315,0.2948699,-0.6566858,-0.60763514,-0.36389938,-0.6363641
