,h0,h1,h2,h3,h4
aphanizomenon,0.00020195905,0.00019216747,0.00019857963,0.00019099333,0.00019224259
askenasia,0.003559447,0.0024833016,0.0027298315,0.0024471267,0.0024870979
asplanchna,-0.00089454564,-0.00070548936,-0.00075365376,-0.0006979457,-0.0007062452
asterionella,0.0009779314,0.0006841969,0.0007546363,0.0006737373,0.0006853115
aulacoseira,-0.00042944358,-0.00025606828,-0.00029248247,-0.00025104242,-0.000256594
bosmina,-0.0016255513,-0.0012207199,-0.0013161361,-0.001206941,-0.0012221687
centric_diatom,-0.0026214563,-0.0017906454,-0.0019741007,-0.0017634177,-0.0017934475
ceratium,0.00020148064,2.8998359e-06,4.220894e-05,-2.053249e-06,3.4753932e-06
chaoborus,-0.0005058038,-0.0006163628,-0.0005988123,-0.0006186805,-0.00061612093
chlorophyte,-0.0018337931,-0.0012717609,-0.0013996505,-0.0012528824,-0.0012737197
chlorophyte_colonial_dividing,-0.00043959878,-0.00056696846,-0.00054527307,-0.0005700295,-0.0005672696
chlorophyte_elongated,-0.00055246684,-0.00038253292,-0.00042082995,-0.00037650103,-0.0003831198
chlorophyte_frame,-0.0003408452,-0.00013135311,-0.00017349469,-0.00012540552,-0.00013197775
chlorophyte_square,0.00046669104,0.00036182418,0.0003870019,0.00035829534,0.000362187
chroococcales,-0.0009125852,-0.00069455494,-0.0007453531,-0.0006871534,-0.00069532415
chydorus,-0.0013867955,-0.0010735365,-0.0011499977,-0.0010620285,-0.0010747362
ciliate,-0.0005136741,-0.00039753193,-0.00041560354,-0.00039523764,-0.0003977704
ciliate_big,-0.0007253633,-0.0003236241,-0.00041514324,-0.0003101606,-0.00032501484
ciliate_blue,0.00096314173,0.0005352712,0.0006342616,0.0005207125,0.00053684437
ciliate_green,-6.658025e-05,-0.00017947378,-0.00016270281,-0.00018168773,-0.0001792303
ciliate_round,-0.0012926557,-0.0008480019,-0.000948198,-0.0008335491,-0.0008495514
closterium,-0.0020561968,-0.0015030517,-0.0016295718,-0.0014844898,-0.0015049229
coelastrum_reticulatum,0.00037879523,0.00034759825,0.0003535842,0.00034707077,0.0003476539
coelosphaerium,0.0012594498,0.0006342117,0.0007660644,0.0006163694,0.000636221
coleps,0.000413676,0.00037196142,0.00038484423,0.00036987432,0.00037217265
collotheca,-0.0010781428,-0.00075403525,-0.0008322076,-0.00074267725,-0.0007552748
conochilus,-0.0015986026,-0.0010808603,-0.0011948022,-0.001064426,-0.00108285
cosmarium,0.0005078548,0.00033849388,0.0003776803,0.00033247494,0.00033913107
cryptophyte,0.0007655801,0.0004834679,0.0005481859,0.0004747944,0.00048445538
cyanobacteria_colonial_blue,0.0004019869,0.00028231248,0.0003150848,0.00027690612,0.0002828136
cyanobacteria_colonial_clathrate,-0.0013207673,-0.000837913,-0.0009480588,-0.00082141487,-0.00083962304
cyanobacteria_colonial_probably,0.00033196792,0.00031740338,0.0003250982,0.00031588538,0.00031754628
cyanobacteria_filamentous,-0.0004937656,-0.00033199627,-0.00036683932,-0.00032704964,-0.00033250768
cyclops,-0.0006519831,-0.00048696902,-0.0005211155,-0.00048211447,-0.0004874783
daphnia,-0.0014556423,-0.0011302629,-0.0012082562,-0.0011185949,-0.0011314681
daphnia_cucullata,-0.0018112202,-0.0013435695,-0.0014542886,-0.0013274184,-0.0013452439
diaphanosoma,-0.0011837434,-0.0008656417,-0.0009408579,-0.00085453823,-0.000866808
didinium,-0.001092146,-0.00073678035,-0.0008145438,-0.00072531315,-0.00073796953
dinobryon,9.951717e-05,2.7994949e-05,4.7765036e-05,2.4763405e-05,2.8347426e-05
dinoflagellate_diamond,0.00026169114,3.906334e-05,8.946826e-05,3.20407e-05,3.9748968e-05
dolichospermum,0.0017363322,0.0010656681,0.0012207486,0.00104223,0.0010680916
eudiaptomus,-0.0013311959,-0.00093932776,-0.0010316332,-0.000925278,-0.0009407745
fragilaria,0.00023818246,0.00016547575,0.00018257965,0.00016279789,0.00016575234
gonium,-0.0024883565,-0.0017316542,-0.0019003076,-0.0017068724,-0.0017342648
gymnodinium,-0.0022495815,-0.001768947,-0.0018825957,-0.0017522649,-0.0017706568
kellicottia,-0.0016459286,-0.0012181018,-0.0013142854,-0.0012041221,-0.0012195607
keratella_cochlearis,0.00031176265,0.00020492883,0.00023038793,0.00020148559,0.00020532013
keratella_quadrata,-0.00020788118,-0.00023995989,-0.00023757249,-0.00024078465,-0.00024006395
leptodora,-0.0005572823,-0.0004190342,-0.00044747756,-0.00041447577,-0.00041944187
limnoraphis,0.0011409194,0.00061368005,0.0007289123,0.0005977968,0.00061544124
mallomonas_akrokomos,-0.0014857067,-0.0010585341,-0.0011563076,-0.0010438687,-0.0010600459
mallomonas_big,-0.003066563,-0.002175576,-0.0023818838,-0.0021445518,-0.0021782792
nauplius,-0.0012536965,-0.0009576123,-0.0010260533,-0.00094705174,-0.00095864595
oocystaceae,0.001401378,0.0009573827,0.0010568061,0.0009427246,0.00095890864
