,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-0.34805536,0.0033101076,-0.04198186,-0.037547704,0.26379657,0.20400383,-0.23907886
askenasia,-0.03787075,0.22423719,-0.13554,0.06389717,-0.13830285,-0.05771562,0.26133013
asplanchna,-0.069884084,0.0018823878,-0.18236518,-0.04547837,0.07260598,0.32210848,0.08616844
asterionella,-0.13114432,0.0049690553,-0.17536642,-0.0064063584,-0.08771156,-0.15966035,-0.011676326
aulacoseira,0.00091567053,-0.00041272395,0.00058086193,-4.88096e-05,0.0002630745,0.00091509335,0.00017934051
bosmina,-0.21872595,-0.08609615,-0.23400265,-0.22919303,-0.28258014,0.09226022,-0.1390636
centric_diatom,-0.21570818,-0.03945584,-0.108483605,-0.13545646,-0.11864275,-0.10783751,-0.05588833
ceratium,-0.107123934,0.12924768,-0.026790569,0.16950597,0.104139596,-0.103469335,-0.11422427
chaoborus,-0.3367332,-0.53053623,-0.23328814,-0.07610538,-0.14623117,-0.008366365,0.47610572
chlorophyte,-0.10708548,-0.10632508,-0.10705795,-0.10025954,-0.10776043,-0.11508267,-0.10733082
chlorophyte_colonial_dividing,-0.10421201,-0.09576548,-0.098869406,-0.085400805,-0.10398217,-0.10353903,-0.10225175
chlorophyte_elongated,-0.26929078,0.12717307,0.044593494,-0.11306666,-0.048865177,0.0067331176,-0.13525118
chlorophyte_frame,-0.12356232,-0.15536717,0.05624823,-0.02238643,0.22860996,0.011241235,-0.13900697
chlorophyte_square,-0.22627723,-0.0306807,-0.073544376,-0.04034846,-0.092257336,-0.06811735,-0.12977146
chroococcales,-0.11949316,-0.07750626,-0.08099084,-0.08255209,-0.030113779,-0.23321126,0.00078868313
chydorus,-0.26240507,0.019981189,-0.16667251,-0.20162576,0.12315505,-0.22085981,0.22841951
ciliate,-0.418936,-0.12781775,0.17897503,0.095954,0.1212066,-0.075694814,0.029046807
ciliate_big,-0.51621497,-0.25698322,0.05226549,0.5043395,0.12807314,-0.12061697,0.04788758
ciliate_blue,0.062825896,0.042133998,-0.09330256,0.047265776,0.054403547,-0.11385299,-0.13369578
ciliate_green,0.14953524,0.060206987,0.1017839,-0.16922845,-0.24169827,-0.13913375,0.18215737
ciliate_round,0.17598338,0.25373483,-0.023521543,-0.06574163,-0.25320637,0.35696548,0.22709365
closterium,0.042602796,0.014837842,-0.17405464,-0.31954488,-0.062045615,0.081528395,0.0684803
coelastrum_reticulatum,-0.22165382,-0.12210222,0.27236822,0.2884505,0.0104462,-0.21700883,-0.023246054
coelosphaerium,-0.18408087,-0.2530415,0.06796322,-0.1597451,0.29274964,0.11975198,-0.05544448
coleps,0.24615052,-0.2061354,-0.24794963,0.0029403411,-0.28305078,-0.058665477,0.03200641
collotheca,-0.2153461,-0.19718528,0.18014263,-0.13226667,0.16647354,0.28322417,-0.32851171
conochilus,0.07684299,0.2647963,-0.069166645,-0.39541107,0.1953105,-0.13992645,-0.17595272
cosmarium,0.004329171,0.22419149,-0.23684952,-0.0006851554,-0.16674677,-0.09846752,0.07469225
cryptophyte,-0.054207847,-0.04895235,-0.05142403,-0.045998327,-0.053081557,-0.05435773,-0.05019346
cyanobacteria_colonial_blue,-0.04885461,0.034869436,-0.15375291,-0.18237592,-0.043658968,-0.18158874,-0.12478317
cyanobacteria_colonial_clathrate,-0.12128852,0.14429231,0.21748531,0.35372233,-0.07939195,0.2686598,0.05511951
cyanobacteria_colonial_probably,-0.1267462,-0.093467705,-0.15536088,-0.14270458,-0.20622687,-0.10358613,-0.19660513
cyanobacteria_filamentous,0.03767879,-0.04867953,0.07883678,-0.015117958,-0.047017843,-0.3550841,-0.2211018
cyclops,-0.14904964,-0.061429974,-0.09479462,-0.18484707,-0.07113133,-0.1416962,0.03178219
daphnia,-0.018160446,-0.25945008,-0.0009035116,-0.04956113,-0.19755217,-0.06804852,-0.15797019
daphnia_cucullata,-0.1681096,0.60755855,-0.15481208,-0.3176902,-0.1807186,0.27525005,8.100094e-05
diaphanosoma,0.09035727,-0.22009188,0.19469517,-0.20081478,0.13784415,0.18959367,-0.0818817
didinium,-0.029934153,-0.16239946,0.117200024,0.21437113,-0.34074953,0.18148293,-0.01480505
dinobryon,-0.0458703,-0.042960733,-0.044261724,-0.04072208,-0.04484312,-0.04570794,-0.04184571
dinoflagellate_diamond,-0.09796653,-0.05398507,-0.08883057,0.2350041,-0.2046951,-0.01736044,-0.19715102
dolichospermum,0.16607377,-0.117249064,0.11264948,-0.047366176,0.002219401,0.34868672,-0.09233617
eudiaptomus,0.03483159,0.06633342,0.11066865,0.32529882,-0.27751243,-0.09940846,-0.1131164
fragilaria,-0.14155865,-0.075438716,-0.17691302,-0.11672525,-0.1639844,-0.091941826,-0.15632437
gonium,-0.07550017,-0.11857596,-0.0014479948,0.08934289,-0.6911783,0.46632653,0.2147215
gymnodinium,0.011114827,0.03708511,-0.021179847,-0.009383448,-0.086715914,0.21531886,-0.24572645
kellicottia,0.15334046,-0.102982275,-0.062343717,0.096695945,0.15100625,-0.114269614,-0.24453364
keratella_cochlearis,0.10880651,-0.13832667,0.22622362,0.04446289,-0.16534817,0.22951934,0.2511519
keratella_quadrata,-0.14200057,-0.11893794,0.22694798,0.12480339,0.077399924,-0.10419553,-0.059613574
leptodora,-0.022984263,0.29460245,0.011514555,0.045441516,-0.03685776,-0.030563932,-0.071124695
limnoraphis,0.0049768626,0.052178945,0.01321099,0.029483251,0.4284177,-0.1584887,0.055547662
mallomonas_akrokomos,-0.2583934,-0.3400754,-0.18404189,0.0993103,-0.016088534,0.34731564,-0.036081176
mallomonas_big,0.03217128,-0.084748,-0.0036569384,0.006167881,-0.061549783,-0.03558904,-0.115124695
nauplius,-0.13804558,-0.18657982,-0.10210655,-0.12541413,-0.10633096,-0.15072952,-0.12284843
oocystaceae,-0.11200412,-0.10512789,-0.10077959,-0.10023593,-0.1102841,-0.11330966,-0.109766126
pandorina,-0.09879311,0.12975052,-0.064027525,0.10049318,0.17130901,-0.2786303,0.16226588
