,h0,h1,h2,h3
aphanizomenon,-0.5822067,0.9113808,-1.2369992,-0.93396455
askenasia,-1.63194,-1.1465181,-0.5279375,0.14047393
asplanchna,1.025403,-0.08857403,-1.8730053,0.6604552
asterionella,-0.20610693,-2.1567507,0.9501891,-1.2687892
aulacoseira,0.46021777,0.8833968,1.0537702,-1.51884
bosmina,0.9780797,1.8917289,-0.6928404,-0.46291438
centric_diatom,1.5438069,-1.1398331,1.7153274,-1.162373
ceratium,-1.4448758,-0.06467113,-1.1307008,-1.2726359
chaoborus,-1.1224756,0.95495015,-1.422616,-0.5497733
chlorophyte,-0.42379686,-5.979768,-4.222566,-4.2867866
chlorophyte_colonial_dividing,-2.5179634,-6.0044036,-3.2690525,-3.1540933
chlorophyte_elongated,-0.82363456,-1.437824,-1.5841917,0.44558907
chlorophyte_frame,-1.6856105,-3.189067,-3.2756484,-1.9841447
chlorophyte_square,-2.163961,-2.9490848,-2.764813,-4.8508787
chroococcales,-2.477713,-2.6270638,-1.1757265,-3.2325373
chydorus,-1.0622097,1.2818116,-0.2972928,-0.7371598
ciliate,1.1523141,-1.226107,-0.17660841,0.30714118
ciliate_big,0.048749276,2.6011217,-1.9894422,-3.542939
ciliate_blue,-0.56220937,0.03549926,-0.68301266,-1.6235843
ciliate_green,-3.7702372,-1.1888226,-1.6295177,2.0360317
ciliate_round,0.55130243,-0.28015077,0.22964616,-0.912669
closterium,-1.1868893,-0.9837995,3.3728354,-2.3483922
coelastrum_reticulatum,-2.4657826,-0.19430204,1.5782909,-1.4785471
coelosphaerium,-2.506448,-0.9760985,-1.4019554,-2.5477262
coleps,-1.2141135,-0.47205946,0.93121356,-1.4118638
collotheca,-3.254972,-0.12273024,-0.8804383,-1.5198413
conochilus,0.8258901,0.16889629,-1.4258255,0.8451283
cosmarium,-2.2354758,-2.2846406,-0.9767359,-2.0568109
cryptophyte,0.6741117,-0.37800512,-4.015973,-1.0123802
cyanobacteria_colonial_blue,-2.0326803,-1.2708157,-1.0781963,-2.407331
cyanobacteria_colonial_clathrate,-3.1254132,-0.7155648,0.2463034,-1.6468651
cyanobacteria_colonial_probably,-3.5860393,0.29010153,-1.5832739,-2.5532877
cyanobacteria_filamentous,-1.2136852,1.1381271,0.38349602,-1.9313345
cyclops,-0.69400215,-0.6676258,-2.8454626,-0.5581388
daphnia,-1.8653852,4.0293803,-3.5550435,-0.35197884
daphnia_cucullata,-1.980477,2.3787777,0.21663462,-1.2519528
diaphanosoma,-1.5625381,0.2827164,-0.2344573,-1.2374789
didinium,-0.21597019,-1.4896641,0.124258794,-1.0094271
dinobryon,-11.306869,-1.284567,-3.0669959,7.413544
dinoflagellate_diamond,4.437705,0.5555668,2.8789287,-1.5136017
dolichospermum,-1.6944606,-0.07098255,0.13022697,-1.7195473
eudiaptomus,-0.3401448,0.36304295,-0.30253533,0.59327894
fragilaria,-2.376637,-0.9767051,2.7436745,-1.0684464
gonium,-2.2708783,-2.7012372,-3.908965,-1.2736834
gymnodinium,0.8339393,-1.8416736,-0.9655885,-2.8903694
kellicottia,2.3015409,-1.4010912,-1.6611134,-0.7081953
keratella_cochlearis,-1.4537976,-1.5734005,0.49950856,-0.79095453
keratella_quadrata,0.5331213,-0.83308274,-1.11831,0.42241278
leptodora,-1.2892137,2.009512,-1.7689407,-2.8513567
limnoraphis,-1.2786406,2.5854862,-1.387349,-1.9494729
mallomonas_akrokomos,0.6000137,-1.3985054,-1.3849682,1.256475
mallomonas_big,-2.5398757,-0.7523774,1.2202386,-1.1155604
nauplius,1.1525439,-1.9895477,-4.102146,1.1859107
oocystaceae,-1.8442845,-0.8233866,-3.2391596,-3.811564
pandorina,-1.1383351,-1.438236,1.2823457,-1.260391
paradileptus,-1.9411992,1.1869135,-0.6864169,-1.8674208
pediastrum,-2.9014816,0.07557945,0.03305609,-2.6735978
pennate_diatom,0.7646565,-0.6662871,-0.93793213,-1.0407655
peridinium,-0.2781285,-2.037346,-0.1587012,-2.5394938
phacotus,-1.7751986,-2.0613976,-2.3149846,-1.8844213
plankton_x,-0.68602496,-1.5976007,-1.0643927,-1.2419395
plankton_y,0.26968306,-1.3668442,0.5675832,-1.075465
plankton_z,-1.543696,-2.6539426,-1.737476,-1.8482972
planktosphaeria,-0.45348516,-1.5637461,-0.81219846,0.16459973
polyarthra,0.645217,-0.77303874,-2.5484562,0.58238685
protist_like_ciliate,0.231836,-1.4037853,-1.7046163,-3.2541578
rhodomonas,2.939336,-2.2472544,-2.4546316,1.1583453
rotifer,-0.27618542,-0.79441035,-4.0216303,1.3501428
rotifer_long,-0.63007534,-0.79191554,-1.5282038,0.21182758
rotifer_z,-1.9351181,-0.99655664,-0.74314046,-0.9603348
scenedesmus,-2.7053785,1.1610496,-1.6809654,-4.2602096
snowella,-2.3196437,0.08002282,-0.34839654,-3.6031556
staurastrum,-1.4608498,-1.6881427,1.437821,-0.43313888
strombidium,0.4628935,-1.9401023,-1.3338557,-0.65822595
synchaeta,0.02690341,0.8203352,-0.06353993,0.40320492
synedra,-0.12043589,0.41450748,-1.2069966,0.22079174
synedra_angustissima,-0.21086858,2.7140777,0.48908252,-2.9421518
synura,-2.2531137,0.26636237,1.4728513,-1.3030705
tetraedron,-1.8176074,-1.766724,-1.5916187,-2.3579917
tintinnid,0.89290345,-0.4283716,0.09976067,-1.4477609
trichocerca,-1.2927443,-0.98244053,-2.3543446,-0.09166481
uroglena,-3.096804,0.09226527,-1.8199294,0.85692775
vorticella_epistylis_like,0.28991815,-1.0668006,0.39694542,-2.1558454
