,h0,h1,h2,h3
aphanizomenon,-4.6418138,0.30518147,-0.73132294,-1.6416944
askenasia,0.71898144,-1.4921348,-0.4248263,0.094987
asplanchna,-0.18248932,-0.17554273,-0.49788898,1.3488798
asterionella,-1.5765922,-1.5812501,-0.9915542,-3.0884583
aulacoseira,-2.5864305,2.6286788,-1.9004531,-3.1813369
bosmina,-1.4847835,1.1875172,0.59246814,-0.034934472
centric_diatom,1.7361999,0.6951624,0.7081478,-1.0777276
ceratium,1.2405523,-2.0831244,-1.9479339,-1.2093335
chaoborus,-3.237128,-1.2127876,-1.0463569,-0.09597965
chlorophyte,-0.9535101,-1.655277,0.4434621,-0.080889665
chlorophyte_colonial_dividing,-0.728902,-2.9946535,0.3675806,0.13542345
chlorophyte_elongated,-1.6290579,-0.77681804,0.5201647,0.2280465
chlorophyte_frame,-4.6487837,-2.717656,1.0203176,0.31531292
chlorophyte_square,-2.3111558,-2.3328662,0.8835767,-0.043239962
chroococcales,-6.872055,-3.3719604,2.3165076,0.13274626
chydorus,-3.8169363,-0.7847593,0.7611375,-1.9694965
ciliate,0.13999438,0.3310242,0.5023802,0.508907
ciliate_big,-3.583037,1.0094653,-1.3904157,-1.6019436
ciliate_blue,-0.8900744,-0.420878,0.107130826,0.027102262
ciliate_green,0.6875968,-2.3635314,-1.2063142,0.20769115
ciliate_round,0.31630027,-0.14613834,0.6796297,-0.69159263
closterium,0.515232,-0.44134173,-0.38165137,-1.2049093
coelastrum_reticulatum,-4.4160304,-0.8110202,0.8966005,-2.6234457
coelosphaerium,-10.53665,-5.3688126,1.3810855,-0.76053286
coleps,-2.7379868,-1.3904244,0.5423198,-1.4194491
collotheca,-7.0289927,-2.4341059,0.21095954,-0.27046317
conochilus,0.6423811,0.4401106,-1.2950838,1.6414577
cosmarium,0.12039444,-2.4947386,0.055880878,-0.2071413
cryptophyte,-1.6940019,-0.022675773,0.3198328,0.3449156
cyanobacteria_colonial_blue,-5.029746,-1.4951206,0.9629068,-0.78675336
cyanobacteria_colonial_clathrate,-12.177608,-2.680423,-1.0269929,-1.8496804
cyanobacteria_colonial_probably,-7.681446,-1.4247261,2.0516188,-1.1897125
cyanobacteria_filamentous,-5.594556,-0.42478874,0.955032,-4.0364623
cyclops,-1.2302623,-0.46854997,-0.039325874,0.3429173
daphnia,-3.263928,0.31315297,-0.7147924,-0.34367466
daphnia_cucullata,-12.759843,-1.3920816,0.08996871,-1.4578251
diaphanosoma,-11.610896,-4.11481,1.46602,0.19605154
didinium,1.7450423,-1.283574,0.24566056,-0.41240203
dinobryon,0.8557839,-4.2781043,-2.779473,0.60748094
dinoflagellate_diamond,-0.067045785,2.1884158,2.5484414,0.22500613
dolichospermum,-3.9144607,-0.5585566,-0.6190007,-2.035223
eudiaptomus,-0.09788797,-0.07236559,-0.05050881,-0.079831086
fragilaria,-0.11535973,-2.3311322,-2.6425536,-2.1248984
gonium,-12.713493,-5.369577,0.2777435,-0.25825524
gymnodinium,-0.13274528,-0.28939518,0.3206622,0.20989309
kellicottia,-0.3770457,0.4026041,-0.13537125,0.4107984
keratella_cochlearis,0.7725468,-1.0206705,-0.5657488,-0.08754649
keratella_quadrata,0.64254177,-0.14730142,-1.5750839,0.57841367
leptodora,-11.468698,-0.8669656,-0.6687876,-0.8123114
limnoraphis,-8.7975025,-1.5033152,0.34841192,-1.3771791
mallomonas_akrokomos,0.5486902,-0.06514103,0.8819027,0.9724922
mallomonas_big,0.7186307,-1.5039314,-0.26641706,-1.0715014
nauplius,-0.28787997,0.000168925,-0.081232704,0.8232531
oocystaceae,-5.328445,-1.1126063,2.1697423,-0.36101368
pandorina,0.31465098,-0.7912827,-0.74491775,-0.46784118
paradileptus,-0.8130782,-1.3819613,-1.4108218,-1.6078377
pediastrum,-4.3694086,-1.6580719,0.14021398,-1.050113
pennate_diatom,-0.6110763,-1.5777719,0.7469568,-1.5309608
peridinium,1.3331313,-1.676136,0.55183303,-0.08508655
phacotus,-2.426645,-1.4123875,-1.0977408,-0.23472793
plankton_x,-0.21981989,-1.4236975,0.32613298,1.2265449
plankton_y,0.83345324,0.2915914,0.2913147,-0.16172446
plankton_z,-4.048731,-3.6512616,0.6784532,-0.15063983
planktosphaeria,-2.2826602,0.37578517,-1.3681318,-0.96546435
polyarthra,-1.4920657,0.44169068,-0.042361844,1.2972999
protist_like_ciliate,-0.42804646,-1.4708039,0.24279647,-0.05629648
rhodomonas,-0.5908587,0.9460689,0.48006442,0.74863267
rotifer,-0.2901199,-0.5071745,-0.7509292,0.8802436
rotifer_long,-6.5749364,-1.2707611,0.0072066872,0.5747417
rotifer_z,-6.7793455,-3.0756373,-0.69188654,0.56063503
scenedesmus,-7.9626865,-2.341123,0.37485528,-1.1030154
snowella,-3.5553892,-4.931228,5.3201513,0.60678256
staurastrum,0.33965328,-1.298403,-0.18108283,-0.6515095
strombidium,0.83711684,-0.4164753,0.25203857,0.54669243
synchaeta,0.61155134,-0.14250977,-0.534309,-0.27553403
synedra,1.2229449,-0.93522173,-1.1055591,0.027974527
synedra_angustissima,-4.1403513,1.3644081,-0.26731968,-2.9017446
synura,-8.089492,-1.8731776,-1.0920892,-1.3117086
tetraedron,-0.6044888,-1.94686,0.7238717,-0.18230769
tintinnid,-0.19953749,0.31696117,0.19647923,-0.3854893
trichocerca,-0.14828083,-1.1811026,-0.06762664,0.32652897
uroglena,0.0720972,-3.7567248,-1.6012323,1.884728
vorticella_epistylis_like,0.58464676,-0.19676405,0.35963693,-0.74141705
