,h0,h1,h2,h3,h4
aphanizomenon,-1.2238891,-3.6339078,-0.5092053,1.5562528,-0.2154272
askenasia,-0.048418492,0.5530878,-1.4350312,-0.9225379,-1.0121411
asplanchna,1.0703732,-2.6917317,0.9654756,0.8187938,-1.07019
asterionella,-1.1000912,-2.1048343,-0.2190742,-1.7810358,1.3282517
aulacoseira,-1.7936975,0.5894448,0.621799,0.43401372,1.2214658
bosmina,-0.4254397,0.72077227,0.96744543,1.1489383,-0.40894702
centric_diatom,-1.3022542,0.5821337,1.5217103,-1.9695904,2.0209382
ceratium,-1.4755646,-5.4050817,-1.1909354,0.31156686,-0.36970317
chaoborus,-0.60742205,-0.8030767,-1.1194726,0.98343515,-0.9186882
chlorophyte,-4.9792795,1.4728763,-0.028269185,-4.588717,-5.8294854
chlorophyte_colonial_dividing,-3.040483,-2.8263016,-2.8658063,-4.8675556,-3.4516993
chlorophyte_elongated,0.94233924,-0.31016165,-1.1472772,-1.1812824,-1.4946383
chlorophyte_frame,-1.2875713,0.27029362,-1.854598,-2.7994294,-3.5784278
chlorophyte_square,-3.8478773,-0.9957469,-2.046283,-2.4434338,-2.9111633
chroococcales,-3.1807542,-0.3458621,-2.4664075,-2.0627716,-1.422222
chydorus,-1.2045534,2.0206776,-1.027541,1.518099,-1.642434
ciliate,0.5747687,-0.6334995,1.0374962,-0.67177355,-0.19335973
ciliate_big,-2.8261805,-3.436959,0.46590427,1.769657,0.38014933
ciliate_blue,-1.6258152,0.355475,-0.41884997,-0.07830725,-0.97206753
ciliate_green,2.0080142,0.83770746,-3.6324668,-0.7837559,-2.2597113
ciliate_round,-0.7255305,-1.2757847,0.54323095,-0.321932,0.9249033
closterium,-2.878025,1.6114403,-1.0705324,-1.2707651,2.298804
coelastrum_reticulatum,-1.2571112,-0.062161077,-2.6634643,-0.3759515,1.6381716
coelosphaerium,-2.2524943,-0.17916135,-2.71464,-0.9005624,-1.5768977
coleps,-1.4333948,-0.0803032,-1.4246778,-0.5982476,0.8432694
collotheca,-1.3955375,-0.15567555,-3.214503,0.12832265,-1.1301073
conochilus,1.3481427,-2.5394142,0.5692957,0.32456705,-0.08132646
cosmarium,-1.6593895,0.59984654,-2.1922288,-1.6962134,-1.4326456
cryptophyte,-1.7040166,-1.0781639,1.0420458,0.64609873,-4.6724224
cyanobacteria_colonial_blue,-1.9986746,-2.860043,-2.1571898,-0.80568403,-0.7687113
cyanobacteria_colonial_clathrate,-2.055023,-1.1522509,-3.812343,-1.0488907,0.7649139
cyanobacteria_colonial_probably,-2.1217794,-1.0944916,-3.4362416,0.1942167,-1.5030584
cyanobacteria_filamentous,-1.8056488,-0.71103674,-1.1485227,1.2907318,0.4995462
cyclops,-0.44620332,-1.1181754,-0.56704336,-0.3508497,-2.3886106
daphnia,-0.31826136,-1.9454381,-1.9617162,3.8842404,-1.9543655
daphnia_cucullata,-1.6462256,1.1744998,-1.8271319,2.2270882,-0.3094799
diaphanosoma,-1.1466559,-0.0068118125,-1.611878,0.44915336,-0.50679004
didinium,-0.97985643,-0.47553095,-0.07084429,-1.4994862,0.19392829
dinobryon,2.9158318,-2.64027,-6.787481,-0.7615685,-2.50366
dinoflagellate_diamond,-2.0684972,0.99519205,5.641771,-0.59723616,3.6738622
dolichospermum,-1.7741045,0.65478337,-1.550823,-0.04544993,-0.4311974
eudiaptomus,0.54838353,0.16446872,-0.4695616,0.0058209314,0.072012596
fragilaria,-1.0390571,-1.6409191,-2.6105487,-1.0032912,3.492031
gonium,-0.909052,-1.9752228,-2.4108744,-1.2818471,-2.6742563
