date,h0,h1,h2,h3,h4
2021-08-15,8.908711e-25,4.068459e-20,1.2913505e-21,1.2216967e-16,5.773687e-23
2022-01-14,0.9964706,0.999995,1.0,0.99993503,0.99999976
2024-10-10,1.3250822e-31,7.068383e-14,1.0025178e-21,1.4110963e-17,3.726732e-17
2023-09-29,1.2316578e-33,6.9748304e-12,1.1729632e-25,1.3520345e-12,1.31151675e-20
2020-07-27,1.0776495e-17,2.505797e-13,4.590996e-16,7.659681e-12,4.388906e-23
2020-12-08,0.037375715,0.2874532,0.9995715,0.0009113164,1.0
2024-05-29,0.99998534,1.3336457e-11,2.3104394e-05,0.000822022,6.946253e-05
2024-04-30,1.0,3.0060376e-10,0.9999989,0.99999654,1.3904923e-06
2023-03-31,2.0512694e-10,1.7152348e-09,1.0,2.3438993e-08,7.130554e-13
2021-07-14,3.695037e-17,9.2097074e-20,2.7675096e-23,6.1750455e-08,6.438648e-14
2024-10-02,1.6920437e-28,1.5116428e-14,5.675053e-23,8.838151e-14,2.6020664e-16
2021-06-21,1.8395061e-05,4.818982e-16,3.5151388e-17,5.06802e-10,1.9986998e-12
2020-06-03,0.0004110444,4.4147823e-15,1.5814604e-12,3.878433e-10,7.887807e-13
2024-10-25,4.66266e-28,2.1412896e-18,5.8958754e-24,3.4953697e-13,1.9795957e-21
2024-07-22,2.2064534e-21,4.8836453e-22,7.937262e-21,6.297779e-18,1.02067485e-26
2019-12-26,0.9999621,0.59444165,1.0,0.99928385,0.9999987
2022-12-25,1.7461639e-10,1.9089562e-08,0.99999857,0.9808622,1.0
2024-03-14,2.117318e-12,1.12990964e-10,0.99984884,8.429309e-05,4.156138e-13
2020-10-30,7.18091e-11,1.8975039e-11,2.6387473e-19,4.0079107e-10,1.114527e-09
2021-08-10,2.6412999e-23,6.513511e-22,2.0226422e-19,5.5484225e-20,1.8011817e-24
2022-07-28,2.0227776e-15,1.0468234e-09,1.8658491e-19,6.514682e-10,6.272813e-20
2023-10-20,1.9658463e-29,2.6288536e-17,2.2322363e-25,4.844989e-09,5.192993e-19
2019-06-30,2.6117451e-14,2.942157e-16,6.964096e-25,4.0362852e-11,5.8790404e-21
2022-02-14,0.010457938,0.9999939,1.0,0.009726229,0.99999607
2023-01-17,1.7033611e-09,5.5559588e-14,0.9999999,1.0,0.9974727
2022-03-29,3.1284179e-12,8.482387e-06,1.0,4.745115e-11,2.9294828e-10
2020-05-04,1.0,1.8758296e-06,1.0,0.9996451,1.695743e-06
2020-06-21,1.2266568e-07,4.272743e-21,7.283624e-18,5.358262e-09,4.301031e-11
2022-03-21,1.8346424e-15,3.1744893e-09,0.9994974,1.05758586e-14,4.762567e-12
2022-01-10,0.62476987,0.99673957,1.0,0.99966574,1.0
2023-01-10,7.448104e-11,2.8968804e-12,0.99999404,0.9999933,1.0
2023-01-12,1.1775496e-10,3.2247584e-12,0.9998301,0.9999974,0.99998367
2021-01-12,0.027318649,3.6320691e-06,1.0,5.232347e-05,1.0
2024-06-30,4.3532914e-22,1.4654375e-20,4.8318734e-21,3.7662376e-15,1.991472e-21
2020-10-06,1.6512395e-22,9.6822384e-17,5.668951e-23,1.2168282e-14,6.121876e-19
2022-08-02,1.0053203e-15,9.373693e-08,1.2715688e-19,1.2386351e-08,3.503586e-17
2022-08-23,7.717421e-22,1.1979779e-12,1.00024005e-23,3.956411e-12,6.017146e-22
2023-01-01,5.449838e-10,7.19023e-11,0.9999466,0.99857676,0.99999845
2022-11-03,1.8714639e-14,3.4353092e-17,1.7873816e-18,0.045275286,3.6919373e-06
2021-10-07,4.822091e-23,2.2986246e-20,3.8570636e-24,1.0658477e-11,1.809486e-14
2020-02-28,0.08736745,4.4446915e-05,1.0,2.6825062e-06,0.99999917
2023-12-26,0.119364426,0.99998224,0.9999995,0.9999757,1.0
2020-09-03,2.237517e-22,2.8483225e-22,4.7888794e-21,3.8775058e-19,3.330141e-22
2024-11-21,1.3352638e-12,0.7299314,0.0086801285,0.98606026,0.79275334
