epoch,train_mse,val_mse,train_nll,val_nll,theta_mean,sat_lo,sat_hi,sat_mid
1,728343.7619140625,693886.125,3.3559632301330566,3.3922109603881836,0.9930274486541748,0.7010663151741028,0.2949678301811218,0.003965854644775391
10,857657.6208984375,591963.3125,3.1171605587005615,3.1605355739593506,0.9535648822784424,0.7192209362983704,0.27831143140792847,0.002467632293701172
20,612218.0883300782,509583.1875,3.063270092010498,3.102205991744995,0.9265540838241577,0.7543843984603882,0.24367673695087433,0.0019388645887374878
30,627260.6509765625,498811.4375,3.0248351097106934,3.0581576824188232,0.9054645299911499,0.7554419636726379,0.24332422018051147,0.001233816146850586
40,680759.05625,476722.5625,2.995656967163086,3.028707981109619,0.8883899450302124,0.7595840096473694,0.23971092700958252,0.0007050633430480957
50,827451.635546875,479272.21875,2.9902420043945312,3.019087553024292,0.8749306797981262,0.7621397376060486,0.23733144998550415,0.0005288124084472656
60,386590.6857421875,469092.0,2.976619005203247,3.003903388977051,0.8635640740394592,0.7665461897850037,0.23266060650348663,0.0007932037115097046
70,432771.42705078126,470709.5,2.9656596183776855,2.995103120803833,0.8539520502090454,0.7627566456794739,0.23653829097747803,0.0007050633430480957
80,390385.85283203126,474605.34375,2.9559624195098877,2.9874961376190186,0.845736026763916,0.757292628288269,0.24200227856636047,0.0007050931453704834
90,410719.44208984374,478984.84375,2.9280877113342285,2.9646151065826416,0.8421209454536438,0.7520049214363098,0.2474662810564041,0.0005287975072860718
100,409589.8697265625,486685.75,2.9229981899261475,2.9569296836853027,0.8389247059822083,0.742927610874176,0.255838543176651,0.0012338459491729736
110,554379.9380859375,478980.25,2.9203953742980957,2.9587152004241943,0.8376901149749756,0.7281219363212585,0.27099671959877014,0.0008813440799713135
120,469210.2513671875,498876.625,2.9188191890716553,2.9623937606811523,0.8366211652755737,0.7150788307189941,0.28403982520103455,0.0008813440799713135
130,526175.7591796875,501695.4375,2.908642530441284,2.9425618648529053,0.8356229066848755,0.7125231027603149,0.28536176681518555,0.0021151304244995117
140,556322.226953125,496201.375,2.9053549766540527,2.9453940391540527,0.8357366919517517,0.7117299437522888,0.28721246123313904,0.0010575950145721436
150,717289.511328125,501630.15625,2.9017176628112793,2.9466240406036377,0.8357294797897339,0.7138450741767883,0.2850092351436615,0.001145690679550171
160,499288.8828125,497352.375,2.8969075679779053,2.950852870941162,0.8360146880149841,0.7119061946868896,0.2870362102985382,0.0010575950145721436
170,555567.1072265625,498850.90625,2.899574041366577,2.9533731937408447,0.8369565010070801,0.7149907350540161,0.28395169973373413,0.0010575652122497559
180,504041.07578125,495780.0,2.9007060527801514,2.941633939743042,0.8373440504074097,0.7155194878578186,0.28351104259490967,0.0009694695472717285
190,564084.19765625,491246.78125,2.9020984172821045,2.9418070316314697,0.8374177813529968,0.7173702120780945,0.2817484736442566,0.0008813142776489258
200,467139.95703125,493267.3125,2.897472858428955,2.9241421222686768,0.8377167582511902,0.715255081653595,0.2837754487991333,0.0009694695472717285
210,580337.788671875,488243.25,2.8901007175445557,2.9273409843444824,0.8389286398887634,0.7126112580299377,0.28597867488861084,0.001410067081451416
220,452858.635546875,496812.0,2.8923909664154053,2.9288711547851562,0.8402713537216187,0.7149025797843933,0.28395169973373413,0.0011457204818725586
230,509926.37109375,486777.28125,2.891043186187744,2.925261974334717,0.8416328430175781,0.7084691524505615,0.29047325253486633,0.0010575950145721436
240,497872.39296875,488401.8125,2.886841058731079,2.928462028503418,0.8427498936653137,0.7047677636146545,0.29373401403427124,0.0014982223510742188
250,568837.5015625,486433.3125,2.8848958015441895,2.9256863594055176,0.8443861603736877,0.7031814455986023,0.29523220658302307,0.0015863478183746338
260,554621.3609375,483860.375,2.8877737522125244,2.927039861679077,0.8459821343421936,0.7016832232475281,0.2966422736644745,0.0016745030879974365
270,504925.925,490668.53125,2.884509563446045,2.927358865737915,0.8467074036598206,0.7022120356559753,0.29637789726257324,0.001410067081451416
280,507403.7734375,494731.1875,2.884247064590454,2.9372432231903076,0.847697377204895,0.7024763822555542,0.29576098918914795,0.0017626285552978516
290,533180.85859375,492584.84375,2.8858067989349365,2.9291415214538574,0.8488138914108276,0.706265926361084,0.2923239469528198,0.0014101266860961914
300,566219.06796875,490956.8125,2.8898162841796875,2.9340665340423584,0.8493003249168396,0.7072353959083557,0.2910901606082916,0.0016744434833526611
310,501290.621875,495773.28125,2.887772798538208,2.924086570739746,0.8499266505241394,0.7133162617683411,0.28589051961898804,0.0007932186126708984
320,474318.198046875,490660.6875,2.8866279125213623,2.925969123840332,0.8505170345306396,0.7175464630126953,0.28157222270965576,0.0008813142776489258
330,590697.9828125,487737.71875,2.882890224456787,2.919729709625244,0.8513439893722534,0.7158719897270203,0.283158540725708,0.0009694695472717285
340,447812.75546875,494849.75,2.882740020751953,2.924041509628296,0.8522652983665466,0.7216885089874268,0.27681323885917664,0.0014982521533966064
350,499229.15703125,490078.875,2.8809211254119873,2.9242959022521973,0.8529265522956848,0.7200140953063965,0.27875208854675293,0.001233816146850586
360,512347.571875,492740.46875,2.8794915676116943,2.9233760833740234,0.8539605140686035,0.7208072543144226,0.2772538959980011,0.001938849687576294
370,512806.5265625,501032.40625,2.879943609237671,2.9250876903533936,0.854901909828186,0.7206310033798218,0.2780470550060272,0.001321941614151001
380,430586.5859375,502720.0,2.8780696392059326,2.9200470447540283,0.8555396795272827,0.7251255512237549,0.27372872829437256,0.0011457204818725586
390,521491.9359375,498680.65625,2.8796632289886475,2.9187989234924316,0.8562170267105103,0.7233629822731018,0.2754031717777252,0.0012338459491729736
400,564629.9671875,497492.71875,2.8809194564819336,2.9226694107055664,0.8572247624397278,0.7224816679954529,0.2766369879245758,0.0008813440799713135
410,516872.5078125,501424.96875,2.8788676261901855,2.926348924636841,0.8582615256309509,0.7202784419059753,0.2786639630794525,0.0010575950145721436
420,500293.4015625,500388.1875,2.8991475105285645,2.9404797554016113,0.8570578098297119,0.707940399646759,0.29056137800216675,0.0014982223510742188
430,492913.484375,503392.53125,2.8972878456115723,2.941643714904785,0.8559487462043762,0.7056490182876587,0.2929408550262451,0.0014101266860961914
440,546391.7890625,473480.71875,2.90061616897583,2.945554733276367,0.8546517491340637,0.6992156505584717,0.29963865876197815,0.001145690679550171
450,453856.4453125,463642.15625,2.8972902297973633,2.939640760421753,0.8530411720275879,0.6951617002487183,0.30360445380210876,0.0012338459491729736
460,483177.415625,487972.90625,2.901975154876709,2.950404644012451,0.8512480854988098,0.6767427325248718,0.32167091965675354,0.0015863478183746338
470,475209.1375,505507.28125,2.8982584476470947,2.9458889961242676,0.8492022156715393,0.6460738182067871,0.3518991768360138,0.0020270049571990967
480,511963.8609375,517237.59375,2.88521146774292,2.9342575073242188,0.8487215638160706,0.6410504579544067,0.3571869134902954,0.0017626285552978516
490,531127.4640625,520452.65625,2.879739761352539,2.9283859729766846,0.8488947749137878,0.6377897262573242,0.3602714240550995,0.001938849687576294
