,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-0.803984,-0.806939,0.112397395,-0.95959127,-1.8014227,0.39235657,0.2138084
askenasia,-0.9888504,0.13584977,0.4129691,-0.5065188,-0.19782697,-1.2093881,0.4076827
asplanchna,-1.7101656,0.9671893,-0.94893825,-1.1155815,-1.541253,-0.4727866,-0.09230012
asterionella,-2.259463,-3.0954547,-1.005569,-1.065166,-0.6745051,-0.802777,1.2989281
aulacoseira,-0.28412178,-1.5947053,0.9371103,-1.4616663,-1.1485304,1.9091504,-2.3650906
bosmina,0.1538929,-0.012134255,-0.027073203,0.9005872,-0.8181559,0.41561297,-0.92788416
centric_diatom,0.22838812,-0.9687117,-0.46106905,-0.1830869,1.553612,-1.0804676,-1.599685
ceratium,-0.37133214,-0.26721513,1.2681962,-1.4248053,0.557209,0.015916485,1.2549621
chaoborus,-1.7912594,-0.17395979,0.6448501,-0.7348263,-0.45261073,-0.052845467,0.90512615
chlorophyte,-1.0515254,-0.22513938,0.5501403,0.5900889,-0.88491446,-1.3801873,0.019737352
chlorophyte_colonial_dividing,-1.3650124,-0.2997525,0.99200153,0.44667718,-0.9367851,-1.6156512,0.9166629
chlorophyte_elongated,0.49956366,-0.12254766,-0.3948038,0.2839541,-0.89640784,-0.18399282,1.3970761
chlorophyte_frame,-1.2254454,-0.61206985,0.31728667,0.65668976,-1.8070734,-1.7663966,1.0716165
chlorophyte_square,-0.87888134,-0.11424205,1.3166078,0.8525825,-0.6886492,-1.5698826,0.44159794
chroococcales,-1.8847815,-0.4355396,1.4850217,0.71425575,-2.01984,-3.027446,1.1457349
chydorus,-2.81085,-1.3887024,0.86523545,1.1159548,-0.46343344,-0.83024627,-1.1246816
ciliate,0.15723896,0.41181013,-0.53602207,0.3439178,-0.010443824,-0.093690135,0.18759157
ciliate_big,-2.7243583,-2.070506,1.1874971,-0.5544191,-1.8072923,-0.14150217,-2.3570428
ciliate_blue,-0.87015307,-0.040046144,0.52320445,0.33134887,0.34611803,-0.34211892,-0.19297054
ciliate_green,-1.2039527,0.15595381,0.32596081,-1.4197505,-0.5940807,-1.2003144,1.165054
ciliate_round,-0.2576148,-0.49729386,-0.041882418,0.20393205,-0.32478243,-1.0556706,-1.0517746
closterium,-0.4800949,-0.7155751,0.71139234,-0.283373,0.88150495,-0.47545055,-0.6072934
coelastrum_reticulatum,-0.13598466,-4.9736586,0.9715055,-0.16310298,-1.3365237,-0.50089836,1.6184385
coelosphaerium,-3.4474626,-1.4685671,1.5101544,0.12764797,-5.240615,-2.8605247,1.9122299
