,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-0.11264407,-0.0005096539,-0.43252423,0.09540993,0.058117066,-0.027911685,-0.04146777
askenasia,-0.053216416,-0.19312456,-0.046753462,-0.32200223,0.48776758,0.077156715,-0.015159042
asplanchna,0.12688072,0.10100555,-0.12296052,0.109945044,0.14687061,0.08126349,-0.18526353
asterionella,-0.21879032,-0.15403053,-0.21711558,-0.0686772,-0.07908835,0.124063775,-0.0068822224
aulacoseira,-0.014266194,-0.017361337,-0.019103192,-0.015440385,-0.01868287,-0.016609034,-0.015618226
bosmina,-0.19363192,-0.18424569,-0.043988448,0.06687812,0.26252615,-0.029159557,0.048041712
centric_diatom,-0.03475552,-0.08688093,-0.1318642,-0.066749096,-0.18932113,-0.14625476,-0.12280824
ceratium,0.009183495,0.008102102,-0.06353002,0.09010605,-0.2292507,-0.028670996,0.024142316
chaoborus,-0.10853202,-0.06059497,-0.1077665,0.18533456,0.05463622,0.020358717,0.09438955
chlorophyte,-0.07390725,-0.079109885,-0.0828497,-0.07016547,-0.08524143,-0.07616015,-0.073007144
chlorophyte_colonial_dividing,-0.0894451,-0.10549293,-0.109240204,-0.09709815,-0.106232665,-0.10259594,-0.094170675
chlorophyte_elongated,-0.021965388,0.036646187,-0.09681056,-0.059238374,0.10935915,-0.51576114,0.039360736
chlorophyte_frame,-0.019802509,0.25069767,-0.020106403,0.013264271,0.020367282,-0.05270756,0.16209139
chlorophyte_square,0.1180252,-0.07186517,-0.02985068,0.054446835,-0.19203672,-0.0809646,-0.24719103
chroococcales,-0.1615319,-0.1258005,-0.08281933,-0.08395361,-0.026282135,0.0034088308,-0.22422539
chydorus,0.09390445,0.15546842,-0.1641273,0.13895349,-0.06050734,-0.38829845,-0.022239117
ciliate,0.38667402,0.09920734,0.22158678,-0.28505924,-0.04967305,-0.29613274,0.31381753
ciliate_big,2.0599013e-07,0.44677964,-0.18777393,0.35119596,-0.04618473,-0.18272191,-0.0374687
ciliate_blue,-0.07026569,-0.06343206,-0.1995004,-0.10697416,-0.12447492,0.2893513,-0.22955176
ciliate_green,0.25487274,-0.39685535,-0.15812466,0.058007784,-0.13044927,-0.01729197,-0.050419737
ciliate_round,0.07138402,-0.011424491,0.07837181,-0.1871515,-0.062434793,0.12061853,0.014549994
closterium,0.21101929,-0.098878175,-0.07414211,-0.060246613,-0.01527003,-0.020597588,-0.24431166
coelastrum_reticulatum,-0.029821217,-0.07442044,0.16224876,0.21194,0.10822221,-0.1834498,0.041355617
coelosphaerium,-0.109845415,-0.17843649,0.14344653,0.038805388,-0.08229566,-0.2854089,0.15450759
coleps,-0.109585844,0.05793957,-0.04535063,0.032903895,-0.46233812,0.113269165,-0.24732332
collotheca,0.28089356,-0.006243157,-0.11285291,0.06288238,-0.001275718,-0.29276463,0.34649977
conochilus,-0.19168022,0.08476037,-0.10043772,0.16116019,-0.124533445,0.012160963,0.06615659
cosmarium,0.067687094,-0.087198816,-0.036781654,0.009665298,-0.18941787,-0.10855931,-0.027801597
cryptophyte,-0.04946836,-0.061092217,-0.06290198,-0.053898383,-0.06517325,-0.056003414,-0.054454762
cyanobacteria_colonial_blue,-0.10430072,-0.1504669,-0.28560257,-0.1232611,-0.076998256,-0.052112054,0.02759151
cyanobacteria_colonial_clathrate,0.0011860518,0.08632016,-0.2416546,0.33759344,0.116193496,-0.25577512,-0.33837497
cyanobacteria_colonial_probably,-0.08898133,-0.12790127,-0.14029598,-0.107450835,-0.13383634,-0.041975062,-0.100499555
cyanobacteria_filamentous,0.013809462,-0.052624226,-0.3455129,-0.03728109,0.04941545,-0.011322884,-0.047156513
cyclops,0.014853281,-0.09017426,-0.2726023,-0.044514377,-0.080776244,-0.01749463,-0.07265142
daphnia,-0.13608623,-0.06035226,-0.34586897,-0.013770057,-0.0130566405,-0.056666832,-0.026411934
daphnia_cucullata,-0.49290106,0.024524828,-0.38872176,0.25002623,-0.088225566,0.2851203,-0.33529902
diaphanosoma,-0.24092323,0.21961796,0.611975,-0.19445044,-0.0015268628,0.17531477,-0.076928385
didinium,-0.09811992,-0.23506744,0.2873685,0.18370703,-0.006550225,0.07770196,-0.09078886
dinobryon,-0.043466777,-0.051837802,-0.053574603,-0.046384417,-0.055009495,-0.048554275,-0.046905547
dinoflagellate_diamond,-0.18683633,-0.07530555,0.032271054,0.0051154275,-0.11284282,0.087544486,-0.16092944
dolichospermum,0.0048014116,-0.22473401,-0.091591775,0.22761177,-0.10567561,0.22265238,-0.10562452
eudiaptomus,-0.017640831,0.11408804,-0.09654653,0.03384926,-0.2664822,-0.07472284,-0.09847497
fragilaria,-0.15796779,-0.19817026,-0.17998604,-0.062429853,-0.13125542,-0.15383297,-0.042324986
gonium,-0.035911694,-0.35675505,-0.06987987,-0.2207302,0.25656933,0.07834698,-0.12548727
gymnodinium,-0.07777961,-0.17412016,-0.16291727,0.06183602,0.16800375,-0.2872739,0.12232045
kellicottia,-0.1863378,-0.056697845,0.26237816,-0.20572571,-0.18137333,0.18147202,0.08996035
keratella_cochlearis,-0.018150719,0.037284054,-0.087686524,-0.1284153,0.03947036,0.31472072,0.09393464
keratella_quadrata,-0.056574706,0.09674694,-0.07345318,-0.17634885,0.12446176,-0.15868619,0.12612963
leptodora,-0.3776493,0.096222125,-0.037523884,0.106943384,-0.295871,-0.107515715,0.09084657
limnoraphis,-0.09700248,-0.1354755,0.19941331,-0.20196076,-0.1316441,0.34932497,0.014765027
mallomonas_akrokomos,-0.037520014,-0.079791084,-0.029412122,0.016865607,-0.15677853,-0.053155884,0.26376703
mallomonas_big,-0.12546608,0.033421002,-0.1367218,-0.07051878,-0.059961334,-0.09710493,-0.017870873
nauplius,-0.09126859,-0.21610254,-0.07108679,-0.1318657,-0.13272949,-0.07959238,-0.121701255
oocystaceae,-0.09994938,-0.12010311,-0.11914042,-0.111390404,-0.121901564,-0.108404934,-0.110912554
pandorina,-0.29908857,-0.03951116,-0.19052698,0.05012836,0.039905503,-0.026377546,-0.011248739
paradileptus,0.0078000687,-0.16742413,-0.15855302,-0.08721299,-0.08193931,-0.19822192,0.11805944
pediastrum,-0.071354024,0.109264806,-0.07470025,0.044409327,0.01114264,0.1095633,-0.25548235
pennate_diatom,-0.122818224,0.08297276,-0.026884286,-0.024206793,-0.12393758,0.00017425155,-0.04113338
peridinium,-0.036093347,-0.1939093,0.059618212,0.14151795,-0.02874663,0.020016149,-4.4578987e-06
phacotus,-0.08339899,0.083775505,-0.03016928,-0.028260639,-0.11366261,0.004490257,0.0271922
plankton_x,0.05264117,-0.0065720044,-0.2190938,0.37851086,0.19400077,-0.38679636,-0.08480622
plankton_y,0.051795408,-0.43448818,-0.007684537,0.09514861,-0.040693067,-0.08127282,-0.27424574
plankton_z,0.19548237,0.36124638,-0.068273455,-0.19818442,-0.14016394,-0.19407974,0.4075058
planktosphaeria,0.2513066,0.16993666,-0.2000191,0.044657458,-0.12170123,0.11542485,-0.023834907
polyarthra,0.2888809,-0.2094724,0.114722006,0.17203367,0.03371978,-0.122102104,0.23257458
protist_like_ciliate,-0.1470018,-0.043569747,-0.15389924,-0.18552539,0.22947204,0.1327633,-0.003093799
rhodomonas,-0.12187374,-0.15864602,-0.15460645,-0.15103465,-0.15407957,-0.13681734,-0.12987965
rotifer,-0.10481255,-0.119815566,-0.0846096,-0.09627324,-0.16273396,-0.06748069,-0.12426649
rotifer_long,0.08978025,-0.27420968,0.13780063,0.20308745,0.049287394,0.05048841,-0.0968489
rotifer_z,-0.3756568,0.009981208,0.101583645,-0.27920637,0.07003846,-0.19145745,-0.12242918
scenedesmus,0.13904007,0.025560645,-0.24772595,-0.104360655,0.055525307,-0.042946696,0.029873539
snowella,-0.07019725,-0.27780104,-0.13882403,-0.30043262,0.0040892684,-0.12470069,0.16119814
staurastrum,-0.0036268744,0.07073329,0.21950081,-0.1255854,-0.038135648,-0.1219568,0.18905903
strombidium,0.112563305,-0.21900013,-0.07920516,0.18327972,0.15240534,-0.19026789,-0.17976353
synchaeta,0.33140185,0.29980412,0.03533915,0.36709204,-0.16284178,-0.3055561,0.11841285
synedra,0.2593738,-0.1923272,-0.05522076,0.16421895,0.3925763,0.034036428,0.059160233
synedra_angustissima,0.08288159,-0.043755483,-0.20028001,-0.44267052,-0.020221971,0.030585207,0.25638297
synura,-0.13253413,0.07064587,-0.004833255,-0.16064373,0.083484896,-0.05106981,0.39688376
tetraedron,0.095723204,-0.2303965,-0.004077656,-0.13366957,0.028373916,0.24023214,-0.17285247
tintinnid,0.10593347,-0.042786267,0.26894587,0.10124523,-0.12516934,0.10228135,0.22085796
trichocerca,0.03477813,-0.13158359,0.10378657,0.05971044,0.006241688,-0.022502385,0.078720845
uroglena,-0.057371344,-0.097596355,-0.1074742,-0.0790483,-0.14788707,-0.11606348,-0.122320294
vorticella_epistylis_like,0.15650672,-0.18072018,-0.1332625,-0.26070976,-0.00935758,-0.29714856,0.12120644
