,h0,h1,h2,h3
aphanizomenon,-0.10909304,-0.017901346,-0.46940225,0.08114717
askenasia,0.017078385,-0.08295845,-0.102896616,-0.033486277
asplanchna,-0.20026469,-0.07032775,-0.32254046,0.41348812
asterionella,-0.10732241,-0.15352844,-0.0015815541,-0.010653829
aulacoseira,-0.017442008,-0.015476124,-0.013495124,-0.015159409
bosmina,-0.119459674,-0.31314448,-0.16823705,-0.28692582
centric_diatom,-0.157872,-0.15689142,-0.058759596,-0.11835715
ceratium,-0.03997775,-0.16425048,0.19348772,-0.0703685
chaoborus,-0.11797702,-0.06084851,-0.1858776,-0.16346906
chlorophyte,-0.07335467,-0.06648817,-0.061636593,-0.06000838
chlorophyte_colonial_dividing,-0.093839504,-0.08570466,-0.07616545,-0.08024769
chlorophyte_elongated,-0.05033684,0.14475924,-0.25316012,-0.1357254
chlorophyte_frame,-0.013542931,0.07975628,0.075432956,-0.0031788673
chlorophyte_square,-0.0014517347,-0.22911207,-0.07764971,-0.03575318
chroococcales,-0.17051376,-0.14737163,-0.15686709,-0.028164588
chydorus,0.06109284,0.025640154,0.09994664,-0.21928367
ciliate,-0.001170036,-0.20038766,0.19507875,-0.24417967
ciliate_big,-0.20820852,0.019674659,0.1415098,-0.081042655
ciliate_blue,-0.14260438,-0.12111845,0.062074844,-0.26831785
ciliate_green,0.0416651,-0.03024816,0.03861743,-0.11939294
ciliate_round,-0.03730197,0.17407203,-0.63974196,0.085237995
closterium,-0.08690081,0.14151575,-0.06731653,-0.042938787
coelastrum_reticulatum,-0.011211924,-0.089151405,0.14010751,0.27442786
coelosphaerium,-0.008743899,0.040997244,0.14609063,-0.20549263
coleps,-0.005384643,-0.3086569,-0.18320613,-0.08499599
collotheca,0.0108724935,-0.007858379,0.11691477,0.17940502
conochilus,-0.29093045,0.12405899,0.17820197,-0.13530715
cosmarium,0.12774245,-0.052078255,-0.3393826,-0.020616502
cryptophyte,-0.06079332,-0.054148756,-0.04650715,-0.050591912
cyanobacteria_colonial_blue,-0.14873435,-0.2485752,0.019100502,-0.11603534
cyanobacteria_colonial_clathrate,0.43419582,-0.19738,0.33843455,-0.056677192
cyanobacteria_colonial_probably,-0.1848093,-0.15948726,-0.15315945,-0.14936152
cyanobacteria_filamentous,-0.21711725,-0.15241323,-0.16452637,0.15969901
