date,h0,h1,h2,h3,h4,h5
2023-04-18,3.346865e-13,0.9998196,0.99905413,2.0956045e-06,0.99999976,1.0
2023-08-11,1.2204476e-32,2.3123834e-13,7.627618e-24,1.3797651e-14,1.0386176e-13,1.1290625e-11
2020-11-19,2.326661e-06,0.9876369,9.412241e-17,6.0594334e-07,1.0,2.7730326e-05
2021-07-27,1.2084056e-35,6.9329084e-11,4.8836084e-22,2.865243e-17,4.1607564e-12,1.5787897e-06
2024-02-29,1.9504141e-29,9.187915e-06,6.116854e-20,0.0005158906,1.941766e-06,0.00036788243
2019-09-12,2.594857e-26,7.8721155e-13,1.7807844e-21,8.13969e-15,1.144026e-08,1.2266304e-08
2019-09-27,3.3274635e-21,1.4852785e-13,3.5671926e-21,2.594911e-15,0.00083743944,8.5454727e-10
2022-02-23,0.611876,0.99999523,1.3186428e-06,0.99999666,1.0,0.9999999
2021-11-02,3.931416e-22,1.4368504e-15,8.182227e-20,5.282332e-15,0.99930215,1.5546655e-05
2024-05-07,1.1777454e-13,1.2757036e-05,0.9999434,2.6598107e-10,0.99999475,1.0
2021-06-21,1.4080629e-18,1.2104572e-11,1.977418e-10,1.3230706e-18,3.587164e-06,0.9999995
2021-12-30,0.9999951,0.98407537,0.9999969,0.99507624,1.0,1.0
2024-09-08,1.0009777e-21,4.7983346e-09,5.841505e-14,2.8625257e-07,3.3258746e-11,9.012347e-14
2022-08-04,6.434081e-18,4.813898e-10,3.875922e-12,6.4164556e-11,5.854397e-11,7.8981466e-10
2019-12-31,0.99835604,0.9999713,0.99999976,0.9992446,1.0,1.0
2022-06-24,7.071472e-25,8.2541374e-10,6.3743453e-19,4.0293454e-12,2.0380731e-13,3.6581472e-08
