,h0,h1,h2,h3,h4,h5
aphanizomenon,-2.4845033,-1.7217664,-1.1059562,0.2884472,1.0167383,0.23921403
askenasia,0.017468104,-1.2753913,-0.1891041,-0.34678942,-1.9976584,0.39295465
asplanchna,-0.99378914,-0.5731048,0.3695693,-1.9651456,-0.52838886,3.0514832
asterionella,-1.9287571,0.63694394,-3.0160174,-0.5577572,0.4730487,0.26151747
aulacoseira,-0.3968413,-0.7777868,-1.5526232,2.3367572,0.7962223,0.46286544
bosmina,0.18447773,-0.2946483,0.8987475,0.98573446,0.2164914,0.07801468
centric_diatom,-0.9136632,1.4897965,-1.8088727,1.5986761,0.03548056,0.6208403
ceratium,-7.1170535,-4.132073,-0.69911665,3.3428497,-0.9278494,-0.086658426
chaoborus,-1.1377887,-1.261101,0.003823727,-0.07737068,-0.39722753,0.16203561
chlorophyte,-3.385245,2.1455333,-6.245117,-1.6540068,-6.2111034,0.4978698
chlorophyte_colonial_dividing,-3.9485464,-0.17555864,-1.7515405,-4.4086003,-2.902158,-2.1626873
chlorophyte_elongated,-1.0792664,0.70790124,0.105361484,-3.0588298,-0.24602498,-0.8899307
chlorophyte_frame,-1.6111896,-0.16981535,0.12005621,-1.5914848,-2.981919,-1.8925259
chlorophyte_square,-2.4116712,0.8842499,-2.0495565,-2.0939336,-2.5345442,-3.1468666
chroococcales,-2.9733455,0.3263109,-1.1342736,-1.0179368,-1.1838434,-3.740251
chydorus,1.7073551,-0.32413116,-1.6925962,-1.4140302,0.3808463,0.085418686
ciliate,-1.4056535,1.2737795,0.19960973,-0.008392061,0.03829348,-0.30785555
ciliate_big,-2.6259272,-3.9631677,-1.7153882,2.3402102,0.03538674,0.33604273
ciliate_blue,0.9497119,-0.010718676,-0.8275154,0.29194254,-1.3593863,-1.2148625
ciliate_green,-0.31541243,-3.8232954,0.96115637,-1.8023068,-2.3534813,1.0858049
ciliate_round,-1.3632698,0.37787458,-1.296159,0.3690284,1.086951,-0.11638098
closterium,1.3639425,0.80730534,-3.4753766,0.5439931,1.0180076,-1.422139
coelastrum_reticulatum,0.7824956,-0.42012364,-2.5460508,-1.4764683,1.8468963,-1.7530088
coelosphaerium,-0.12217076,-1.0179428,-1.3467817,-0.9809612,-1.1256391,-2.170276
coleps,0.45470223,0.447469,-2.0236008,-0.14798495,0.91583455,-1.9862452
collotheca,-0.06783593,-1.8727164,-1.5617738,-1.9239309,0.78585494,-2.6827211
conochilus,-2.1307466,-1.5156659,1.1783963,0.15671064,-0.049115125,2.091843
cosmarium,-0.75822556,-0.4391147,-1.648013,-1.8253059,-0.67339945,-1.7033749
cryptophyte,-2.5667794,0.6532546,0.18639055,-1.2918453,-1.3939221,-0.13720821
cyanobacteria_colonial_blue,-2.6746242,-0.044038706,-3.0130658,-3.1760564,-0.058940873,-0.7970329
cyanobacteria_colonial_clathrate,-1.1201624,-1.693765,-4.603083,-3.090088,0.65590405,-0.038844686
cyanobacteria_colonial_probably,-0.46445358,-1.2027044,-1.4607476,-2.541247,-0.2724297,-2.8216252
cyanobacteria_filamentous,0.28585848,-0.42607182,-1.926464,-0.049489383,2.5669193,-2.6523407
cyclops,-1.3852218,0.18702798,0.4037646,-1.7561115,-1.5989256,-0.4185561
daphnia,-0.529406,-3.376479,0.42965877,-1.0995342,0.48811066,1.4189557
daphnia_cucullata,2.0768209,-2.5282211,-0.44244057,0.83232355,0.5106931,-1.0492283
diaphanosoma,0.5387355,-0.5628369,-0.9401214,-0.78882474,0.6286211,-1.8663207
didinium,-1.0469491,0.28226158,-0.5853151,0.9686334,-1.1591511,-0.719861
