,h0,h1,h2
aphanizomenon,0.12442282,-1.3360517,0.6338945
askenasia,-0.71459806,-0.6568398,-0.8656125
asplanchna,0.1492273,0.16623789,-0.99505633
asterionella,-2.6571748,-0.92091495,1.7516519
aulacoseira,1.9435676,-1.4673381,3.3765283
bosmina,0.92354196,0.27661237,-0.19594966
centric_diatom,-1.00598,1.7266641,1.4976892
ceratium,-1.2955015,-2.2508473,0.52706194
chaoborus,-0.62891275,-1.5306804,-0.018777886
chlorophyte,-1.0317932,-0.3059424,-1.0161133
chlorophyte_colonial_dividing,-1.3572904,-1.2542793,-1.5563647
chlorophyte_elongated,-0.30560943,0.09629078,-1.2377714
chlorophyte_frame,-1.4593278,-0.8981322,-1.7143037
chlorophyte_square,-1.4047812,-0.9688221,-1.4200822
chroococcales,-2.478592,-2.0135546,-2.2000766
chydorus,-1.05708,-0.660834,0.3216569
ciliate,0.2714611,0.56763923,-0.68265766
ciliate_big,1.2723353,-2.934052,1.6798586
ciliate_blue,-0.1155397,-0.47279665,-0.33432132
ciliate_green,-0.44539392,-2.5161538,-1.0341791
ciliate_round,-0.40887108,0.4848668,0.2373022
closterium,-0.6888206,-0.3568153,0.7867621
coelastrum_reticulatum,-1.371926,-3.3161047,0.3899548
coelosphaerium,-2.9947069,-3.922341,-1.3782157
coleps,-1.2457365,-1.1326035,-0.24951424
collotheca,-1.5260154,-2.3210306,-0.66664916
conochilus,1.300254,-0.9230348,-1.0958096
cosmarium,-1.2882485,-0.7152525,-0.74405223
cryptophyte,0.4214234,-0.0071389414,-0.87430674
cyanobacteria_colonial_blue,-1.2805485,-1.5758893,-1.2604086
cyanobacteria_colonial_clathrate,-2.343993,-5.2976866,1.14678
cyanobacteria_colonial_probably,-1.3227493,-3.255255,-1.6146052
cyanobacteria_filamentous,-1.4763143,-2.4523485,0.82518345
cyclops,0.027991485,-0.27345794,-0.83975613
daphnia,0.87832576,-1.658828,-0.042615764
daphnia_cucullata,-1.0550733,-3.9057858,0.24578065
diaphanosoma,-1.9627733,-2.8990092,-2.3896
didinium,-1.500504,0.27625635,-0.14073141
dinobryon,-2.2850676,-3.8640828,-1.6340002
dinoflagellate_diamond,1.0676564,1.8043076,0.54056525
dolichospermum,-0.8288558,-1.7885953,0.47979406
eudiaptomus,0.13801982,-0.17440906,-0.00022835456
fragilaria,-2.1066823,-2.755017,1.6944369
gonium,-2.761512,-2.6997857,-1.0300465
gymnodinium,-0.21349056,0.23428956,-0.55749327
kellicottia,0.326782,0.36986393,-0.24067765
keratella_cochlearis,-0.8641652,-0.52278197,-0.10054514
keratella_quadrata,0.1504437,-1.0577271,-0.44255233
leptodora,0.23073848,-3.0430388,-0.38671023
limnoraphis,-0.8538011,-2.6731412,-0.23918578
mallomonas_akrokomos,-0.17956996,1.1480262,-1.1415769
mallomonas_big,-1.3406341,-0.70305,0.082268566
nauplius,0.297984,0.1311922,-0.80188704
oocystaceae,-1.1977277,-1.766139,-1.7201641
pandorina,-0.5434858,-0.43665108,-0.171252
paradileptus,-1.0330472,-2.1217566,0.7996377
pediastrum,-1.0781308,-1.6453372,-0.15996885
pennate_diatom,-1.3328921,-0.66859734,-0.67794126
peridinium,-1.9764028,0.14948224,-0.44938675
phacotus,-0.6841757,-1.8507094,-0.38058692
plankton_x,-1.3019766,-0.4825179,-1.4342854
plankton_y,-0.29936194,0.72808474,0.11166224
plankton_z,-2.217297,-0.6974621,-1.7588769
planktosphaeria,0.208177,-0.90834713,1.0684595
polyarthra,0.20200862,1.2401966,-1.0774037
protist_like_ciliate,-0.97282416,-0.32157984,-0.93965614
rhodomonas,0.84238124,0.74747634,-0.5238153
rotifer,-0.05383222,-0.15131561,-1.0548103
rotifer_long,-0.15561712,-0.93130916,-1.8056797
rotifer_z,-2.388367,-1.2816945,-0.73094183
scenedesmus,-1.5774031,-1.8260676,-0.6618953
snowella,-8.483341,-3.4117832,-1.9027638
staurastrum,-0.5302482,-0.93212205,-0.23949733
strombidium,-0.44719175,0.21025893,-0.80209553
synchaeta,0.19317867,0.005688073,0.50660306
synedra,-0.5110527,-1.299344,-0.4635309
synedra_angustissima,-0.18627773,-0.1188828,1.9769031
synura,-1.0965095,-2.2948337,0.51724726
tetraedron,-1.2782669,-0.4473841,-1.0898572
tintinnid,-0.06843596,0.37372676,0.28371504
trichocerca,-0.69249296,-0.39460975,-0.8346526
uroglena,-1.7980796,-2.9485645,-2.1643474
vorticella_epistylis_like,-0.7282457,0.31399652,0.39845088
