,h0,h1,h2,h3,h4,h5
aphanizomenon,-0.7493859,-0.8052726,1.9295579,-2.8138573,-2.0072618,0.25049752
askenasia,0.3529555,-1.7131106,-1.125433,0.4265112,-1.0292645,0.3050363
asplanchna,0.9119457,1.7021105,0.8044424,-0.8261888,-1.0195944,-2.2616072
asterionella,1.1058785,0.0015862447,-2.0703008,-3.3797095,0.22894381,-0.44722262
aulacoseira,-1.4392141,0.5486633,0.7328675,-1.8872937,0.108738594,1.9895092
bosmina,-1.1071903,1.3340355,1.2000674,0.04426958,-0.05306256,-0.09191575
centric_diatom,-0.20071255,1.1688406,-1.0369421,-0.71943164,0.6792176,1.0738463
ceratium,0.09347359,-2.599704,-0.5228665,-1.4950669,-3.3626578,2.989692
chaoborus,-0.41874525,-1.201342,0.5009866,0.22451179,-1.2620476,0.16955245
chlorophyte,-1.8472865,-0.4308947,-3.89048,0.5416072,-3.617585,-1.4773241
chlorophyte_colonial_dividing,-1.3834702,-2.3064888,-3.7884693,0.456329,-2.9718301,-4.7167125
chlorophyte_elongated,0.7063544,0.14339578,-0.96291924,-1.2025837,-0.24671398,-3.7919502
chlorophyte_frame,-1.6654943,-1.642617,-1.6147499,1.332536,-2.9604435,-1.9126017
chlorophyte_square,-3.3401365,-1.2544959,-2.4236763,0.76910245,-2.3388288,-3.5732758
chroococcales,-2.694983,-1.86021,-2.46988,0.32486892,-0.32527193,-1.9653224
chydorus,-1.2347935,-0.70652646,1.2401325,-0.06103911,0.22605681,-0.7601535
ciliate,0.14675243,1.2068369,-0.3069292,-0.15365773,-0.29998294,-0.4767878
ciliate_big,-3.1902034,-0.22601314,2.0095873,-1.1994145,-2.6812136,1.1835678
ciliate_blue,-2.055316,-0.447657,-0.672743,0.9607464,-0.26100922,0.16053715
ciliate_green,1.9572445,-4.954508,-0.48897296,1.8407854,-2.1755228,0.38071898
ciliate_round,-0.57802224,1.3436031,0.065255485,-2.265073,0.3248369,-0.6180695
closterium,-1.1920187,-0.92725646,-1.8661175,-1.2926556,3.0315363,0.78729093
coelastrum_reticulatum,-0.8338723,-1.9817002,-0.4780763,-1.0315387,2.6067178,-1.3838395
coelosphaerium,-2.288141,-2.092608,-0.8015697,0.026048947,-1.2865124,-0.98342806
coleps,-1.1201832,-1.1093872,-0.9043982,-0.5915386,1.1848359,-0.21787442
collotheca,-1.9219391,-2.8883157,0.39924246,-0.7545585,-0.31312528,-1.826182
conochilus,1.515822,0.23304555,1.4432976,-1.2692678,-2.2948468,0.2979325
cosmarium,-0.5431828,-1.6491568,-2.2127035,-0.51058704,-0.48891357,-1.6340187
cryptophyte,-1.1129177,1.4622982,-0.55932915,-0.40752086,-2.6531627,-2.4975615
cyanobacteria_colonial_blue,-1.0504576,-1.0331953,-1.207722,-0.94780326,0.4126282,-3.2651858
cyanobacteria_colonial_clathrate,0.45368153,-2.6614935,-1.0607713,-1.3452816,0.68155384,-2.0542555
cyanobacteria_colonial_probably,-2.4561121,-2.963462,-0.013449268,0.56583405,0.1839703,-3.1908085
cyanobacteria_filamentous,-2.0092762,-0.64651835,0.85348743,-1.4314716,1.4002105,-0.778438
cyclops,-1.2042779,-0.25411004,-0.0592251,0.5644284,-1.8754846,-2.1161578
daphnia,-0.75260043,-2.3021586,3.158312,-0.26252818,-2.0695925,-0.36537668
daphnia_cucullata,-2.3659391,-1.562637,2.0539203,0.0656248,0.39957947,-0.019984799
diaphanosoma,-1.7792257,-1.1482551,0.12032045,0.5039428,0.2243341,-0.8975752
didinium,-0.38864386,-0.1733124,-1.556663,0.15644349,-0.3693738,0.48548314
dinobryon,5.557264,-10.511389,0.583595,-1.5785497,-4.752513,-3.0132787
dinoflagellate_diamond,-1.3860614,5.1483483,1.0199931,-1.6566404,1.9268347,2.339504
dolichospermum,-1.5554409,-1.7011698,-0.5812605,-0.68399554,-0.067193665,0.6897865
eudiaptomus,0.30621418,-0.2876248,0.9861489,-0.6539897,-0.22562629,-0.4954743
fragilaria,0.40160072,-2.8702788,-0.8630773,-2.8070974,2.4740753,0.75007486
gonium,-1.1105958,-2.180283,-0.96918064,0.6455048,-3.5849905,-1.7084408
gymnodinium,-2.3336506,1.483181,-3.5537224,0.64993125,-1.8628881,1.5677814
kellicottia,0.65430695,2.7211359,-1.1732693,-1.6107557,-0.8710865,-1.6067095
keratella_cochlearis,0.25263023,-1.7453446,-1.3790721,-1.0760943,-0.7181131,1.0464417
keratella_quadrata,1.35131,-0.077223375,-0.5075532,-0.8306802,-2.1498,0.8459122
leptodora,-2.9235785,-1.3485982,1.3261434,0.20830227,-1.5338577,0.180565
limnoraphis,-2.8630152,-1.2621636,2.2401607,-0.2516,-1.2867457,0.49222276
mallomonas_akrokomos,0.8033588,1.1862302,-0.42844367,-0.27006632,-0.8456544,-1.6025621
mallomonas_big,-1.0301696,-2.1679077,-0.92300165,-0.5814289,0.52573603,0.37937462
nauplius,1.2823488,1.4709362,-0.7445816,-0.27740794,-3.7697637,-2.1497698
oocystaceae,-2.1592827,-1.8878232,-1.7550391,0.18514776,-2.9942722,0.28205913
pandorina,0.038409226,-0.74189115,-1.3802865,-1.8767085,1.4999075,-0.83521855
paradileptus,-0.99553204,-2.5136433,0.37574968,-1.6784685,-0.9907933,1.5442055
pediastrum,-1.7320918,-2.5746863,-0.8285463,-0.17500553,1.2839035,-1.0552709
pennate_diatom,-0.2271947,0.99430776,-0.269669,-1.8185278,-1.4676586,-0.14397493
peridinium,-1.5107034,-0.20680046,-2.4063754,0.029949795,-1.0485952,1.056639
phacotus,-0.7425802,-1.8712815,-2.2172475,0.73436713,-2.3773167,0.13932382
plankton_x,-1.4951711,-0.8134634,-0.25181744,1.0883676,-1.3596232,-1.046144
plankton_y,-0.16399442,0.7227553,-1.6922952,-0.8791415,0.11730382,0.06340293
plankton_z,-0.7147095,-1.842518,-2.0231493,0.25233603,-2.2867894,0.043588478
planktosphaeria,0.53345156,-0.5827373,-0.852596,-0.14079522,-1.2017757,-0.1356054
polyarthra,0.41991484,1.9504988,0.51747364,-0.6199035,-1.0051337,-4.24112
protist_like_ciliate,-2.4739742,0.72517526,-2.4905884,-0.13261226,-2.0566814,0.7101217
rhodomonas,0.90281165,2.888932,-0.98161256,0.31303486,-2.0349321,-1.2709405
rotifer,1.0313629,0.20644413,0.9861304,-0.8123204,-3.0753567,-3.2166033
rotifer_long,-0.3758776,-0.714791,0.0768679,0.0652028,-1.835917,-0.40739125
rotifer_z,-0.6451776,-1.9714712,-1.16885,0.55369294,-0.61594516,-0.023790315
scenedesmus,-3.9004056,-2.7125945,0.12103247,-0.023009146,-2.042406,0.48775926
snowella,-3.8585749,-3.2769763,-0.24695337,1.2111958,-0.6967346,1.1227974
staurastrum,0.6255064,-1.2233783,-1.3307964,-1.2564416,1.4298749,-0.72995114
strombidium,0.4269962,0.08601812,-1.8814595,0.60250574,-2.6950252,1.1198343
synchaeta,0.44280046,0.049242426,1.194691,-0.9071879,0.10867739,-0.1441964
synedra,0.55534387,-0.43032014,1.0437979,-1.1768031,-1.4887639,-0.1889525
synedra_angustissima,-4.273453,0.54351103,3.4231825,-2.5431101,1.0447736,0.6879141
synura,-0.9498516,-1.4415826,-0.44817802,-0.81837624,2.11908,-0.75526696
tetraedron,-1.9806607,-1.5572243,-1.8896447,0.54260516,-1.3443377,-0.63550156
tintinnid,-0.88940966,1.6348859,-0.52535224,-1.8610771,0.40489462,-0.5377252
trichocerca,-0.35904062,-1.3405674,-0.08499604,0.3429822,-2.7956777,-0.3931375
uroglena,0.39645174,-3.159667,1.2901789,-0.86912465,-2.637261,-0.6801179
vorticella_epistylis_like,-1.362327,0.37396142,-1.6245573,-1.4020587,-0.5209492,1.15148
