epoch,train_mse,val_mse,train_nll,val_nll,theta_mean,sat_lo,sat_hi,sat_mid
1,760693.837109375,717370.75,3.373286485671997,3.41450834274292,0.9927184581756592,0.4784083664417267,0.5107957720756531,0.01079586148262024
10,925584.7356445312,646817.875,3.1766648292541504,3.2221908569335938,0.9496926665306091,0.6582356095314026,0.3383713662624359,0.003393024206161499
20,689907.637890625,560922.0625,3.094520330429077,3.132375717163086,0.9182602763175964,0.6896976828575134,0.308297336101532,0.00200498104095459
30,779211.0078125,584501.375,3.049862861633301,3.076395034790039,0.8950337171554565,0.6932448744773865,0.3044416904449463,0.0023134350776672363
40,847201.4626953125,564200.875,3.014488935470581,3.0502853393554688,0.8774814605712891,0.6969463229179382,0.3012029528617859,0.001850724220275879
50,1004612.8400390625,538830.6875,3.0091946125030518,3.042799949645996,0.8645212054252625,0.7055829763412476,0.29302898049354553,0.0013880431652069092
60,501977.38544921874,583079.1875,2.986799955368042,3.0133323669433594,0.8537564873695374,0.698951244354248,0.30027759075164795,0.0007711648941040039
70,474804.5189453125,538633.375,2.9839768409729004,3.0078399181365967,0.8441193103790283,0.7004935145378113,0.2979642152786255,0.0015422701835632324
80,474936.5333007813,568219.4375,2.9821438789367676,3.012831687927246,0.8350124955177307,0.7032695412635803,0.2954965829849243,0.0012338757514953613
90,474063.653125,560060.625,2.9759631156921387,3.008836030960083,0.8282676935195923,0.6974089741706848,0.30212831497192383,0.0004627108573913574
100,477159.6021484375,541853.6875,2.9774677753448486,3.007436990737915,0.8209360837936401,0.70789635181427,0.29133251309394836,0.0007711350917816162
110,640477.871484375,538143.0,2.9837334156036377,3.0136117935180664,0.8144304156303406,0.7109808325767517,0.2868599593639374,0.002159208059310913
120,496760.75,527123.1875,2.975985288619995,3.009727716445923,0.8086768388748169,0.7075878977775574,0.29056137800216675,0.001850724220275879
130,571830.34140625,540690.0,2.9778308868408203,3.0192956924438477,0.8025618195533752,0.6839913129806519,0.31400367617607117,0.0020050108432769775
140,617024.4953125,543002.6875,2.960458517074585,3.014918327331543,0.7980241775512695,0.6625539660453796,0.3357495367527008,0.0016964972019195557
150,792678.176953125,538929.375,2.951752185821533,3.000239849090576,0.7960385680198669,0.6623997092247009,0.3357495367527008,0.0018507540225982666
160,559142.85703125,557495.9375,2.942735195159912,2.9875991344451904,0.7942944169044495,0.6440468430519104,0.3556446433067322,0.0003085136413574219
170,609448.604296875,566156.0625,2.940521717071533,2.981032371520996,0.7938451766967773,0.645126461982727,0.353948175907135,0.0009253621101379395
180,558953.540234375,573185.0,2.9393043518066406,2.9783737659454346,0.7933672070503235,0.641579270362854,0.35672423243522644,0.0016964972019195557
190,635814.3015625,577342.875,2.9393270015716553,2.975470781326294,0.7928466796875,0.6381862759590149,0.35950028896331787,0.0023134350776672363
200,530000.7703125,579854.125,2.9340693950653076,2.9703333377838135,0.7923241853713989,0.6303207874298096,0.36844539642333984,0.001233816146850586
210,675703.01484375,594576.25,2.9358253479003906,2.9720447063446045,0.7919813990592957,0.6304749846458435,0.3669031262397766,0.002621889114379883
220,529556.880859375,594957.8125,2.952613353729248,2.9910566806793213,0.7907983064651489,0.6181369423866272,0.3804750144481659,0.0013880431652069092
230,618640.46328125,596573.25,2.9720892906188965,3.02109694480896,0.7876443266868591,0.5541332364082336,0.44386181235313416,0.002004951238632202
