,h0,h1,h2,h3
aphanizomenon,-0.8317398,-0.093967155,1.2498746,1.3513259
askenasia,0.098504245,-1.3737185,0.18617965,0.55587673
asplanchna,1.0157982,-0.51259464,1.007799,0.13178045
asterionella,-3.3626065,-1.8814431,-1.3433017,1.135785
aulacoseira,-1.4423255,3.9084687,2.5366976,1.9634659
bosmina,-0.068534255,1.16179,0.67117554,-1.1853974
centric_diatom,-1.1629026,0.5032243,-2.1810954,0.0011155388
ceratium,-0.30437538,-1.2557949,0.5979257,1.5721668
chaoborus,-0.19438246,-1.1238586,0.81887436,1.2746437
chlorophyte,-0.7462167,-1.5230503,0.5801969,-0.35439965
chlorophyte_colonial_dividing,-0.6520458,-2.639008,0.8969023,-0.1788571
chlorophyte_elongated,0.22545573,-1.3539425,0.057834994,0.11050015
chlorophyte_frame,-0.9912068,-2.8558435,0.8614693,-0.16264486
chlorophyte_square,-0.6171543,-2.3028102,0.7586255,-0.57302785
chroococcales,-0.6414223,-3.9574018,1.3123541,-0.7576397
chydorus,-1.8157983,-0.70658684,1.2147746,-0.48787245
ciliate,0.54788494,0.041467354,-0.33212662,-0.6497489
ciliate_big,-3.4671326,1.6903291,1.6917584,1.0447828
ciliate_blue,-0.6043908,-0.40698233,0.6722126,0.08711658
ciliate_green,0.61251473,-1.849872,0.83404964,1.0483549
ciliate_round,-1.2401664,-0.41269317,-0.45477855,0.11924712
closterium,-1.0147587,-0.18666764,-0.117042504,0.84498256
coelastrum_reticulatum,-5.0906863,-1.8294746,0.7296,0.5285284
coelosphaerium,-1.4737457,-4.4503174,1.957678,-0.56848985
coleps,-2.17609,-1.476454,0.5827156,0.2466786
collotheca,-1.95386,-2.323058,1.4342369,0.59494805
conochilus,2.1166902,0.3134593,0.10731929,0.515655
cosmarium,-1.3106437,-2.3436882,-0.04687625,0.4515987
cryptophyte,-0.13977359,-0.08943139,1.0009813,-0.5202304
cyanobacteria_colonial_blue,-1.1515001,-2.5911243,1.4412256,0.1688636
cyanobacteria_colonial_clathrate,-2.4973674,-2.2529726,1.8137574,2.0393298
cyanobacteria_colonial_probably,-1.142421,-2.492984,2.5819275,-0.87511754
cyanobacteria_filamentous,-3.1476707,-1.5545613,0.5870494,1.7570769
cyclops,0.13417858,-0.54192364,0.7871278,0.0054662665
daphnia,-0.06382514,0.38618374,2.099038,0.51724875
daphnia_cucullata,-2.8395128,-0.24135247,2.7284877,-1.3522382
diaphanosoma,-0.65515894,-3.7157378,2.0590248,-0.69949484
didinium,-0.7605224,-1.2513727,-1.1415536,0.2721951
dinobryon,0.5708293,-3.783431,1.4959298,2.721699
dinoflagellate_diamond,-1.1115674,1.2839956,-0.7129419,-2.2464006
dolichospermum,-2.6834629,-0.5966534,1.3170404,1.7203816
eudiaptomus,0.058594685,-0.022935525,-0.050489344,0.037536416
fragilaria,-2.386142,-1.2106725,0.99793386,3.1503894
gonium,-1.5326381,-4.651137,0.98963416,0.6964949
gymnodinium,-0.70955354,-0.2817843,0.12294096,-0.21744049
kellicottia,0.14178656,0.18559346,0.076288044,-0.114361934
keratella_cochlearis,-0.17005126,-0.84147763,-0.07536313,0.82762915
keratella_quadrata,0.79969317,-0.02574769,0.70936924,1.3579377
leptodora,-0.7977196,-0.29452285,2.2635293,-0.15065047
limnoraphis,-1.8984494,-1.1954032,1.7113085,-0.34287623
mallomonas_akrokomos,1.1569049,-0.58276427,-1.4994575,-0.67503595
mallomonas_big,-0.72627294,-1.000534,0.12562636,0.42680225
nauplius,0.610661,-0.12244237,0.47016817,-0.22796042
oocystaceae,-1.6347493,-2.2081187,1.2934121,-1.2156578
pandorina,-0.7352244,-0.45428395,0.3381264,0.89755666
paradileptus,-1.2146511,-0.8556925,1.1817225,1.6023352
pediastrum,-1.4265707,-1.4022865,0.98455256,0.15040295
pennate_diatom,-1.0858781,-1.1539582,-0.20589742,1.587599
peridinium,-1.1182256,-1.9914029,-1.3099977,0.03710964
phacotus,-0.5002083,-1.3602774,1.2894421,1.251222
plankton_x,-0.5079558,-1.7885945,0.40868726,-0.54716885
plankton_y,-0.60284853,0.24208504,-0.7894851,-0.19678997
plankton_z,-1.3819855,-3.5119114,0.47043204,0.7044634
planktosphaeria,-0.2957214,0.77254397,1.0661753,1.0947552
polyarthra,1.3706208,-0.4530486,-0.28809866,-0.55871016
protist_like_ciliate,-1.4762024,-1.4274056,0.22121331,0.10954494
rhodomonas,0.33485502,0.86108965,0.39406627,-1.0186096
rotifer,1.0850501,-0.635052,0.53924406,0.46436876
rotifer_long,-0.23813243,-1.8305068,0.5223573,0.1782073
rotifer_z,-0.48280066,-2.8225005,0.8557117,0.8500082
scenedesmus,-1.3304998,-2.2467148,1.2457563,0.19365415
snowella,-4.7894464,-4.31886,-0.5702584,-2.1630554
staurastrum,-1.0325185,-1.1736842,-0.13500568,0.43278298
strombidium,-0.04896978,-0.6625319,-0.39999524,-0.22839852
synchaeta,0.7055417,0.19867375,0.028997825,0.75326616
synedra,1.0283151,-0.8590117,-0.06443399,0.9571892
synedra_angustissima,-5.891114,1.3982159,1.1623119,0.6759452
synura,-1.9853544,-1.0910639,1.0542499,1.8730896
tetraedron,-0.71018666,-1.6797899,0.61100847,-0.6356163
tintinnid,-0.60246456,0.19956665,-0.11066476,0.09074673
trichocerca,-0.025785955,-1.2033668,0.39788398,-0.14667922
uroglena,2.6537,-2.2401938,1.8259915,-0.040145997
vorticella_epistylis_like,-1.579525,-0.41327786,-0.77257556,0.002402929
