,h0,h1,h2,h3,h4,h5
aphanizomenon,1.5613766,-1.0818948,0.30296528,-0.23912902,1.0655397,-0.3270471
askenasia,-0.7222096,-0.89476603,-0.74641633,-0.11109761,0.7646502,-0.20354101
asplanchna,0.50441533,0.5876243,-0.7615008,1.1616124,1.4765882,-0.02033579
asterionella,-0.7723745,-2.0566154,2.0656822,-1.914702,0.9108156,-1.6902142
aulacoseira,1.5136998,-0.5481917,2.2684886,0.9018392,-0.614393,1.7474998
bosmina,0.11087461,0.7683067,-0.28710666,1.1994294,-1.3415546,0.24202889
centric_diatom,-1.5647466,0.7622714,1.7369094,0.36691085,0.7217998,0.50673527
ceratium,-0.19442981,-2.1751099,-0.69290423,-0.5322703,1.2753152,0.9112275
chaoborus,0.7993427,-1.8891904,0.25815448,0.16751312,1.1011598,-1.2269788
chlorophyte,-1.795378,-1.1514366,-0.5406059,0.44948772,-0.23059177,-0.37385225
chlorophyte_colonial_dividing,-2.1274533,-1.8834603,-1.5665704,-0.18635161,-0.061930504,0.11556423
chlorophyte_elongated,0.39375734,0.10431199,-0.33112836,-0.85479045,0.5638815,-1.5887611
chlorophyte_frame,-1.6864885,-1.0245355,-1.2525426,-1.0908571,0.24507178,-1.8264755
chlorophyte_square,-1.7659681,-1.5524387,-0.96028715,-0.49104747,-0.21986851,-0.7217989
chroococcales,-0.2783478,-2.5185146,1.1515259,-1.3179785,-0.7531247,-7.1091065
chydorus,-0.1171648,-2.0784142,0.95895016,1.6834875,-1.522822,-1.8286649
ciliate,0.19039093,0.5895761,0.18956855,0.31331956,0.022633228,-1.0337785
ciliate_big,1.1310338,-2.499761,0.10596127,0.90209997,-1.2764217,1.0542839
ciliate_blue,-0.47322434,-0.66929436,-0.13324292,-0.20969084,-0.2896637,-0.17582653
ciliate_green,0.33539486,-2.0640733,-1.8596957,-0.312237,1.4865488,0.34047332
ciliate_round,-1.1452572,-0.16542044,1.1216115,0.25619915,-0.15210594,-0.22005714
closterium,-1.0675029,-0.9700034,0.5198825,-0.086006,-0.19185711,0.75009817
coelastrum_reticulatum,-4.396371,-3.2915583,0.0039565414,0.5394497,-3.3738058,2.7657545
coelosphaerium,0.33465168,-6.2737675,2.8113503,-0.7387021,-0.48479035,-11.074789
coleps,-1.3828021,-2.336362,0.6562885,0.33163294,-1.1267617,-1.1040462
collotheca,0.22976367,-2.7696917,-0.3650715,-1.0005021,0.3374175,-2.1746805
conochilus,1.1503625,-0.22842866,-0.88423365,1.3528272,1.2575516,-0.27513644
cosmarium,-2.315507,-1.4483442,-0.8423279,-0.034746196,0.2623238,0.12687114
cryptophyte,-0.06748422,0.024181742,-0.29711607,0.2968597,-0.39366406,-0.5752598
cyanobacteria_colonial_blue,-0.43735263,-1.8343838,2.2694533,-0.48198348,-0.34319568,-4.2518544
cyanobacteria_colonial_clathrate,0.29957289,-5.71257,2.298916,-0.76405585,1.1275904,-3.6386874
cyanobacteria_colonial_probably,-0.4536662,-3.1684005,-0.8106894,-1.2289366,-0.40858948,-1.5109953
cyanobacteria_filamentous,0.9855006,-1.0320514,6.124003,-0.88698024,-0.7626998,-5.9918427
cyclops,0.27113238,-0.2788459,-0.46647027,-0.07325681,0.13751747,-0.683582
daphnia,1.5094074,-1.1699141,-0.8435033,0.4002259,-0.03319327,0.3228278
daphnia_cucullata,-0.7904635,-4.138793,-0.63961625,1.309864,-1.4690274,0.25854987
diaphanosoma,0.4120659,-4.78978,-1.8284049,0.78896415,-1.8468394,-11.986552
didinium,-2.5510323,-0.3153568,-0.19336058,-0.22516981,0.5296584,0.07907563
dinobryon,-2.9725206,-4.291491,-2.1331873,2.1371324,1.9925561,0.804398
dinoflagellate_diamond,-0.60111094,1.8450342,1.650582,1.1305063,-1.669969,-0.7798596
dolichospermum,-0.2712627,-2.17676,1.1760335,-0.30421874,1.046128,-0.8836934
eudiaptomus,0.22753385,-0.031216104,-0.049258415,-0.3529835,0.04286706,0.081714846
fragilaria,-0.7628712,-1.7515407,0.3155407,-2.2417228,3.3354957,1.5873839
gonium,-2.6051562,-2.3939228,-1.5321618,-1.7331988,1.1112689,-15.812621
gymnodinium,-1.8814275,-0.32323387,-0.044707056,0.6997851,-0.44166178,0.20764361
kellicottia,0.51276225,0.35699835,0.42762908,0.5789381,0.36328667,-0.9100757
keratella_cochlearis,-0.7554639,-0.971719,0.10403668,0.27793524,0.7115888,-0.09584324
keratella_quadrata,0.3984967,-0.43994993,-0.31763834,0.76725745,1.5204574,0.3983525
leptodora,1.7083374,-3.747632,0.2988881,1.6803931,-0.65032136,-2.8568814
limnoraphis,0.5105606,-3.2180452,-0.044414084,1.366496,-1.5335045,-1.8753443
mallomonas_akrokomos,-0.26877007,0.76434475,-0.22921248,0.7206171,0.8519798,-1.3644092
mallomonas_big,-2.6565607,-1.7816613,0.15309988,1.3195046,0.32370424,0.68554306
nauplius,0.115939856,0.25492382,-0.4844965,0.2726155,0.13277616,-0.30087614
oocystaceae,-2.7107975,-2.1468494,-1.5844762,1.3000239,-0.91799694,0.34740222
pandorina,-2.1544747,-0.49018288,-0.14162998,0.005069436,0.49557066,1.0187434
paradileptus,-0.4066367,-2.2271593,-0.3469074,-0.68917674,0.79186,1.0465516
pediastrum,-0.7735623,-2.0208619,-0.034776703,-0.5186558,-0.4856131,-0.5642731
