,h0,h1,h2,h3,h4
aphanizomenon,-0.0024848937,-0.10543801,0.12629138,-0.01332689,0.036890443
askenasia,0.018942662,-0.35047933,-0.056048006,-0.0007273809,-0.10029865
asplanchna,0.1441772,-0.030697752,0.22728789,-0.07454327,0.009962522
asterionella,-0.05852307,-0.082128964,-0.067745216,-0.2611048,0.022129497
aulacoseira,-0.004510317,-0.0045429193,-0.004065819,-0.0036901198,-0.0045874445
bosmina,-0.42729095,-0.15101449,0.26504883,0.040024046,-0.06452503
centric_diatom,-0.1965362,-0.06811219,-0.14631955,-0.18085313,-0.1428235
ceratium,0.23306313,-0.29920852,-0.15315604,0.032956704,-0.06728743
chaoborus,0.1970504,-2.1995221e-07,-0.005128891,0.16507782,-0.120641895
chlorophyte,-0.08162203,-0.07839467,-0.09608075,-0.096008696,-0.07600688
chlorophyte_colonial_dividing,-0.083785325,-0.08529362,-0.10651558,-0.10748096,-0.078442164
chlorophyte_elongated,-0.014723179,-0.16342591,0.14159673,0.044623617,-0.1885032
chlorophyte_frame,-0.008513962,0.21620405,0.2950245,-0.21729296,0.04314462
chlorophyte_square,-0.05807108,-0.058794893,0.044087436,-0.2299153,-0.116815485
chroococcales,-0.15360878,-0.26076627,-0.11613449,-0.18205713,-0.039936677
chydorus,0.34487703,0.25747493,0.018346414,-0.22089441,-0.26285154
ciliate,0.3398437,0.13419238,0.13110334,-0.2207465,0.0319803
ciliate_big,-0.034330133,0.16837554,0.07386592,1.15360905e-07,-0.26038337
ciliate_blue,-0.24903941,0.0113046495,0.15724799,-0.074607216,0.023165494
ciliate_green,-0.09012288,0.02973972,-0.18137516,-0.27199093,0.1333221
ciliate_round,-0.06812363,0.00045568988,0.41976506,-0.13645332,0.09973843
closterium,0.11122358,-0.079761535,-0.12673229,-0.144008,-0.019099977
coelastrum_reticulatum,-0.42855006,-0.08866142,0.008873196,0.15649864,0.18436813
coelosphaerium,-0.15328118,-0.29629365,0.18197654,0.1760105,0.057256874
coleps,-0.14796066,-0.23186226,-0.15648758,-0.14918624,0.09224172
collotheca,0.15632765,0.14144398,0.25148714,-0.11625417,-0.30493873
conochilus,0.112331465,0.1024322,0.18117484,-0.48287472,0.27166066
cosmarium,0.015619102,0.060880974,-0.3377799,-0.1619341,0.13648003
cryptophyte,-0.04438265,-0.043788273,-0.05662104,-0.056891132,-0.04211173
cyanobacteria_colonial_blue,-0.022125628,-0.24547333,-0.023644755,-0.1345685,-0.15492998
cyanobacteria_colonial_clathrate,0.26748192,-0.101116955,-0.19461769,0.09079262,0.3655204
cyanobacteria_colonial_probably,-0.10222234,-0.11045723,-0.19912586,-0.15382138,-0.16060954
cyanobacteria_filamentous,-0.14990975,-0.14593455,-0.14390445,-0.08773197,0.14410143
cyclops,-0.059740108,-0.019259023,-0.16813754,-0.049324665,-0.17613855
daphnia,-0.118559115,-0.08065208,0.046723425,0.07813145,-0.12588489
daphnia_cucullata,-0.15304942,0.23284733,0.12383014,0.06643324,0.06906783
diaphanosoma,0.3103348,0.45847994,0.07732421,0.096409895,-0.59384096
didinium,0.42382866,-0.120214395,0.21791096,-0.28697044,0.19673254
dinobryon,-0.052582357,-0.05125271,-0.06640379,-0.06608993,-0.04924127
dinoflagellate_diamond,0.009654654,0.0009974426,-0.08458831,0.067346394,0.04089463
dolichospermum,0.012778105,-0.03514504,-0.33074427,0.35159996,-0.02654238
eudiaptomus,-0.003844177,-0.15780449,0.1875018,-0.29747277,0.11560601
fragilaria,-0.13198102,-0.124693066,-0.27216262,-0.24781954,-0.11084852
gonium,0.20382915,-0.20841995,-0.08944569,-0.08386017,-0.17094858
gymnodinium,-0.041400135,-0.031590056,0.038019527,-0.2496164,-0.119223535
kellicottia,0.13651063,-0.15106642,0.112120144,0.06447785,-0.19624709
keratella_cochlearis,-0.08029554,0.14782628,0.07817475,-0.048564322,0.2170668
keratella_quadrata,-0.2984695,-0.04900212,0.001362539,0.2187367,0.106471844
leptodora,0.013718373,0.14273594,0.0138019,-0.396441,-0.12019932
limnoraphis,-0.013688829,0.016044004,-0.27991042,0.11251608,-0.10384204
mallomonas_akrokomos,-0.032711357,0.31508633,-0.025401022,-0.057527903,-0.21136555
mallomonas_big,0.120816454,0.041819874,-0.10442775,-0.38925382,0.03086189
nauplius,-0.14221308,-0.09328108,-0.1164035,-0.18758348,-0.06862477
oocystaceae,-0.110262096,-0.108283915,-0.13729836,-0.13362595,-0.10289276
pandorina,-0.14904593,-0.35122064,0.32154676,0.108609736,-0.22824982
paradileptus,-0.08670776,0.1906818,0.12385336,-0.19736768,-0.0031529698
pediastrum,0.29765108,0.30520117,0.06958986,0.08869481,-0.022862842
pennate_diatom,-0.118813455,0.17930156,0.04409865,-0.09394397,-0.0059366343
peridinium,-0.21451306,0.2558261,0.09090323,0.21988662,-0.44232568
phacotus,0.12258154,0.06267946,-0.21344356,-0.031143866,0.078018256
plankton_x,-0.20364502,-0.024008302,-0.17835017,0.032691997,-0.18374945
plankton_y,-0.067264855,0.36380762,-0.008941095,-0.19024235,-0.014675873
plankton_z,-0.018518552,-0.14432983,0.396004,0.01941413,0.048789054
planktosphaeria,0.352755,-0.3535769,0.030834416,-0.0033116406,0.010888407
polyarthra,0.19329154,-0.011031752,-0.11712093,0.09849609,0.10868348
protist_like_ciliate,-0.14397085,-0.09073343,-0.28941905,0.1546064,-0.028158214
rhodomonas,-0.12063075,-0.12892054,-0.18266913,-0.18024248,-0.14283985
rotifer,-0.14064638,-0.1280658,-0.10031805,-0.1460129,-0.1146169
rotifer_long,0.3249958,-0.09839603,0.00017224818,0.00020745935,-0.16671214
rotifer_z,0.09830334,-0.06193473,0.2953427,0.20786993,-0.023408286
scenedesmus,-0.11149262,0.01392865,0.0021830301,-0.14841038,0.0031634525
snowella,0.013562088,0.12721859,0.035137028,0.036350638,-0.0022547876
staurastrum,0.1349021,0.13443474,-0.03197136,-0.26843402,-0.014465794
strombidium,-0.3195867,0.015086448,-0.32773128,0.01839632,0.091756016
synchaeta,0.1310967,0.06356314,0.059644345,0.003313663,0.023747923
synedra,0.21359593,0.15824375,-0.24644132,0.086969756,-0.10672241
synedra_angustissima,0.09664759,-0.12360793,-0.14714691,0.14742982,0.061572447
synura,-0.04809498,-0.19653445,0.14803682,-0.2766521,-0.13605177
tetraedron,0.08516006,-0.19802073,0.31605166,-0.11430293,-0.104393266
tintinnid,0.09674076,-0.16395305,0.14753534,-0.06979165,0.26385897
trichocerca,-0.04926916,-0.13548519,-0.21950665,0.33756292,-0.12990722
uroglena,-0.18434136,-0.17442052,-0.18031947,-0.18953745,-0.07424553
vorticella_epistylis_like,0.26085973,-0.010162017,0.03796021,0.19022089,-0.009772893
