,h0,h1,h2,h3
aphanizomenon,-0.8909919,-0.8966264,0.8179662,-1.8737974
askenasia,-1.0256193,0.38959277,-1.5374849,-0.3138101
asplanchna,0.64073294,1.6128963,0.060967453,-2.0108163
asterionella,-0.32232663,-0.98135537,-0.007399383,-1.4259082
aulacoseira,0.30503303,-2.0234547,1.267998,0.5003125
bosmina,1.0612049,-0.35026667,0.2522085,0.36518246
centric_diatom,1.180888,-1.2511951,0.46239674,0.056172054
ceratium,-1.2379287,-0.9060873,-0.31613156,-2.6427062
chaoborus,-1.0515403,0.38155904,-0.27611798,-0.9844082
chlorophyte,1.0223705,-0.6129228,-5.3968506,-3.16136
chlorophyte_colonial_dividing,-2.0883987,-0.09575431,-4.26659,-3.7873588
chlorophyte_elongated,-0.6432453,0.98381245,-1.3045195,-2.4153957
chlorophyte_frame,-0.97957313,0.0028229658,-3.6469567,-1.7674686
chlorophyte_square,-1.016406,-2.2356813,-4.123219,-2.6019282
chroococcales,-1.8616863,-2.2831814,-2.3794017,-2.732599
chydorus,-1.30397,-0.43173206,0.500607,0.45619518
ciliate,1.0760897,0.10279704,-0.16588257,-0.8905879
ciliate_big,0.8023925,-3.4082227,0.8699384,-2.9139254
ciliate_blue,-0.10825022,-1.4023385,-1.4989129,0.43914455
ciliate_green,-3.302792,2.265704,-1.492012,-0.7806351
ciliate_round,0.42239505,-1.273456,0.74110556,-1.112963
closterium,-1.0527211,-2.416332,0.91426265,0.9842512
coelastrum_reticulatum,-2.583008,-1.6108156,0.8390614,0.22530992
coelosphaerium,-2.0172362,-1.7835488,-2.2494757,-0.6229347
coleps,-1.4150956,-2.3422225,0.15596339,0.26051724
collotheca,-3.3471992,-1.6617632,-0.6513448,-0.9222523
conochilus,0.15226223,1.3227799,0.7066024,-1.5780988
cosmarium,-1.791037,-0.4420062,-1.9687436,-1.7644156
cryptophyte,1.0193702,0.11475963,-2.0995176,-4.3434873
cyanobacteria_colonial_blue,-1.6632968,-0.5941432,-1.4655353,-2.4717753
cyanobacteria_colonial_clathrate,-3.275726,0.14579396,-0.30640483,-1.4305311
cyanobacteria_colonial_probably,-3.174328,-1.5253313,-1.4769461,-1.5004439
cyanobacteria_filamentous,-1.4022272,-2.2260797,1.1641426,-0.27167347
cyclops,-0.35666254,0.50620306,-1.8701893,-2.3570948
daphnia,-1.8971572,0.44897327,0.73697424,-1.1727781
daphnia_cucullata,-1.5675956,-1.5094252,0.4315194,1.4559629
diaphanosoma,-1.3954475,-1.3138521,-0.41794088,-0.15894696
didinium,0.31194842,-1.0799111,-0.81561077,-1.0227233
dinobryon,-6.014385,3.0624,-2.0956275,-4.387033
dinoflagellate_diamond,4.1448236,-2.5976665,2.4757364,1.490043
dolichospermum,-1.6011868,-1.7827644,-0.3944731,0.23526798
eudiaptomus,-0.57330716,0.58307934,0.39377236,-0.11062064
fragilaria,-2.2869756,-1.0965688,1.1764114,0.35751504
gonium,-1.8795139,-0.26420802,-2.356815,-3.594395
gymnodinium,2.8518412,-2.576836,-3.242382,-2.5179815
kellicottia,1.7581872,0.024709962,-0.41157112,-2.6483386
keratella_cochlearis,-1.5708605,-0.95403683,0.24380131,-1.2338725
keratella_quadrata,0.07745049,0.83392286,-0.04435566,-1.9217826
leptodora,-1.0035702,-1.5220948,-0.47825235,-0.72610366
limnoraphis,-1.3339958,-1.7269775,0.7792351,-0.17807066
mallomonas_akrokomos,0.96977377,1.0793732,-1.2916292,-1.106841
mallomonas_big,-1.9885069,-1.8387426,-0.073862754,-0.67320985
nauplius,1.1618745,2.446687,-2.4483294,-4.4899106
oocystaceae,-1.0637903,-1.4195415,-3.1880665,-1.2855154
pandorina,-1.1801928,-1.0610218,0.4649998,-0.9534561
paradileptus,-1.7435861,-1.5103549,0.19586441,-0.86847854
pediastrum,-3.2455704,-1.5890371,-0.71131414,0.88012666
pennate_diatom,0.8466261,-0.4507841,-0.5580808,-2.0368173
peridinium,0.8464624,-3.0009172,-1.9149569,-2.056873
phacotus,-1.2251606,0.21403842,-3.1109288,-1.5153396
plankton_x,-0.6388799,-1.2157154,-1.2001084,-2.4004877
plankton_y,0.87685263,-1.0899627,-0.67507046,-1.2044945
plankton_z,-1.0866928,-0.59703106,-2.5034986,-3.1607342
planktosphaeria,-0.47020864,0.62007284,-0.82813084,-1.4329531
polyarthra,0.34930307,1.3790227,-0.6873228,-3.3196585
protist_like_ciliate,1.8240672,-2.8412712,-3.1484528,-2.2414916
rhodomonas,2.6937551,0.9221258,-1.4065034,-2.6440918
rotifer,-0.49088714,2.3399029,-1.0546461,-6.58646
rotifer_long,-0.3868618,0.019854449,-0.92533964,-1.4725794
rotifer_z,-1.6168803,-0.5448388,-1.7819136,0.49482107
scenedesmus,-2.1927018,-2.8532245,-1.2811707,-1.0515634
snowella,-2.273985,-3.4765425,-2.9745352,3.063007
staurastrum,-1.282883,-0.5800882,0.03428522,-0.42958316
strombidium,0.67240673,-0.1091124,-1.2155154,-3.5677474
synchaeta,-0.29952154,0.58086294,0.8554212,0.32173204
synedra,-0.58318686,0.7254031,0.40314972,-1.466804
synedra_angustissima,-0.3874246,-2.349755,1.0189267,1.3303874
synura,-2.3077214,-1.4992601,0.5068007,1.2677356
tetraedron,-1.1895102,-1.3417481,-2.4536417,-1.7691016
tintinnid,0.7435549,-2.132208,1.1107413,-1.8781208
trichocerca,-1.113034,0.3731518,-1.0807748,-3.1720865
uroglena,-2.9197285,1.3363076,-0.42604235,-2.5475786
vorticella_epistylis_like,0.7470911,-2.8305085,-0.40157884,-1.3216567
