,h0,h1,h2
aphanizomenon,0.9012142,1.2000413,-0.5493997
askenasia,0.6912259,-0.9292101,-0.818358
asplanchna,0.46919036,-0.40397975,0.73458445
asterionella,2.0991273,-0.28683078,-2.4813392
aulacoseira,-1.3153682,4.2500663,-0.8926107
bosmina,-0.95272285,0.089243926,0.4428329
centric_diatom,-1.7344757,0.638495,-1.3303025
ceratium,1.8287877,0.7638722,-1.8121223
chaoborus,0.81010866,-0.26155958,-1.1329707
chlorophyte,-0.113349825,-1.6852233,-1.2983042
chlorophyte_colonial_dividing,1.0433611,-1.8952552,-1.7087171
chlorophyte_elongated,0.6026053,-1.02409,0.15157974
chlorophyte_frame,1.562455,-1.6557739,-0.9905915
chlorophyte_square,0.81994736,-1.8488373,-1.6738168
chroococcales,1.840436,-2.7419465,-3.0429354
chydorus,-2.426646,-1.9247975,-3.152142
ciliate,-0.06385451,-0.40526497,0.6760706
ciliate_big,-1.1066957,1.4939992,-1.6453818
ciliate_blue,0.005321941,-0.5364097,-0.43944126
ciliate_green,2.008302,-0.3028646,-0.84807533
ciliate_round,-1.0916514,-0.2087811,-0.7519099
closterium,-0.33416146,-0.045110878,-1.5868332
coelastrum_reticulatum,0.8716445,-0.5738416,-2.7999122
coelosphaerium,2.0408516,-2.345445,-4.656516
coleps,-0.60849917,-1.505686,-2.7462533
collotheca,1.2169685,-1.1341783,-2.685831
conochilus,0.7029781,-0.02622026,1.0769938
cosmarium,0.73889613,-1.0347732,-1.1379877
cryptophyte,-0.12802477,-0.63100594,0.4233299
cyanobacteria_colonial_blue,0.088785596,-1.6391417,-2.6656404
cyanobacteria_colonial_clathrate,2.1748748,0.72786456,-3.9393094
cyanobacteria_colonial_probably,1.0323787,-1.9666624,-3.665494
cyanobacteria_filamentous,-0.69729817,-0.5750591,-3.6494236
cyclops,0.3566106,-0.5545453,0.03713446
daphnia,0.17666453,0.7550241,-0.45192483
daphnia_cucullata,-0.97304314,-1.0095559,-4.14458
diaphanosoma,-0.27484283,-4.1776543,-4.4552007
didinium,-0.003930824,-0.6259464,-1.5257223
dinobryon,3.6777337,-0.676546,-3.1459122
dinoflagellate_diamond,-3.2716634,-0.14663933,1.3288379
dolichospermum,1.1760733,0.5768068,-1.5934547
eudiaptomus,0.017280074,0.03560685,-0.07014673
fragilaria,3.051969,1.7410618,-1.8834276
gonium,2.7567797,-0.95376503,-2.6150432
gymnodinium,-0.41383415,-0.83015335,-0.3146905
kellicottia,-0.07916207,0.018176286,0.5322692
keratella_cochlearis,0.72150785,-0.179775,-0.79235303
keratella_quadrata,1.8246524,1.0281032,0.4805678
leptodora,-0.43249798,-0.4402733,-2.8659468
limnoraphis,-1.3133785,-1.6644266,-3.4205189
mallomonas_akrokomos,-0.09039796,-0.777248,0.44602785
mallomonas_big,-0.027152278,-0.75282264,-2.2051618
nauplius,0.26787338,-0.361946,0.6494332
oocystaceae,-1.0939621,-2.4342365,-2.8793561
pandorina,1.0988048,0.49955943,-0.03425927
paradileptus,1.1552778,0.8676298,-1.914559
pediastrum,0.18006879,-0.93661314,-2.0754836
pennate_diatom,0.8230612,-1.0940471,-1.3962495
peridinium,0.31470686,-0.90117,-1.9327083
phacotus,1.2196419,-0.07835435,-1.4940617
plankton_x,1.1995434,-0.8563831,-1.0205147
plankton_y,-0.44451597,-0.051634606,-0.10037007
plankton_z,0.7993045,-2.583622,-2.3735101
planktosphaeria,-0.17308015,1.1172093,-1.296453
polyarthra,0.55630004,-0.31470948,1.6393515
protist_like_ciliate,0.039908927,-1.3575215,-1.1617192
rhodomonas,-0.6979189,-0.33180866,1.0054537
rotifer,0.918635,-0.34534037,0.46648777
rotifer_long,0.8824761,-1.4842862,-0.21365057
rotifer_z,1.6144762,-0.6743233,-2.1607387
scenedesmus,0.67102534,-1.4089441,-2.7822728
snowella,-2.017238,-6.5951433,-7.027443
staurastrum,0.31552696,-0.4393593,-0.716736
strombidium,0.25497285,-0.6071662,0.039907537
synchaeta,-0.49273816,-0.06783992,-0.13387458
synedra,1.5264144,0.24943382,-0.3901646
synedra_angustissima,-1.6655203,1.0136594,-1.9431448
synura,0.5783461,-0.11825324,-2.620599
tetraedron,-0.03454688,-1.8958668,-1.7818923
tintinnid,-0.5810581,-0.041740924,-0.24202532
trichocerca,0.5304826,-0.914256,-0.7604961
uroglena,4.4155684,-0.054450914,-0.9633506
vorticella_epistylis_like,-0.6278335,-0.3451237,-1.0303063
