,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-2.866836,-1.1830703,-1.7268431,-0.14219521,0.4816524,-1.3333386,0.005064598
askenasia,0.680301,-0.7066104,-0.79483294,0.16723226,-0.7530811,-0.8700731,0.35365388
asplanchna,-0.793612,-1.4271847,0.48812854,1.9740962,-1.7146018,-0.7597807,-1.1362097
asterionella,-2.9841669,-3.1172757,1.026841,-0.3942895,-0.32480386,0.0309738,0.8593537
aulacoseira,-1.4698579,-0.750376,-1.3543894,-0.741102,2.3615327,-0.3549694,-1.055252
bosmina,0.042788617,0.90205336,0.026076715,-0.23720449,0.85409886,-0.4674362,-0.50159657
centric_diatom,-0.5344994,-0.91561663,0.5170801,-0.6838549,1.2934526,0.050712172,-1.0140274
ceratium,-1.3296347,-2.7074919,-1.9252331,0.69892246,2.5677419,-2.5107334,1.7111788
chaoborus,0.3805701,-0.6539314,-1.3084087,1.1159068,0.033356607,-0.43434224,0.5872031
chlorophyte,4.7562604,-3.9909213,1.5987209,-0.7972228,-2.323166,-5.1930113,1.9672536
chlorophyte_colonial_dividing,4.182397,-2.5740435,0.65360963,-0.6705014,-5.5090013,-2.5498695,3.1816435
chlorophyte_elongated,-2.2330513,0.8088322,-0.040201988,-0.79227,-3.0362895,-1.1473421,1.3876263
chlorophyte_frame,4.0504923,-0.88490486,0.16050187,-1.0839528,-2.7091804,-3.153534,2.0045612
chlorophyte_square,3.6120908,-1.4778202,0.119366385,-2.7144618,-4.20053,-1.8686073,2.2733061
chroococcales,3.5108232,-0.778125,-0.6080572,-2.8673468,-3.4834237,-0.4229983,1.7989666
chydorus,-0.15682015,1.3915769,-2.3291295,-1.0579671,-0.7786922,-0.19060206,-1.0434942
ciliate,0.110083684,0.23472783,0.5901772,-0.5558674,-0.38572428,-0.7576649,-0.7254974
ciliate_big,-0.011716309,-2.230597,-2.8095932,0.8574084,3.1781194,-2.2566652,0.29638857
ciliate_blue,2.098132,-0.010589865,-0.8612787,-1.3206125,-0.049671743,-0.403171,-0.20655873
ciliate_green,3.298405,0.024572477,-2.4537325,2.141242,-1.6954093,-2.110552,1.2048013
ciliate_round,-3.1221433,-1.2400497,-0.2380249,-0.92288107,0.07188335,-0.3046486,-0.8365444
closterium,-1.3897365,-1.3530755,-0.40250513,-1.7097585,0.5066682,2.3723958,0.65041476
coelastrum_reticulatum,-1.2289106,-1.2214482,-0.8629738,-0.6656243,-1.2160748,2.3184974,1.5008131
coelosphaerium,0.429956,-0.1640347,-0.66933817,-1.1398257,-1.3689833,-0.60811204,2.4559956
coleps,-0.9372741,-0.6693188,-0.50787956,-1.516913,-0.6485834,1.2439165,0.82034534
collotheca,-0.5937622,0.10329477,-2.6741567,-0.9755529,-2.066646,0.41543388,1.9603462
conochilus,-1.6601812,-0.33916572,-1.0369558,1.6284432,0.25435507,-2.2667294,-1.1439598
cosmarium,-0.5609538,-0.33615664,-0.68134296,-1.1804504,-1.8869339,-0.8875088,2.1301453
cryptophyte,-0.2932461,0.2612467,0.2539106,-1.5513916,-1.9018298,-3.3061533,-0.10338097
cyanobacteria_colonial_blue,-0.90912867,-2.6049993,1.1527351,0.38972223,-4.029764,2.2163332,3.2562919
cyanobacteria_colonial_clathrate,-1.8937377,-2.9364083,-0.008338149,1.8958399,-2.6512067,2.3372054,3.9245417
cyanobacteria_colonial_probably,1.1992071,-0.384234,-1.1224283,-1.1135614,-3.3332052,1.5633147,2.545773
cyanobacteria_filamentous,-2.121555,0.120354556,-1.7936385,-1.8547342,0.14669956,0.80894905,0.67433226
cyclops,0.20590925,-0.13355957,-0.25063488,-0.31878373,-2.2222238,-1.6730506,0.4375843
daphnia,-0.010721381,0.629036,-3.1087534,1.5709264,-0.54667133,-1.1221735,-0.2134113
daphnia_cucullata,0.18188922,0.9973907,-2.0188348,-0.40880594,0.8223453,0.8168203,0.97371125
diaphanosoma,0.6561005,-0.09586267,-0.81005305,-1.308185,-1.2974133,1.0806072,0.72801626
didinium,0.7860508,-1.0154653,0.113522,-0.6790273,-0.050120525,-0.59708685,0.024265086
dinobryon,-0.7178934,-2.492798,-6.384429,3.5144856,-7.015849,-3.163779,2.7301943
dinoflagellate_diamond,-2.209206,-0.7337182,1.9611937,-1.0978234,2.9616108,1.0395112,-3.0565996
dolichospermum,-1.3424188,0.21489906,-1.2424853,-1.7841363,0.18909174,-0.24214399,1.5112165
eudiaptomus,-0.9941939,0.3136763,-0.8845162,0.36631414,-0.75117105,-0.4028808,-0.6103871
fragilaria,-2.3503118,-3.1795979,-1.3719493,0.43133882,0.0017272837,2.742015,1.232292
gonium,0.9588093,-1.1326878,-0.32226214,-0.28385708,-3.9071887,-2.822417,1.8227783
gymnodinium,2.2362742,-1.7917829,1.3650017,-2.631736,2.262857,-3.799347,0.19982202
kellicottia,-2.038308,-1.7136847,1.6442679,-0.12784955,-0.72938216,-0.95025325,-0.46584886
keratella_cochlearis,-0.49331325,-2.3067238,-1.1341033,-0.25465658,-0.0008392071,0.26733735,0.21267891
keratella_quadrata,-0.69323444,-2.1304715,-0.32934994,1.5579294,-0.04775714,-1.5578705,-1.0344758
leptodora,1.0581671,-1.0753863,-1.5320679,-0.21205242,0.61535174,-0.33132792,0.5697445
limnoraphis,0.52713317,-0.095857404,-2.6686518,-0.5174433,0.8170372,-0.5749418,-0.6177464
mallomonas_akrokomos,-0.40689045,1.137568,0.75603825,0.17716399,-1.0305744,-2.112378,0.24589989
mallomonas_big,-0.21227379,-0.52296287,-1.4998473,-1.1922519,-0.24250767,-0.003906532,0.7698987
