date,h0,h1,h2,h3,h4,h5,h6
2023-10-05,0.00020875566,7.7961565e-15,1.7403706e-19,6.2915515e-13,4.5075285e-22,3.0351212e-17,1.0
2019-12-25,4.9088667e-12,0.99997306,0.999948,0.9999261,0.98130655,0.9999298,4.238097e-12
2021-12-26,4.8595183e-13,0.99999404,0.97486407,0.9999527,0.9998149,0.99999976,1.5096621e-12
2024-10-27,6.515489e-10,6.256774e-21,3.6557451e-13,7.346147e-13,6.3491003e-21,1.9153352e-19,1.0
2023-03-20,1.0230099e-11,0.0016920271,0.999925,0.01597284,0.00017514802,1.3844337e-14,2.7697853e-12
2020-07-04,0.26709497,2.0967999e-14,5.36486e-08,0.98388934,1.5768253e-23,9.966302e-15,1.0
2021-11-19,2.223537e-22,4.1059585e-07,5.6589095e-10,0.95932794,0.0014886255,1.0,3.8725643e-06
2021-09-03,6.4057994e-09,9.2334686e-24,1.060079e-12,1.1204198e-06,4.509706e-25,1.6032937e-17,1.0
2019-07-29,0.9998828,6.4577726e-10,2.6761252e-10,0.00578903,4.506084e-22,2.4328835e-13,1.0
2024-09-08,0.99999607,3.1179784e-10,1.1268068e-09,4.993751e-10,5.6756307e-18,8.8985665e-15,1.0
2023-10-28,3.277411e-11,2.0595193e-16,1.427112e-13,3.2110558e-14,5.1963906e-23,4.794874e-14,1.0
2022-12-09,8.8806724e-20,9.409635e-05,1.0902535e-06,0.0017258229,0.9999902,0.9999994,4.0167274e-07
2023-04-12,2.2167814e-12,0.102949545,0.9922781,0.9997632,5.8377075e-10,2.009784e-10,2.5322515e-09
2021-12-02,6.6173565e-19,0.9100248,9.670139e-08,0.99952614,0.9999758,0.99998796,1.5002763e-11
2024-11-06,2.373466e-11,8.230739e-15,2.8848495e-12,6.8757806e-15,1.3399023e-19,1.0641263e-20,0.99999917
2021-01-18,1.1322565e-18,2.5317414e-07,0.99998844,0.08943969,0.9999473,0.99999416,2.7474684e-10
2024-03-02,3.882719e-10,1.5973957e-18,0.00010354155,1.1552551e-08,1.2833979e-16,9.253895e-22,0.8998503
2022-12-17,2.9742636e-22,1.4714604e-07,1.4475719e-06,0.912948,1.0,0.999967,5.229298e-09
2021-09-14,0.00013788138,1.939266e-19,7.687611e-11,1.4364685e-05,2.0885994e-27,9.953705e-19,1.0
