epoch,train_mse,val_mse,train_pll,val_pll
1,0.22713869884610177,0.22520679235458374,0.6397322416305542,0.6417346000671387
10,0.18903313130140303,0.18603117763996124,0.5574570894241333,0.5540239214897156
20,0.17218805328011513,0.17395220696926117,0.5259290337562561,0.525604784488678
30,0.16471236422657967,0.16778424382209778,0.5115795135498047,0.511148989200592
40,0.16583145707845687,0.1655685305595398,0.5027771592140198,0.5038691163063049
50,0.16189743131399154,0.16197526454925537,0.4955906271934509,0.4959860146045685
60,0.15544644072651864,0.16003528237342834,0.4890264570713043,0.4908444881439209
70,0.15527813732624055,0.15821093320846558,0.48365044593811035,0.4856625497341156
80,0.14919334501028061,0.15622206032276154,0.47816261649131775,0.48056289553642273
90,0.15034058950841428,0.15563367307186127,0.4747675359249115,0.48019328713417053
100,0.1492561012506485,0.15452168881893158,0.4722977876663208,0.47754397988319397
110,0.14724994003772734,0.15308797359466553,0.4684355556964874,0.47497105598449707
120,0.1494947373867035,0.15330328047275543,0.46637022495269775,0.4730747640132904
130,0.15009535253047943,0.1521330624818802,0.4649038314819336,0.4719967842102051
140,0.14645731151103974,0.15251171588897705,0.4639193117618561,0.4713877737522125
150,0.14421131759881972,0.1515602469444275,0.46297621726989746,0.4701829254627228
160,0.145289745926857,0.15202359855175018,0.46217989921569824,0.4696079194545746
170,0.1452888585627079,0.15108516812324524,0.4613555371761322,0.468839555978775
180,0.14842454642057418,0.15128746628761292,0.4609985649585724,0.4681335985660553
190,0.14441380500793458,0.15053518116474152,0.4605436623096466,0.46745866537094116
200,0.14609586521983148,0.15178510546684265,0.4603327214717865,0.46884676814079285
210,0.14548694789409639,0.15087847411632538,0.4596990644931793,0.4676717519760132
220,0.14532483965158463,0.15110842883586884,0.4591740667819977,0.46744316816329956
230,0.14219009056687354,0.15065395832061768,0.4587051272392273,0.467206746339798
240,0.14559011086821555,0.14982330799102783,0.45857957005500793,0.4661155045032501
250,0.14514851272106172,0.15050892531871796,0.45824116468429565,0.46723392605781555
260,0.14418661817908288,0.1502573937177658,0.45809876918792725,0.4669225811958313
270,0.1426948457956314,0.15055295825004578,0.4578796327114105,0.4668533504009247
280,0.14371550902724267,0.14971047639846802,0.45763063430786133,0.4659672975540161
290,0.1445297196507454,0.1507602483034134,0.4576723277568817,0.4667639136314392
300,0.1429881401360035,0.15029196441173553,0.45748594403266907,0.4667174518108368
310,0.14373283088207245,0.1493818163871765,0.4572084844112396,0.4653664529323578
320,0.14512134864926338,0.14941805601119995,0.45703810453414917,0.46534088253974915
330,0.1426123045384884,0.14957073330879211,0.4571327865123749,0.46596935391426086
340,0.14285713955760002,0.14988647401332855,0.45693179965019226,0.4660814106464386
350,0.14458042979240418,0.14944425225257874,0.4567328989505768,0.46566879749298096
360,0.1440461702644825,0.15020769834518433,0.4568524658679962,0.46615538001060486
370,0.14492281824350356,0.1493089199066162,0.4565832018852234,0.46543872356414795
380,0.1431393288075924,0.14960356056690216,0.45651257038116455,0.4655526876449585
390,0.14401500076055526,0.14969904720783234,0.45643481612205505,0.46569040417671204
400,0.14308230578899384,0.1496700495481491,0.45626258850097656,0.46562501788139343
410,0.1423851802945137,0.14964649081230164,0.45626306533813477,0.46600183844566345
420,0.14318781420588494,0.1494370847940445,0.4557974934577942,0.46552783250808716
430,0.14310637786984443,0.14911961555480957,0.45473513007164,0.46475207805633545
440,0.1427038259804249,0.14826957881450653,0.4541354179382324,0.46463504433631897
450,0.14332975894212724,0.14910241961479187,0.4541696012020111,0.4648129940032959
460,0.14209298938512802,0.14891400933265686,0.4539719223976135,0.46454545855522156
470,0.143619916588068,0.14958825707435608,0.453959584236145,0.46463248133659363
480,0.14265100210905074,0.1488051414489746,0.4538249969482422,0.464464396238327
490,0.14278513491153716,0.14903974533081055,0.45371443033218384,0.4646514654159546
500,0.14202261120080947,0.14899030327796936,0.45357468724250793,0.46454957127571106
