,h0,h1,h2,h3,h4
aphanizomenon,-0.36692145,-1.507484,-4.709043,-1.2949854,0.2887483
askenasia,0.63987553,0.1943843,0.70417005,-0.40574247,-1.348134
asplanchna,-0.49288863,1.3371282,-0.2845493,-0.78926104,-0.049129326
asterionella,-1.1766945,-2.522958,-1.7184945,-1.255642,-2.171854
aulacoseira,0.96614623,-2.974927,-1.3556677,-2.2947695,2.4019308
bosmina,0.40468925,-0.10637492,-0.64532614,0.63988775,1.2616751
centric_diatom,-1.8638477,-0.5715074,0.94170874,-0.24837078,0.46932852
ceratium,1.2418604,-1.345713,0.80894727,-2.0206354,-2.104843
chaoborus,0.3602291,-0.07389596,-7.828223,-0.98581076,-1.2397496
chlorophyte,0.27367076,-0.08155774,-0.3942883,0.4858533,-1.5439498
chlorophyte_colonial_dividing,0.69239193,0.09865045,-0.04644584,0.47500697,-2.7804348
chlorophyte_elongated,-1.039739,0.31965026,-2.0713232,0.35639897,-0.8273303
chlorophyte_frame,0.13851373,0.23095421,-6.805887,0.8715811,-2.582697
chlorophyte_square,0.4841414,-0.09910204,-1.6807872,0.76354045,-2.0898588
chroococcales,1.2351791,0.08765347,-10.28059,1.7292492,-3.3062108
chydorus,-0.12920412,-2.3482764,-5.458193,0.651073,-0.7490399
ciliate,-0.6680397,0.59526664,-0.2931677,0.5195066,0.28596517
ciliate_big,1.0239422,-1.7834567,-4.1945596,-1.521266,1.0617058
ciliate_blue,0.35711485,-0.02998224,-0.34438726,0.16522,-0.41422534
ciliate_green,0.2457367,0.2840548,0.38259855,-1.3163152,-2.6031454
ciliate_round,-0.360956,-0.7632006,0.5442104,0.5203525,-0.09783614
closterium,0.2378935,-1.1342986,0.87935644,-0.30403417,-0.3771006
coelastrum_reticulatum,2.2355404,-3.166367,-0.5503965,0.60006887,-1.1364746
coelosphaerium,1.3281502,-0.7947465,-19.063885,1.3656313,-5.465123
coleps,0.95806146,-1.5616761,-4.4071107,0.70576787,-1.2687695
collotheca,0.6199928,-0.42601827,-14.097891,0.16733328,-2.586051
conochilus,-0.23225434,1.7028362,-0.23923546,-1.8790501,0.4319173
cosmarium,0.40679675,-0.21616815,0.59155315,0.022624042,-2.3964794
cryptophyte,0.64342195,0.21559848,-0.50846714,0.40677556,0.0070802504
cyanobacteria_colonial_blue,0.5644965,-0.9010253,-6.087379,0.06939121,-0.3687157
cyanobacteria_colonial_clathrate,1.8137223,-2.7466416,-16.598795,-1.7227399,-3.2932556
cyanobacteria_colonial_probably,1.6761016,-0.43776676,-8.20265,1.1988364,-0.98593205
cyanobacteria_filamentous,-1.2340258,-3.3959816,-5.631691,0.09546475,-0.13715498
cyclops,0.12913665,0.37321568,-0.93244904,0.009159443,-0.43614823
daphnia,0.57168484,-0.23246033,-2.6149669,-0.9911166,0.023219604
daphnia_cucullata,3.4825408,-1.4528697,-20.20678,0.16387883,-1.3226498
diaphanosoma,3.0386477,0.032894693,-20.38498,1.2728107,-4.235366
didinium,-0.1014452,-0.16096121,1.2721833,0.017267216,-1.220183
dinobryon,0.5147686,1.0177441,0.26311538,-2.4269226,-4.672497
dinoflagellate_diamond,-1.4149388,-0.28596857,0.44746146,2.699295,2.4305043
dolichospermum,0.27397707,-2.0148885,-4.616275,-1.5497878,-0.35332358
eudiaptomus,-0.11591828,-0.0604504,-0.21941403,-0.0411677,-0.09589073
fragilaria,0.15631358,-2.6810024,-0.37231287,-2.8130496,-2.2287056
gonium,0.7910964,-0.48208597,-18.147501,0.23989171,-6.002452
gymnodinium,0.30156994,0.05452426,0.14387813,0.38861692,-0.18545868
kellicottia,-0.43181247,0.33035776,-0.8096881,-0.2069094,0.44123742
keratella_cochlearis,0.22157875,-0.013494071,0.32256773,-0.6518111,-1.0215349
keratella_quadrata,0.4052701,0.58235174,0.17829327,-1.6930135,-0.11693017
leptodora,2.5012717,-0.7546997,-19.924007,-0.3273519,-0.876629
limnoraphis,1.368603,-1.2310148,-13.527817,0.841304,-1.2820122
mallomonas_akrokomos,-1.6678972,1.104609,-0.3610542,0.36899102,-0.38248122
mallomonas_big,0.26365858,-0.8563755,0.7732689,-0.21052937,-1.4770256
nauplius,0.11299793,0.7772846,-0.20124541,0.022593668,0.087921865
oocystaceae,1.104431,-0.20295121,-4.1303773,1.1910795,-0.24476814
pandorina,1.1439191,-0.64218026,0.8475054,-0.5663642,-0.75023824
paradileptus,1.418622,-1.6479006,0.2338124,-1.4583508,-1.5706792
pediastrum,0.70195365,-1.2169864,-6.931649,0.26258516,-1.6072361
pennate_diatom,-1.0692118,-1.2010027,-0.020533878,0.64911646,-1.435809
peridinium,-0.4604358,0.17833982,1.3075463,0.33496723,-1.8723449
phacotus,0.9579836,-0.31268498,-0.51557165,-1.0628422,-1.7429312
plankton_x,0.41574714,1.0292945,-1.0353477,0.31986663,-1.6584039
plankton_y,-0.09288474,-0.18845251,0.82536155,0.28524646,0.3003107
plankton_z,0.112512626,0.048434675,-10.28365,0.5707675,-3.5659647
planktosphaeria,-0.42168266,-0.7139825,-2.7111907,-1.7447228,0.2626116
polyarthra,-2.318479,0.88907814,-5.2266827,-0.38997653,1.0441008
protist_like_ciliate,0.33378085,-0.03857629,0.20478038,0.2567371,-1.461169
