,h0,h1,h2
aphanizomenon,-0.10447524,-0.00062774937,-0.42834717
askenasia,0.043741774,0.0022049802,-0.08175371
asplanchna,-0.09988195,-0.039900463,-0.17112087
asterionella,-0.16368918,-0.2965744,0.099188305
aulacoseira,-0.014640669,-0.015008497,-0.01992996
bosmina,0.19698507,-0.06363166,0.20006076
centric_diatom,-0.08344694,-0.104295604,-0.20083253
ceratium,-0.22313228,-0.10127002,-0.19913791
chaoborus,0.009686631,-3.2653998e-07,0.4035905
chlorophyte,-0.06180953,-0.06455897,-0.08859638
chlorophyte_colonial_dividing,-0.08055146,-0.089021176,-0.116316274
chlorophyte_elongated,-0.052409995,-0.14725985,-0.13399674
chlorophyte_frame,-0.12683049,0.003981435,0.1273631
chlorophyte_square,0.051175617,-0.12218593,-0.091205835
chroococcales,-0.002478746,-0.083915636,-0.18510449
chydorus,0.22000147,-0.30195326,-0.14892277
ciliate,-0.033583548,0.07478299,0.07833384
ciliate_big,-0.010499843,0.18829824,-0.2321387
ciliate_blue,-0.051226784,4.7205867e-05,-0.16614883
ciliate_green,-0.08526863,-0.12992167,0.14549233
ciliate_round,0.055226345,0.02125386,0.09771964
closterium,-0.17597954,-0.012803824,-0.15917216
coelastrum_reticulatum,0.19563395,-0.2173398,-0.18534343
coelosphaerium,-0.019349832,0.07314622,-0.09408889
coleps,-0.13454974,-0.10555259,0.14762396
collotheca,-0.28967214,0.10291619,0.019409668
conochilus,0.10014253,-0.066809036,-0.021095471
cosmarium,0.13261965,-0.5695783,0.06225529
cryptophyte,-0.04869634,-0.051479243,-0.07024868
cyanobacteria_colonial_blue,-0.11348152,-0.11259002,-0.17062838
cyanobacteria_colonial_clathrate,0.17161793,0.31846935,-0.0033473242
cyanobacteria_colonial_probably,-0.12717567,-0.11090135,-0.1993998
cyanobacteria_filamentous,-0.06869681,-0.23439646,-0.16478455
cyclops,-0.15720421,-0.11578048,-0.1418656
daphnia,-0.01885301,0.017668247,-0.30430937
daphnia_cucullata,0.09422688,0.15523808,-0.16774932
diaphanosoma,0.1479047,-0.049234837,-0.37279364
didinium,-0.02998827,0.39950144,0.1035417
dinobryon,-0.042976763,-0.044884853,-0.0608363
dinoflagellate_diamond,-0.2870459,0.15073457,-0.086396165
dolichospermum,0.34095475,-0.2279243,0.2481478
eudiaptomus,-0.061139327,-0.16396925,-0.04715766
fragilaria,-0.2019035,-0.20042734,-0.2911571
gonium,-0.13150838,-0.14909534,0.41377887
gymnodinium,-0.19954583,0.21293238,-0.31892514
kellicottia,-0.15936065,0.042414825,-0.13533758
keratella_cochlearis,-0.027982643,-0.05657654,0.06497534
keratella_quadrata,-0.025491282,0.061355457,-0.17326455
leptodora,-0.110827036,0.07249494,-0.03156571
limnoraphis,0.2982023,-0.105665155,-0.07150212
mallomonas_akrokomos,-0.027827336,0.020728873,0.009526119
mallomonas_big,-0.2529045,-0.0668045,-0.09895092
nauplius,-0.10641358,-0.095776945,-0.13494006
oocystaceae,-0.101091,-0.09947127,-0.13335091
pandorina,-0.2167954,0.16000183,0.042581037
paradileptus,-0.1048155,-0.32151967,0.17849816
pediastrum,-0.1101239,0.05518626,-0.045240015
pennate_diatom,-0.02732682,-0.3747159,0.04268338
peridinium,-0.23594858,0.28247416,0.009543533
phacotus,-0.09474428,0.050139304,-0.0043063755
plankton_x,-0.29034862,0.40136486,-0.22945227
plankton_y,0.056452367,-0.12795895,0.1383276
plankton_z,-0.09299615,0.044642642,0.10950386
planktosphaeria,0.019459149,-0.16451758,-0.103492625
polyarthra,0.023513185,-0.19665146,-0.10256526
protist_like_ciliate,-0.09902956,0.011084739,-0.006718165
rhodomonas,-0.17535923,-0.17209658,-0.21397586
rotifer,-0.1786213,-0.17198959,-0.17952825
rotifer_long,-0.14667554,-0.4683479,-0.09452619
rotifer_z,0.0073582022,0.053320777,0.25962463
scenedesmus,0.020092884,0.104659066,-0.20748508
snowella,0.34703523,0.11575931,-0.26974452
staurastrum,-0.33671963,0.16972408,-0.046215538
strombidium,-0.12793133,0.034060743,-0.109397754
synchaeta,0.36669257,0.033209786,0.08986286
synedra,0.04803365,-0.45069113,0.08067085
synedra_angustissima,0.14427277,0.04484361,-0.005657581
synura,0.268814,0.019137895,-0.41339815
tetraedron,0.09609863,0.008855711,0.13505629
tintinnid,0.06871746,-0.112134255,0.024935603
trichocerca,-0.4733124,0.07754127,0.08281354
uroglena,-0.14453651,-0.13230382,-0.28601316
vorticella_epistylis_like,0.011083467,-0.39821473,0.23481366
