,h0,h1,h2,h3
aphanizomenon,-0.19813722,-2.1233613,-1.1275218,-1.2938089
askenasia,-0.27204126,-0.4630431,-0.7156893,1.5282395
asplanchna,1.4729427,-0.48317415,-2.08121,-0.8580479
asterionella,0.4013163,-2.5814147,0.062456347,-0.0058208643
aulacoseira,0.31435537,-1.6740563,1.834638,-0.7444997
bosmina,0.697886,0.51853126,0.31080425,0.09878711
centric_diatom,1.0513775,-0.8986863,1.5725088,0.037265804
ceratium,-0.35194123,-2.7598436,-0.9099853,0.062019713
chaoborus,-0.88035315,-0.45912102,-1.1233774,-0.2927323
chlorophyte,0.7134016,-2.0449703,-1.563561,4.774692
chlorophyte_colonial_dividing,-2.5582745,-0.19786814,-2.8623626,3.6954224
chlorophyte_elongated,-1.1195313,0.897369,-2.3489854,0.45501882
chlorophyte_frame,-1.5693985,0.35369077,-2.5056665,3.8111897
chlorophyte_square,-2.3110454,-0.5570061,-1.9751693,3.8879855
chroococcales,-2.3757162,-0.8670041,-1.0423952,2.6782598
chydorus,-1.4208053,0.632325,0.24310002,-0.17428699
ciliate,1.0068334,0.14521916,-0.27138543,0.5551735
ciliate_big,0.6591215,-3.515166,0.11065254,-0.81147873
ciliate_blue,-0.45966098,-0.3037291,0.45949423,1.785802
ciliate_green,-1.350777,-0.1327311,-2.4040449,0.63235736
ciliate_round,0.66269624,-1.5298294,0.10073484,-0.5490166
closterium,-1.7370143,-1.4719511,2.7945347,-0.21059264
coelastrum_reticulatum,-2.9267318,-1.2389615,0.48071322,-1.1088533
coelosphaerium,-2.8071127,-0.062769175,-1.0981271,2.0570498
coleps,-1.5463362,-0.9317703,0.6307176,0.10694334
collotheca,-3.1294715,-0.6085686,-1.3903707,0.5833559
conochilus,1.4657931,-0.5717141,-1.9619428,-0.9910431
cosmarium,-2.100634,-0.78323996,-1.3001933,1.3686367
cryptophyte,0.8362753,-0.19056116,-2.436941,1.6625959
cyanobacteria_colonial_blue,-2.154754,-1.2889645,-1.5950384,0.4841106
cyanobacteria_colonial_clathrate,-3.047524,-2.5491364,-1.8120941,-1.3131666
cyanobacteria_colonial_probably,-3.8550646,0.011621483,-1.7338716,1.6545849
cyanobacteria_filamentous,-2.0602345,-1.0020716,0.7241405,-0.94290406
cyclops,-0.6811628,0.3219843,-2.8725333,0.997535
daphnia,-1.403941,-0.32597357,-1.7527049,-1.4800189
daphnia_cucullata,-2.0199819,0.44497526,0.9927003,-0.061078496
diaphanosoma,-1.809275,-0.12738515,-0.11834823,0.66783655
didinium,0.4758186,-1.0359869,0.05356189,1.410288
dinobryon,-2.6655722,-1.4047583,-5.223456,0.23227863
dinoflagellate_diamond,2.9649892,-0.38191482,3.4305143,-0.85452473
dolichospermum,-1.9979292,-0.6211916,0.35801277,0.41611975
eudiaptomus,-0.16087094,0.17572594,-0.9051962,-0.68217224
fragilaria,-1.7116276,-2.3057623,1.2875745,-0.9384864
gonium,-2.2791827,0.6018295,-4.384657,1.8161198
gymnodinium,1.7360296,-1.6950186,0.6712592,3.514356
kellicottia,1.7399578,-1.3453196,-1.54921,-0.52939534
keratella_cochlearis,-0.92773354,-2.3979154,-0.31368938,-0.6429029
keratella_quadrata,1.5181229,-1.7324224,-1.6869503,-0.7271424
leptodora,-1.2393909,-1.2957557,-0.3213734,0.3865717
limnoraphis,-1.1653768,-0.9270399,0.014492503,-0.42052868
mallomonas_akrokomos,1.2699912,0.8638855,-1.7122694,1.2907096
mallomonas_big,-1.743942,-1.138147,0.3782626,0.57228523
nauplius,2.1872008,0.35682482,-4.301658,1.5005769
oocystaceae,-1.3090686,-1.7535723,-0.98916745,2.592197
pandorina,-0.87542,-2.74234,0.6606787,-0.48588473
paradileptus,-1.4118856,-2.8483095,-0.13018206,-0.3590486
pediastrum,-3.7827566,0.08106637,-0.42316318,0.06891711
pennate_diatom,1.7759775,-2.0040343,-0.8812324,0.5030423
peridinium,0.42742473,-1.6383724,0.72375804,2.7634985
phacotus,-0.28414956,-1.9947432,-1.4479561,2.3386605
plankton_x,-0.8698112,-0.19783953,-1.0241871,1.3429626
plankton_y,0.94977945,-1.4060729,0.53594136,1.1324657
plankton_z,-0.65505546,-1.7587469,-1.6507356,2.0904162
planktosphaeria,0.084207155,-0.51607656,-1.2527026,0.4296931
polyarthra,-0.07133711,1.3055817,-3.4635522,-0.3800757
protist_like_ciliate,0.83911693,-1.8274022,-0.014508276,2.9850404
rhodomonas,3.6463892,-0.11868424,-2.0106387,1.9083661
rotifer,0.44733536,0.3729368,-5.5114727,-0.15638053
rotifer_long,-0.76519907,0.8319707,-1.6416681,0.8838169
rotifer_z,-1.6861947,-0.0755162,-0.5054209,1.3098531
scenedesmus,-2.5674305,-1.0537438,-0.29667836,1.3775076
snowella,-5.720743,2.4710178,-0.24847427,1.858469
staurastrum,-0.86006683,-1.565023,0.39060882,0.114401035
strombidium,1.7069427,-1.4624823,-1.495904,1.4575291
synchaeta,0.7150357,-0.45451996,-0.096121676,-0.9101365
synedra,0.44689387,-1.3883207,-1.6562822,-1.2469336
synedra_angustissima,-0.8578383,-0.8125621,1.4167628,-0.52647024
synura,-2.5228179,-0.62360173,0.8644733,-0.6343757
tetraedron,-1.1844018,-1.3672494,-0.79391706,2.4980884
tintinnid,0.35683113,-1.6405102,0.3483815,-0.5790926
trichocerca,-0.4588047,-0.40409446,-2.188049,0.7979226
uroglena,-1.4812962,-1.1317672,-2.4569724,-0.43865934
vorticella_epistylis_like,0.28226662,-2.3829587,1.0481664,0.84134895
