,h0,h1,h2,h3,h4
aphanizomenon,0.556074,-1.5738555,-1.3229973,0.89270043,-1.1473508
askenasia,-0.7114945,-0.94240767,-0.9726753,-0.50602335,-0.66724765
asplanchna,-2.023131,0.48414567,-0.77421314,2.413676,-0.67454165
asterionella,-0.6612789,0.90490943,0.31665063,0.4554541,-3.4205294
aulacoseira,2.8054206,-0.6479499,-0.2594449,0.18995668,-0.984198
bosmina,0.97406435,0.3177122,-0.35810325,-0.16641635,0.806583
centric_diatom,1.4761857,0.88432056,0.23482925,0.34814826,-1.3548013
ceratium,1.6242946,-2.586754,-2.5025914,0.076982096,-2.170775
chaoborus,-0.38240582,-1.5451086,-0.7296486,0.15656121,-0.29939252
chlorophyte,-2.2164745,1.7785347,-5.554983,-2.253023,-7.0394607
chlorophyte_colonial_dividing,-5.273435,-0.2699663,-3.1699996,-3.3878465,-2.8300583
chlorophyte_elongated,-2.69731,0.35609052,-0.28464213,-0.9285541,0.1321179
chlorophyte_frame,-2.833726,-0.32635775,-3.335018,-2.4844553,-1.6468987
chlorophyte_square,-2.3530004,0.5187485,-1.9860212,-3.9930687,-3.4524825
chroococcales,-1.5002626,-0.5038081,-0.038152717,-3.5421803,-1.3549328
chydorus,0.19585818,-1.5395323,0.03489189,-0.3541296,0.80201256
ciliate,-0.013010202,1.0338084,-0.71654576,-0.2161312,0.058428966
ciliate_big,2.8595138,-3.41458,-2.3134048,0.3477569,-2.693209
ciliate_blue,0.9086843,-0.5994499,-0.45558998,-2.1433938,-0.12500136
ciliate_green,-2.3143744,-3.3780682,-2.3057425,0.27563837,0.3397983
ciliate_round,0.63434845,0.40521443,-0.06420996,0.17372513,-1.3208327
closterium,1.3152757,-0.31498936,2.4414823,-1.2648228,-2.2846878
coelastrum_reticulatum,-1.0381018,-1.3349713,2.5283191,-0.91832244,-1.5697043
coelosphaerium,-1.0077963,-1.4901936,-0.79360837,-2.5184314,-0.8089725
coleps,0.11768747,-0.8190743,1.1664128,-1.4564941,-1.1031108
collotheca,-2.14723,-2.6882534,1.1627072,-2.1968875,-0.3958182
conochilus,-0.28189564,-1.0297146,-2.228012,2.7811224,0.111419365
cosmarium,-1.4419855,-0.89669025,-0.60120535,-1.8266895,-1.0441748
cryptophyte,-1.1469316,0.9418766,-2.5770104,-1.0267166,-0.51207304
cyanobacteria_colonial_blue,-3.6378791,-0.11613853,1.4724526,-1.3439484,-2.3085501
cyanobacteria_colonial_clathrate,-3.3455744,-2.1407661,1.3535881,0.17138742,-2.9774306
cyanobacteria_colonial_probably,-2.785385,-2.2085984,1.5835851,-2.9897134,-0.6170398
cyanobacteria_filamentous,0.88552994,-1.4856466,0.94379234,-0.90256834,-0.7565945
cyclops,-1.7401779,-0.15309131,-1.8508347,-0.7572087,-0.21569586
daphnia,-1.0204426,-3.285855,-1.6895771,1.838501,0.6390064
daphnia_cucullata,0.9798766,-2.0098872,0.65886927,-1.3315017,1.0060536
diaphanosoma,-0.74316037,-1.1581657,0.8849229,-1.3428082,-0.36602885
didinium,0.3573494,0.17339954,-0.40067455,-0.81087446,-1.21686
dinobryon,-6.7910256,-6.676536,-3.4399502,1.0713023,-2.4348965
dinoflagellate_diamond,3.9053469,3.7102757,1.8449162,1.6803119,-1.5969107
dolichospermum,0.5837335,-1.3105412,0.19591323,-1.7797112,-0.37799275
eudiaptomus,-0.60660094,-0.50718015,-0.2601185,0.54796225,0.5535231
fragilaria,-0.2215841,-1.7952921,2.5466423,0.29528588,-2.872187
gonium,-2.7761576,-1.6993266,-3.1952932,-1.5967855,-1.0997986
gymnodinium,2.988781,2.3246624,-2.9530668,-3.1568875,-2.8554487
kellicottia,-0.36752087,1.850111,-0.86960983,0.43789533,-1.5501523
keratella_cochlearis,0.23497818,-1.115405,0.0839995,-0.40375814,-2.1778855
keratella_quadrata,-0.23318866,-0.24375366,-1.6745502,1.6416519,-1.0876502
leptodora,0.8477326,-1.900749,-0.66285956,-0.989116,-0.687942
limnoraphis,1.3302411,-2.3291638,-0.7354133,-0.20315303,-0.18643679
mallomonas_akrokomos,-1.2486075,1.1333123,-1.5812505,-0.17482637,0.5949303
mallomonas_big,0.3318842,-1.3889686,0.17071441,-1.4525071,-0.973528
nauplius,-2.8589826,1.7469534,-3.9544048,0.8403913,-0.585962
oocystaceae,0.24281485,-1.0626245,-3.2892928,-2.64379,-1.6759428
pandorina,-1.1953192,0.16258718,2.280717,-0.019165453,-3.348718
paradileptus,1.5992844,-3.1480997,-0.46661028,-0.23592623,-2.4938505
pediastrum,-1.152622,-2.6424768,1.9574798,-2.5181324,-0.2455235
pennate_diatom,0.6033436,0.37085068,-1.495512,0.24463531,-1.4994947
peridinium,1.7130675,0.90439594,-1.2330716,-2.9468415,-1.7307795
phacotus,-1.1244534,-0.8894597,-2.5643868,-1.0390018,-2.2357268
plankton_x,0.003749311,-0.54547733,-2.3102841,-1.258498,-0.44723615
plankton_y,0.69419146,1.1633165,-0.15435496,-0.76790404,-1.8480797
plankton_z,-1.3506093,-0.7363695,-2.484944,-1.3043511,-2.0220485
planktosphaeria,-0.73073536,-0.05764203,-1.411087,0.103816986,-0.75863504
polyarthra,-2.963616,1.7423227,-0.9573631,0.2566797,0.104763746
protist_like_ciliate,1.5154401,1.3485931,-2.1586075,-3.281224,-2.1447256
rhodomonas,-1.0505714,3.0232816,-2.5727308,0.453015,-0.26913947
rotifer,-3.1124182,0.24738085,-2.0036068,1.1236758,-0.38765937
rotifer_long,-0.4989835,-0.5480635,-1.3992583,-0.86767375,0.6759187
rotifer_z,-0.22653641,-1.3931507,-0.6351062,-1.6067607,-0.3412128
scenedesmus,1.6969309,-3.0043077,-1.0908672,-3.50809,-0.7413615
snowella,0.7398809,-4.0329947,-0.89083356,-3.7706022,2.2863698
staurastrum,-1.4784616,-0.10777199,2.0799704,-0.17266816,-2.4855883
strombidium,-0.12938857,0.7982928,-1.9257715,-0.35029396,-1.5197403
synchaeta,0.118978806,-0.6731892,-0.39320064,1.5559813,0.039805528
synedra,-0.91893405,-1.2218757,-1.0339055,2.046714,-0.76822233
synedra_angustissima,1.9079965,-1.278949,0.53919274,-0.57385933,-0.1777265
synura,-0.32511464,-1.4734012,2.2036479,-1.559497,-0.26623017
tetraedron,-0.5223566,-0.7322701,-1.0896634,-2.3079193,-1.6685457
tintinnid,0.7222695,0.7681488,0.084857054,-0.2066462,-1.3958689
trichocerca,-0.8411653,-0.93456036,-2.5072978,-0.6215877,-0.3655186
uroglena,-2.8126535,-3.5618334,-1.6406105,1.4946775,-0.84040725
vorticella_epistylis_like,1.6406429,0.30393457,0.026738675,-1.3810525,-2.2740414
