,h0,h1,h2
aphanizomenon,-1.2626865,-0.36045748,-0.0988719
askenasia,-0.7275098,-1.3070194,-0.97666216
asplanchna,-0.068695046,-1.6189271,1.3506404
asterionella,-2.8122313,0.10957304,0.2789503
aulacoseira,-1.3427122,1.9729571,0.58249635
bosmina,0.2708958,0.47594577,0.65989655
centric_diatom,-1.6802537,1.4613875,1.4107294
ceratium,-2.2356794,-0.68219286,-0.85926354
chaoborus,-0.2906497,-0.55436194,-1.0459608
chlorophyte,-5.487262,-4.434966,-1.338371
chlorophyte_colonial_dividing,-2.1119108,-4.4856534,-3.5659811
chlorophyte_elongated,0.5916685,-2.1123922,-1.4211379
chlorophyte_frame,-1.1931492,-4.076695,-2.4207876
chlorophyte_square,-3.0236537,-3.3797672,-2.7525237
chroococcales,-2.3036647,-1.8974578,-2.8899946
chydorus,0.7158081,0.20568265,-1.1716582
ciliate,-0.1569015,-0.76456183,1.1670159
ciliate_big,-3.4248304,1.4457042,0.37381095
ciliate_blue,-0.8056605,-0.3126637,-0.8949107
ciliate_green,0.23557517,-2.701857,-2.103061
ciliate_round,-1.6932533,0.68852633,0.8747721
closterium,-1.5910709,2.552418,-1.1928072
coelastrum_reticulatum,-0.6726531,1.5398022,-2.6997805
coelosphaerium,-1.4386015,-1.7282867,-3.0496886
coleps,-1.0094522,0.85766757,-1.5990655
collotheca,-0.28044835,-0.8523003,-3.440304
conochilus,-0.14799005,-1.2996058,1.4481704
cosmarium,-0.7175022,-1.6747792,-2.7308202
cryptophyte,-0.7421942,-3.4431534,0.2237973
cyanobacteria_colonial_blue,-1.7511532,-1.1587363,-2.5457406
cyanobacteria_colonial_clathrate,-1.8643024,0.013671911,-3.1064043
cyanobacteria_colonial_probably,-0.66848016,-1.2230655,-4.003792
cyanobacteria_filamentous,-0.5451801,1.174296,-1.5822974
cyclops,-0.19461435,-2.6515439,-1.018374
daphnia,0.46564367,-0.70911634,-1.1586874
daphnia_cucullata,1.0163584,1.1907145,-2.183036
diaphanosoma,-0.31241328,-0.061600596,-1.8941951
didinium,-1.5081004,-0.26639974,-0.17297257
dinobryon,-0.6900012,-3.7057812,-3.7292821
dinoflagellate_diamond,-1.2936002,3.6338181,4.417945
dolichospermum,-0.50130266,0.08801434,-1.8837339
eudiaptomus,0.34886983,-0.30137044,-0.10824133
fragilaria,-2.1862254,2.2098882,-1.6244867
gonium,-0.5488205,-3.829595,-2.681746
gymnodinium,-3.0263731,-0.8317349,0.41107067
kellicottia,-1.4904263,-1.301683,1.9030578
keratella_cochlearis,-1.8977048,-0.037779987,-0.9477483
keratella_quadrata,-1.2837943,-1.3249862,1.419324
leptodora,-1.2442384,0.11329236,-1.472472
limnoraphis,-0.41756245,0.32659712,-1.0933509
mallomonas_akrokomos,0.46927682,-2.0045567,0.61843604
mallomonas_big,-1.1893661,0.5694653,-2.104869
nauplius,-0.015466702,-4.990834,1.428443
oocystaceae,-1.8466532,-2.8497908,-2.4100432
pandorina,-2.521523,0.84358305,-0.6493033
paradileptus,-1.9464492,0.5385228,-1.6427428
pediastrum,0.28137904,0.42939535,-4.0280285
pennate_diatom,-1.9837872,-0.9455224,1.333782
peridinium,-2.3263247,-0.51868564,-0.46972644
phacotus,-2.175462,-2.5710266,-1.6234436
plankton_x,-0.9103369,-1.3571981,-1.2660995
plankton_y,-1.8383472,0.07134041,0.5649003
plankton_z,-2.1855755,-2.2684243,-1.8116001
planktosphaeria,-0.7493291,-1.5038465,-0.159083
polyarthra,0.6437989,-2.7185392,0.2529213
protist_like_ciliate,-2.9304757,-1.3799375,-0.1748107
rhodomonas,-0.6598759,-3.171329,3.113142
rotifer,0.37676373,-3.6308622,0.13891922
rotifer_long,0.61202985,-1.8593282,-1.1033475
rotifer_z,-0.21479176,-1.0321299,-2.171189
scenedesmus,-1.2604411,-0.32357797,-2.8522322
snowella,2.3162916,-1.1624124,-4.5532913
staurastrum,-1.5908182,0.5230633,-1.005716
strombidium,-1.891231,-2.1162975,1.0969203
synchaeta,-0.075665854,0.343911,0.7568974
synedra,-0.61143905,-0.8830071,0.46077698
synedra_angustissima,-0.46502036,1.6126975,-0.6214873
synura,0.15775968,1.5790142,-2.6505196
tetraedron,-2.3711612,-1.9783759,-1.7901082
tintinnid,-1.5524986,0.5978303,0.6981466
trichocerca,-0.689572,-2.2064056,-1.0294927
uroglena,-0.51557934,-1.4941773,-1.9154125
vorticella_epistylis_like,-2.4927864,0.53020644,0.16633764
