,h0,h1,h2,h3,h4,h5
aphanizomenon,-1.1987288,-1.0581677,0.049117558,-0.094796345,-1.588468,-0.43664822
askenasia,-0.42900252,-1.2821316,-0.7437997,-0.24987711,0.08492676,0.7904309
asplanchna,-1.772133,0.013650764,-1.4090602,0.7672043,-0.06628072,0.2256826
asterionella,1.5397731,-0.5069846,-0.6453197,-2.1983688,-1.2809662,-2.2171872
aulacoseira,-0.91713476,-1.1895225,2.273931,1.7812887,-1.7987047,-1.5745938
bosmina,-0.10336777,-0.07161276,0.11198865,1.5162984,-0.83060884,0.4526425
centric_diatom,0.5353705,-1.3889076,0.061425537,1.3531481,1.9616451,-0.04291076
ceratium,-1.5407805,-2.1462908,-0.158162,-0.7774383,0.811666,0.37124318
chaoborus,-0.948671,-0.9872231,0.47381663,-0.89184386,-2.0317483,0.7390478
chlorophyte,0.71606725,-1.1426036,-0.7420807,-0.07594667,-1.202177,0.66368186
chlorophyte_colonial_dividing,0.5927538,-1.5522151,-1.019423,-1.0855029,-1.3222835,0.7550182
chlorophyte_elongated,-0.011514531,0.25213218,0.14813529,-0.5189623,-0.29130876,1.2161
chlorophyte_frame,1.0312417,-0.38099146,-0.4712468,-1.7988108,-1.4337388,0.68161535
chlorophyte_square,1.0319602,-1.4603776,-0.8366165,-0.92870855,-1.3877175,0.6447349
chroococcales,1.0028003,-2.770099,-1.7533557,-1.8238751,-1.9673073,0.8570998
chydorus,1.1493403,-3.3266914,0.95658296,1.9007165,-5.043349,1.451975
ciliate,0.17026946,0.55965054,-0.11918588,0.32156885,0.22611468,0.45644853
ciliate_big,-0.9451678,-2.3599792,0.4291393,1.6950561,-3.3172388,-0.6054212
ciliate_blue,0.53428143,-0.27154908,0.06511497,-0.19338042,-0.97150445,0.1460183
ciliate_green,-1.6565495,-2.5027218,-0.558261,-0.5373695,0.3465682,1.3937242
ciliate_round,1.003498,-0.7204,0.50976056,0.8586839,-0.4430132,0.108466886
closterium,0.77404135,-1.1580609,0.25199026,-0.2917773,-0.43121672,-0.43781343
coelastrum_reticulatum,10.593715,-3.0626051,4.612482,-0.00885866,-7.113427,-4.254189
coelosphaerium,1.1270541,-3.7923193,-1.0380902,-2.0261261,-4.888372,0.9218544
coleps,1.7202625,-2.3752363,-0.09724931,0.24105941,-2.2230418,0.44857806
collotheca,0.4321706,-2.4759896,0.16594535,-1.3188754,-1.6960369,1.026605
conochilus,-2.7007897,-0.6352244,-0.4347103,1.5793688,0.9936467,1.4088831
