date,h0,h1,h2,h3,h4,h5,h6
2023-01-04,0.54196066,0.6412117,0.4741818,0.4407856,0.49933782,0.4525802,0.42543542
2019-09-20,0.54162353,0.64047796,0.4732121,0.4405335,0.49856457,0.45245135,0.42514977
2020-03-06,0.54277176,0.6418168,0.47516024,0.44130343,0.49979553,0.45341298,0.42564213
2023-07-05,0.54062974,0.63947195,0.472669,0.439465,0.49726298,0.45130858,0.42394945
2024-07-01,0.54250324,0.64160025,0.47448155,0.4413061,0.4995604,0.4531181,0.42587382
2024-03-14,0.54265517,0.64176095,0.47484866,0.44142094,0.4995874,0.45322052,0.42585728
2023-06-29,0.54231125,0.6411574,0.4741028,0.44096398,0.49894947,0.452769,0.42545545
2021-03-18,0.54283744,0.64188385,0.47486565,0.44155997,0.49967894,0.45335427,0.42619073
2024-10-13,0.5429808,0.6418756,0.47484258,0.44151893,0.49976265,0.45338896,0.42609313
2024-12-02,0.54356736,0.6426491,0.47536358,0.44214955,0.50034976,0.45385405,0.4266369
2024-09-06,0.54247487,0.6412683,0.4741757,0.4411858,0.49932453,0.45276284,0.42568463
2024-03-30,0.5434114,0.6425381,0.47526678,0.44209102,0.5003062,0.45380297,0.42658916
2024-01-01,0.5436399,0.6427214,0.47537425,0.44225398,0.5004965,0.45401007,0.42678562
2023-01-01,0.54196596,0.6411802,0.47416475,0.4407647,0.49926984,0.45256826,0.42538163
2024-01-25,0.5434877,0.642579,0.47534105,0.44210985,0.50037515,0.45391387,0.42661732
2024-09-29,0.5426651,0.6414541,0.47456127,0.44122112,0.49941793,0.4528778,0.42586768
2020-09-07,0.5427296,0.6414341,0.47441635,0.44132283,0.49937332,0.4529055,0.42564327
2021-02-13,0.542971,0.6420566,0.4752648,0.4415839,0.49995553,0.45358318,0.42594272
2021-04-15,0.543213,0.6423077,0.47509813,0.4419172,0.5000785,0.45369723,0.42648175
2020-07-10,0.54228,0.6414225,0.4742944,0.44103304,0.4994369,0.45295602,0.425447
2024-05-13,0.54246306,0.6413075,0.47418126,0.44100603,0.49933806,0.45280972,0.42545682
2020-08-27,0.54313415,0.6420548,0.47482932,0.4417256,0.4999074,0.45344573,0.4262175
2022-02-13,0.54336274,0.64243686,0.47521064,0.4419912,0.5002401,0.45379514,0.42649528
2022-01-30,0.54358435,0.6426799,0.4753329,0.4422244,0.5004565,0.45397872,0.4267567
2021-05-03,0.5434636,0.64253926,0.4752159,0.44205987,0.5002962,0.45383263,0.426586
2023-10-09,0.5406849,0.63985157,0.47261232,0.4400995,0.49836943,0.45139086,0.4245065
2022-05-25,0.5420884,0.64092445,0.47393534,0.4406459,0.4988785,0.45243177,0.42512926
2022-07-17,0.54200715,0.64079875,0.4740281,0.44088632,0.498743,0.4527868,0.42545325
2022-02-04,0.54352057,0.6426008,0.47528407,0.4421527,0.50038034,0.45391545,0.42668194
2019-05-19,0.543379,0.6424163,0.47514957,0.4419697,0.5002576,0.45380268,0.42648965
2021-05-07,0.54349834,0.6425475,0.47523153,0.44209203,0.5003229,0.45383874,0.4265928
2019-08-23,0.54155713,0.64038527,0.4736312,0.44027573,0.49865046,0.452064,0.42443916
2021-10-11,0.5417403,0.6405911,0.4740445,0.4406165,0.49925366,0.45324478,0.42574283
2023-01-25,0.54204124,0.64135695,0.4743031,0.4408825,0.49953505,0.45260617,0.42549834
2021-12-20,0.5436607,0.6427488,0.4753695,0.44228634,0.5005291,0.45402855,0.42682767
2020-08-17,0.54317605,0.6421676,0.4749591,0.4418534,0.5000726,0.45361373,0.4263918
2020-04-24,0.54345024,0.64254427,0.47525004,0.44205317,0.5003332,0.4538464,0.42661312
2020-06-19,0.54258364,0.6417717,0.47479835,0.4411138,0.49950275,0.45311946,0.42589065
2021-01-25,0.54334337,0.64243424,0.47532177,0.4419759,0.5002436,0.45381352,0.4264163
2023-03-22,0.5424051,0.64128625,0.4744611,0.44100887,0.49909085,0.45297715,0.4256658
2021-05-12,0.54354525,0.64255273,0.4752371,0.44211134,0.50035113,0.4538624,0.42658266
2019-05-20,0.54336727,0.6423712,0.47509533,0.44195426,0.5002297,0.45375443,0.42645314
2023-12-25,0.54361373,0.6426893,0.475392,0.44223854,0.50051415,0.4539759,0.4267541
2023-11-26,0.5435327,0.64258754,0.47522205,0.4421365,0.5002963,0.45379013,0.42658865
2022-01-10,0.5436686,0.64278543,0.47540247,0.44231814,0.50055873,0.45406237,0.4268557
2019-08-20,0.54248196,0.6413456,0.47433442,0.44116426,0.49945712,0.45286173,0.42548385
2024-11-12,0.5433038,0.6423439,0.47520852,0.44185898,0.5000758,0.45359293,0.4263445
2021-02-17,0.54322636,0.6423301,0.47532478,0.44186503,0.500137,0.4537576,0.42631716
2020-11-21,0.5436268,0.6426133,0.4753052,0.44212344,0.5003807,0.4538489,0.42662024
2022-02-20,0.54330146,0.6423833,0.47527954,0.4418966,0.500244,0.45380047,0.42635423
2021-04-17,0.54326767,0.6424373,0.47518823,0.44198164,0.50017554,0.45376915,0.42657486
2021-08-19,0.5434925,0.6427219,0.47524822,0.44207972,0.5003537,0.4538232,0.42655602
2022-03-27,0.54286015,0.64197165,0.47502968,0.4415236,0.4996093,0.4534767,0.42622545
2022-08-02,0.5432188,0.64221734,0.47499913,0.44184074,0.5000675,0.45363915,0.42640775
2023-10-14,0.5414489,0.6405777,0.47331575,0.44071797,0.49904352,0.4521136,0.425171
2024-02-27,0.5427104,0.64162207,0.47492757,0.44117764,0.49962366,0.45322505,0.42585787
2020-06-25,0.542178,0.64137757,0.4744317,0.4409677,0.49917358,0.45294142,0.4257454
2024-01-07,0.54364324,0.6427336,0.4753826,0.44227216,0.5005059,0.45401943,0.4268003
2022-05-20,0.5432086,0.6421951,0.4749627,0.4416866,0.5000946,0.45353898,0.42619738
2019-11-12,0.5435212,0.64260876,0.47529635,0.44220027,0.5004343,0.45385453,0.42668638
2023-05-14,0.5435721,0.6425002,0.47534624,0.44207302,0.5004209,0.4540115,0.4266456
2021-03-25,0.5408467,0.63959265,0.47313,0.43958107,0.49745348,0.45153522,0.42440325
2023-10-24,0.54268104,0.6416724,0.4744062,0.44144297,0.49963,0.45302677,0.42592084
2023-10-10,0.5409277,0.6400929,0.47283503,0.44036204,0.49864167,0.4516371,0.42476335
2023-02-25,0.5427395,0.6418547,0.47507766,0.44149354,0.4999665,0.45330185,0.42607936
2024-02-23,0.5427594,0.6409371,0.47460017,0.44007462,0.49887362,0.45215693,0.42479548
2023-09-08,0.5397131,0.63820505,0.47126228,0.43844688,0.49646333,0.4498653,0.42306554
2019-09-03,0.54159045,0.6397209,0.4738093,0.44078344,0.4985322,0.4512848,0.4245533
2023-06-20,0.54294336,0.6419939,0.47476143,0.44156694,0.49964085,0.45327803,0.42608127
2024-08-29,0.54243404,0.6413034,0.47427243,0.44119865,0.4992671,0.4528504,0.4256837
2019-07-04,0.54282093,0.64186144,0.4746306,0.4415426,0.4998122,0.45330793,0.42608353
2020-03-03,0.54269254,0.6417574,0.47516647,0.44121498,0.49975717,0.45338646,0.42553046
2020-09-04,0.54195696,0.64070654,0.47380632,0.44066888,0.49868384,0.45230386,0.42504197
2021-09-18,0.54304004,0.64167666,0.47453073,0.4415003,0.49967882,0.45325148,0.426061
2020-10-20,0.5432815,0.642329,0.47493938,0.44185898,0.5000444,0.45353985,0.42628342
2019-11-03,0.5435057,0.6426144,0.4752746,0.44218338,0.5004801,0.45380253,0.42666644
2023-07-12,0.5429122,0.6417188,0.47464833,0.44153163,0.4996775,0.45328605,0.42609313
