date,h0,h1,h2
2024-07-06,0.59742546,0.46863124,0.51829696
2022-01-31,0.599353,0.47006923,0.52027154
2022-05-25,0.59797835,0.4687262,0.5189331
2020-10-05,0.59885275,0.46973413,0.51980966
2023-02-21,0.59878314,0.4691868,0.5195238
2020-06-08,0.5991925,0.46992537,0.5201834
2021-07-18,0.5977924,0.4686903,0.5184656
2021-03-30,0.5964063,0.46758413,0.51721895
2021-01-28,0.59904367,0.4698461,0.51985824
2024-01-21,0.59933025,0.47001028,0.5202058
2021-09-25,0.59853935,0.4690771,0.5193228
2023-01-22,0.5997238,0.46996826,0.5206211
2024-04-13,0.5991067,0.46983716,0.52010363
2023-06-17,0.5986015,0.46936134,0.5195125
2021-07-06,0.59900004,0.46969604,0.51984245
2019-07-05,0.5984491,0.46930662,0.51947457
2019-10-15,0.5986178,0.46946153,0.5194219
2022-02-06,0.59930235,0.47002238,0.520222
2020-01-02,0.59943485,0.47012943,0.5203451
2021-12-31,0.5994122,0.47009465,0.52031356
2020-11-06,0.59931856,0.47003686,0.5202
2023-11-06,0.59850556,0.46936837,0.5194389
2019-06-12,0.5984905,0.46932572,0.51947623
2024-03-04,0.5985215,0.46892545,0.5192293
2021-04-22,0.5992205,0.46992338,0.520095
2022-12-08,0.5996984,0.47000152,0.52052337
2024-11-18,0.5991151,0.46970236,0.51995844
2024-09-29,0.5980735,0.4692052,0.5189481
2024-10-25,0.5983802,0.46861953,0.5190794
2020-02-08,0.5991465,0.46997425,0.5202222
2021-06-18,0.5969412,0.4678624,0.5179926
2020-02-03,0.5993013,0.47004068,0.5202534
2022-12-03,0.59971106,0.47006515,0.5205335
2022-03-20,0.5991962,0.46973494,0.51980114
2019-05-30,0.5980634,0.4692904,0.5190157
2023-10-13,0.5965556,0.4681065,0.51767457
2024-02-09,0.59880465,0.46947724,0.5195859
2021-10-25,0.5979481,0.46856946,0.51841426
2022-03-11,0.5990816,0.46973577,0.51983744
2024-09-25,0.5965168,0.468265,0.5173394
2020-02-26,0.5988523,0.46976012,0.5197558
2020-09-05,0.5978143,0.46886238,0.5188311
