,h0,h1,h2,h3,h4,h5,h6
scenedesmus,-0.16684629,0.19783972,0.18187098,0.5837981,0.061258227,0.18702419,-0.22185592
snowella,0.6652952,0.265895,0.14281559,-0.3753091,0.62524456,0.28402686,0.65262824
staurastrum,-0.31668994,0.5486931,1.0577416,0.75815415,0.19623095,0.4502174,-0.19425553
strombidium,0.6331692,0.10746486,0.028736014,-0.063285515,0.55727583,0.13243274,0.57095677
synchaeta,0.42532873,1.0073191,0.9650084,0.20054963,0.3572231,0.4716044,0.41873735
synedra,-0.041899793,-0.05687507,0.22840288,0.45759228,0.35720783,0.1695157,0.022277316
synedra_angustissima,1.1665298,1.1086804,0.87938046,-0.59578234,1.265695,1.0982093,1.2781914
synura,0.24910314,0.44716635,0.47619867,0.027910924,0.34074846,0.34459773,0.35354915
tetraedron,-0.25062323,-0.007106917,0.42125225,0.44983384,0.09502572,0.53699875,-0.1375803
tintinnid,0.28092045,0.2673602,0.69963735,0.17123541,0.13896546,0.43566775,0.374969
trichocerca,0.057459384,0.098278455,0.290557,0.25666487,0.27936998,0.228053,0.0348075
uroglena,0.6332417,0.460482,0.41956866,-0.1771925,0.27083254,0.3633039,0.52275944
vorticella_epistylis_like,0.058427148,-0.034862388,-0.16391481,0.13201529,0.15260957,-0.113313936,0.25656015
