,h0,h1,h2,h3
aphanizomenon,-0.24925944,-1.507471,0.28418335,1.0304621
askenasia,0.93889874,-0.6603967,-0.75348467,0.016934274
asplanchna,0.76821977,0.13988441,0.101144224,0.83532244
asterionella,-1.6759171,-2.0412147,-2.1135495,0.94132864
aulacoseira,-3.0710144,-1.2263927,2.48638,0.4240285
bosmina,0.1789003,0.76256764,0.8901627,0.1880443
centric_diatom,-1.5504419,0.6335388,-0.7868774,-1.6375599
ceratium,0.3748096,-2.2001925,-0.45873776,-0.81974405
chaoborus,0.41739833,-1.345689,-0.39268497,1.0564355
chlorophyte,0.5349221,0.08316609,-1.4024649,1.4392035
chlorophyte_colonial_dividing,1.3390745,-1.1055677,-1.692962,1.093636
chlorophyte_elongated,0.7729148,-0.123182476,-0.4711398,0.5625581
chlorophyte_frame,1.5261247,-1.1423461,-1.6468172,1.1799893
chlorophyte_square,1.2385812,-0.77235806,-1.6788934,1.1541026
chroococcales,2.014499,-1.7284195,-2.706815,1.5928695
chydorus,-0.96052694,1.2006778,-1.6443738,2.7491312
ciliate,0.3280352,0.6623921,0.12477519,0.06031298
ciliate_big,-0.9020453,-1.7734048,1.6824385,1.2303501
ciliate_blue,0.3208831,-0.2935923,-0.27025265,0.40375206
ciliate_green,1.3615427,-1.882244,-0.575557,0.0044263233
ciliate_round,-1.1787378,0.8027375,-0.9782471,0.5914633
closterium,-0.74173295,-0.6533609,-0.7622605,-0.118511744
coelastrum_reticulatum,0.29378146,-2.1555283,-1.3590705,0.99015856
coelosphaerium,1.6776055,-2.401702,-3.1134422,3.1201954
coleps,-0.34894267,-0.1776893,-1.556431,1.7217017
collotheca,0.9207427,-1.7288271,-1.2679074,1.5220095
conochilus,1.5855101,-0.6346876,1.1337914,-0.97704023
cosmarium,0.5641196,-0.5055399,-1.7290109,0.72781414
cryptophyte,0.48752216,0.42149338,0.028276289,1.090579
cyanobacteria_colonial_blue,0.65107816,0.02924238,-2.1017363,2.7171094
cyanobacteria_colonial_clathrate,-0.3380498,-2.3578937,-1.7912836,2.8603609
cyanobacteria_colonial_probably,1.3242296,-1.8406829,-1.9927773,2.4339879
cyanobacteria_filamentous,-2.1625402,-1.469857,-1.7419369,2.0720177
cyclops,0.65186965,-0.23047842,-0.12554264,0.6283561
daphnia,0.24476337,-0.90036714,0.7609656,1.3501358
daphnia_cucullata,0.023096694,0.32832515,-1.0236132,3.5853477
diaphanosoma,2.3213873,-0.1795041,-2.9769948,2.360086
didinium,0.25876212,-0.1763037,-1.2449025,-0.76003623
dinobryon,1.4637883,-4.1280127,-2.2286005,0.5932125
dinoflagellate_diamond,-2.058865,3.609099,0.7202273,0.2043562
dolichospermum,-0.66460395,-2.1604996,-0.3745924,0.77662426
eudiaptomus,-0.08087915,-0.13266654,0.01961426,0.10778751
fragilaria,-1.6686217,-3.8151975,-1.1129047,0.8166137
gonium,1.6526359,-2.610457,-2.336975,1.3605168
gymnodinium,0.24170278,0.2517264,-0.47030753,0.18414687
kellicottia,0.16342458,0.22889805,0.353506,-0.17518502
keratella_cochlearis,0.1466811,-0.85745424,-0.6512271,-0.18037902
keratella_quadrata,0.76338464,-1.4103942,0.4678956,-0.60933983
leptodora,0.14125006,-0.85821533,-0.24741495,2.4780676
limnoraphis,-0.30351672,0.5270889,-1.4259801,3.581547
mallomonas_akrokomos,0.8146696,0.8544884,-0.6495217,-1.1020523
mallomonas_big,-0.74340487,-0.42001575,-1.9042729,0.75975806
nauplius,0.6329832,0.19134676,0.17270187,0.5013255
oocystaceae,0.9064194,0.83722675,-1.848436,3.2240646
pandorina,0.090241686,-0.9384496,-0.05484826,-0.25028735
paradileptus,-0.4009588,-1.6131548,-0.7298557,0.6911775
pediastrum,0.12666868,-0.6118952,-1.3169785,1.3415493
pennate_diatom,0.16478127,-1.4454064,-1.1352125,0.14002043
peridinium,0.94253933,-0.53699696,-1.3857453,-1.419136
phacotus,0.49980795,-1.747591,-0.7803378,0.6744231
plankton_x,1.3132253,-0.9056043,-0.8052044,0.16666828
plankton_y,-0.03207211,0.25674188,-0.030703107,-0.85071427
plankton_z,0.8669924,-1.0563457,-2.8891776,1.3402333
planktosphaeria,-1.0329773,-1.0654379,0.34369886,0.74174285
polyarthra,1.0083088,0.9146397,0.35742626,0.038864437
protist_like_ciliate,0.6620288,-0.19719806,-1.1474273,0.4051578
rhodomonas,0.3110191,0.9909494,0.73529637,0.5047082
rotifer,0.9769629,-0.33043337,0.038889304,0.29592198
rotifer_long,1.7581904,-0.87461704,0.08932745,0.12728968
rotifer_z,0.9442407,-1.3348088,-2.2301643,0.82494515
scenedesmus,0.77422076,-1.0299894,-1.715798,1.1362135
snowella,2.0715013,1.829785,-6.0646553,1.6325873
staurastrum,0.21269986,-0.5065869,-0.8264546,0.1466393
strombidium,0.7335217,0.03457987,-0.3607943,-0.4205945
synchaeta,-0.8610855,0.19320002,-0.39953047,0.35185048
synedra,0.6116506,-1.4123505,-0.17985417,0.4006498
synedra_angustissima,-2.5334249,-0.20964967,-0.2361593,1.5692886
synura,-0.44844276,-1.9488528,-0.7954782,1.2118511
tetraedron,0.7586009,-0.0662008,-1.5873632,1.3468735
tintinnid,-0.45051965,0.2320201,-0.009657987,-0.066838555
trichocerca,0.9732453,-0.43951592,-0.5076359,0.23965618
uroglena,2.2532666,-3.628359,-1.3323604,0.19375937
vorticella_epistylis_like,-0.584529,-0.088979654,-0.7591074,-0.3952401
