,h0,h1,h2,h3
aphanizomenon,-2.2575994,-1.1332568,0.8355659,-0.81483954
askenasia,-0.20423266,-1.0621943,-1.6515595,0.41934252
asplanchna,-1.9750923,0.3468571,0.07492575,1.5135876
asterionella,-1.6566604,0.2138713,-0.40173876,-0.90076447
aulacoseira,0.53099215,0.105658144,1.4434639,-2.0566182
bosmina,0.44740915,0.5690196,0.6240944,-0.36403716
centric_diatom,0.15498355,0.94857323,0.8628646,-1.4160659
ceratium,-3.5888643,-1.5666283,-0.21083057,-0.90162444
chaoborus,-1.1027342,-1.3169707,-0.31237674,0.2326271
chlorophyte,-2.6909533,1.8459035,-5.8613324,-1.2955121
chlorophyte_colonial_dividing,-3.908701,-1.4901079,-5.0595627,-0.8210531
chlorophyte_elongated,-2.7025115,-0.31091693,-1.7795652,1.1531607
chlorophyte_frame,-2.0820677,-0.89736015,-3.6623223,-0.7556797
chlorophyte_square,-4.094151,-0.8009846,-4.452768,-2.59356
chroococcales,-3.4432697,-1.5286995,-2.8220007,-2.3942752
chydorus,0.7731222,-1.4244894,0.28527626,-0.497634
ciliate,-0.99965936,1.0267619,-0.16760932,0.14946474
ciliate_big,-3.4891822,-2.8736947,2.2171512,-2.0613327
ciliate_blue,0.42309177,-0.19965513,-1.434245,-1.5400952
ciliate_green,-0.7277022,-3.2653935,-1.95765,2.2612588
ciliate_round,-1.1805974,0.36733216,0.70720667,-1.0934906
closterium,0.7577265,-0.6370149,0.82472694,-2.7349346
coelastrum_reticulatum,-0.11959523,-1.8010129,0.053301807,-1.5125879
coelosphaerium,-0.7531326,-1.893475,-2.7574818,-2.3290637
coleps,-0.2033396,-1.1237035,-0.1394021,-2.192222
collotheca,-1.151371,-2.9010637,-1.4775165,-1.674774
conochilus,-1.6505073,-0.3113703,0.78136367,1.7425909
cosmarium,-1.7221437,-1.4216048,-2.390054,-0.58931094
cryptophyte,-5.694491,1.2523061,-2.2387373,0.0072623356
cyanobacteria_colonial_blue,-3.2519565,-1.1958356,-2.0881965,-0.76063627
cyanobacteria_colonial_clathrate,-2.4303157,-2.7611244,-0.9713156,-0.083395265
cyanobacteria_colonial_probably,-2.1148067,-2.7953763,-2.1642551,-1.8941717
cyanobacteria_filamentous,-0.4843061,-1.3869795,1.1204952,-2.2775369
cyclops,-2.9919293,-0.10997008,-2.0432236,0.45554534
daphnia,-1.6920813,-2.5436003,0.9375604,0.9052538
daphnia_cucullata,1.7414768,-1.934484,0.3181933,-1.4047422
diaphanosoma,-0.4807733,-1.4095669,-0.392894,-1.3941274
didinium,-0.7961206,0.14048798,-0.76304,-0.9252402
dinobryon,-4.632687,-6.378281,-3.2307415,3.326134
dinoflagellate_diamond,3.8982773,3.7809126,3.128195,-2.5031137
