,h0,h1,h2,h3
aphanizomenon,0.66734403,0.84315866,0.28592852,-1.0558134
askenasia,0.5843261,-0.8279741,-0.79723597,-0.5909829
asplanchna,-0.32629257,-1.8367426,0.529923,-1.1639322
asterionella,0.36455593,1.7630246,-2.6745722,-0.41630518
aulacoseira,-1.9789256,2.7517097,0.78590435,-1.2154617
bosmina,-0.55363756,-0.07858443,0.7666649,0.7087798
centric_diatom,-2.1695437,0.384978,-1.4201621,-0.15365411
ceratium,1.7846282,1.1872588,-0.51798034,-1.9104601
chaoborus,1.3902308,0.25221723,-0.37328687,-0.8972206
chlorophyte,0.25510606,-0.75346905,-1.1604254,0.5393993
chlorophyte_colonial_dividing,1.254147,-0.6688754,-1.393953,0.39394143
chlorophyte_elongated,1.3156394,-0.059924293,0.18135706,0.4176696
chlorophyte_frame,1.2623537,-0.57807934,-1.3925139,0.97660667
chlorophyte_square,0.7914402,-0.79366606,-1.5058732,0.6517498
chroococcales,1.8733284,-0.9718704,-2.4882958,0.6871077
chydorus,-0.43313655,0.22149587,-1.32223,1.5464276
ciliate,-0.057642765,-0.43101066,0.42465174,0.27720305
ciliate_big,-0.5020221,1.213667,1.403955,-0.72988975
ciliate_blue,0.10651762,-0.14091016,-0.19849637,0.30234483
ciliate_green,2.1163654,-0.5000682,-0.46117768,-1.5883263
ciliate_round,-1.0186568,0.2969591,-0.8114243,0.5049465
closterium,-0.43266585,0.5316927,-1.131829,-0.11762647
coelastrum_reticulatum,2.400473,1.9678195,-0.61644614,-0.0516724
coelosphaerium,3.5285106,0.9496531,-2.2630239,0.50975823
coleps,0.7546181,0.3566245,-1.4793962,0.6452609
collotheca,1.4982128,0.13955845,-1.6616154,0.054723855
conochilus,0.9791953,-0.8343054,1.5489246,-1.8165561
cosmarium,1.3393494,-0.28050008,-1.0878544,0.051496953
cryptophyte,0.190164,-0.5504653,0.39276615,0.43825728
cyanobacteria_colonial_blue,1.4943758,-0.64431804,-0.9969908,0.096981086
cyanobacteria_colonial_clathrate,2.202011,0.8045162,-0.8447436,-1.287212
cyanobacteria_colonial_probably,2.8359442,1.0287539,-1.221882,0.40119395
cyanobacteria_filamentous,1.3164872,2.976763,-0.9978177,0.46259162
cyclops,0.6860825,-0.38066086,0.18744087,0.045619536
daphnia,0.9010668,0.4248417,0.83339673,-0.57435983
daphnia_cucullata,1.1044611,0.6423494,-0.67542946,0.49547827
diaphanosoma,2.3486466,-0.41010118,-2.5483103,1.0670115
didinium,-0.30453137,-0.3700118,-1.6896741,-0.039033893
dinobryon,2.4649973,-1.2307299,-1.943278,-2.6781106
dinoflagellate_diamond,-2.659219,0.2384622,1.2753508,1.6709713
dolichospermum,0.21038571,0.8294477,-1.4617201,-0.9018818
eudiaptomus,0.2729666,0.28814837,0.16886015,-0.0036715583
fragilaria,0.70381784,1.5251043,-2.5346136,-2.1850479
gonium,2.9001417,-0.6097321,-3.062961,0.10261891
gymnodinium,-0.6303006,-0.61276215,-0.64665765,0.54365677
kellicottia,-0.2866929,-0.35034108,0.37914532,-0.18158418
keratella_cochlearis,0.24913348,-0.2558376,-0.7813301,-0.679404
keratella_quadrata,0.2887075,-0.69873124,0.48066515,-1.898813
leptodora,1.3334719,0.6334969,0.13277715,-0.3652482
limnoraphis,1.1264083,0.61976725,-0.51207954,1.1540947
mallomonas_akrokomos,-0.14972602,-1.3211727,0.09695845,-0.24152367
mallomonas_big,-0.36527625,-0.3787131,-1.7115287,-0.6197632
nauplius,0.28331572,-0.64207834,0.40654075,0.053100154
oocystaceae,1.2182834,-0.56035393,-1.0333759,1.0521247
pandorina,-0.2612599,-0.37745294,-0.92139274,-0.40316933
paradileptus,1.2205975,0.81126463,-0.60106474,-1.4055685
pediastrum,0.9970272,0.40523577,-1.0437939,0.3814714
pennate_diatom,0.81570995,1.2749579,-0.97955877,1.1560526
peridinium,-0.21026753,-0.7344065,-2.1705506,0.2182127
phacotus,1.3164253,-0.28310686,-0.63883114,-0.86392987
plankton_x,0.65223986,-1.5199975,-1.4507635,0.4428821
plankton_y,-1.0276885,-0.22995256,-0.66393906,0.32605055
plankton_z,1.769935,-0.65450364,-2.0899982,0.40916184
planktosphaeria,-0.58638066,0.10715921,-0.36924446,-1.0752681
polyarthra,0.219928,-1.2688186,0.9939854,-0.4983486
protist_like_ciliate,0.20410821,-0.642602,-1.1201642,0.26817966
rhodomonas,-0.672313,-0.66488576,0.7795639,0.5324282
rotifer,0.5159619,-1.1301007,0.27954006,-0.9131955
rotifer_long,1.1649371,-0.54592067,-0.32203278,0.14035106
rotifer_z,1.4572124,-1.2151871,-2.2549996,-0.61151606
scenedesmus,1.390009,-0.0903012,-1.3855387,0.08993187
snowella,1.1568841,-3.9356818,-4.332478,2.769276
staurastrum,0.60940456,-0.18996657,-0.33478555,-0.24142677
strombidium,-0.24089776,-0.82613075,-0.51622707,0.20122823
synchaeta,-1.8412257,-1.2289321,0.4757218,-2.0935242
synedra,1.1213241,-0.18780641,-0.14129499,-1.3637656
synedra_angustissima,-2.5042832,1.4351889,-1.489575,-0.57396954
synura,1.5074031,1.1831926,-0.72750854,-0.93352485
tetraedron,0.34036684,-0.6236187,-1.4559972,0.88301533
tintinnid,-0.65100545,0.07863122,-0.25365743,0.17444718
trichocerca,0.47526863,-0.86889714,-0.6765593,-0.18145902
uroglena,2.4104786,-1.328402,-1.0100043,-2.7401605
vorticella_epistylis_like,-1.0229616,0.11085713,-1.1561505,0.4701294
