,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,0.000159522,0.00015649409,0.0001555548,0.00015947246,0.00015610858,0.00015566568,0.00015554082
askenasia,0.002730345,0.0024880497,0.0024566425,0.0029924272,0.002480959,0.0024614602,0.0024560385
asplanchna,-0.0007576739,-0.00071092305,-0.00070523354,-0.00080558297,-0.00070953305,-0.0007057121,-0.0007051154
asterionella,0.0007577109,0.00068788684,0.00067859126,0.00083067315,0.0006857907,0.00068001775,0.0006784103
aulacoseira,-0.00028930875,-0.00025338618,-0.00024897317,-0.00033072697,-0.00025238984,-0.00024963878,-0.00024888953
bosmina,-0.0013274665,-0.0012339532,-0.0012211177,-0.0014275083,-0.001231228,-0.0012236577,-0.0012208846
centric_diatom,-0.0019721938,-0.0017904041,-0.0017671501,-0.0021728314,-0.0017851485,-0.0017707119,-0.0017667039
ceratium,6.545226e-05,2.515996e-05,2.0153082e-05,0.000114653485,2.4022305e-05,2.0913929e-05,2.0055148e-05
chaoborus,-0.0005988821,-0.0006166004,-0.00061861245,-0.00057485857,-0.0006170675,-0.0006183096,-0.00061864924
chlorophyte,-0.0014047668,-0.0012785443,-0.001262208,-0.0015413639,-0.0012748655,-0.0012647099,-0.0012618948
chlorophyte_colonial_dividing,-0.0005708039,-0.0005911441,-0.0005935705,-0.00054240087,-0.0005917293,-0.00059318147,-0.00059362006
chlorophyte_elongated,-0.00041387932,-0.00037650505,-0.0003717017,-0.00045411367,-0.00037541796,-0.00037243727,-0.00037161142
chlorophyte_frame,-0.0001597348,-0.00011739206,-0.00011229071,-0.00020866584,-0.000116221796,-0.00011306689,-0.0001121916
chlorophyte_square,0.00041036835,0.00038358822,0.00037987976,0.0004375137,0.0003828438,0.00038037263,0.0003798172
chroococcales,-0.00074072694,-0.0006912188,-0.00068496243,-0.000792636,-0.0006898192,-0.00068592175,-0.00068484293
chydorus,-0.0011624419,-0.0010868743,-0.001076802,-0.0012409219,-0.0010846062,-0.0010783495,-0.001076608
ciliate,-0.00043505363,-0.00041547843,-0.0004133732,-0.0004622011,-0.00041497304,-0.0004135947,-0.0004133307
ciliate_big,-0.00038411273,-0.00029563697,-0.0002849689,-0.00048130742,-0.00029368498,-0.00028669022,-0.0002847508
ciliate_blue,0.00063659035,0.0005412299,0.00052829785,0.0007417669,0.0005382975,0.0005302925,0.00052804744
ciliate_green,-0.00015743726,-0.00017344752,-0.00017463118,-0.0001328876,-0.00017388986,-0.0001743398,-0.00017466726
ciliate_round,-0.00093935116,-0.0008423441,-0.0008296589,-0.001046344,-0.0008394834,-0.00083160336,-0.0008294141
closterium,-0.0016408477,-0.0015151281,-0.0014986377,-0.0017767351,-0.0015110843,-0.0015011088,-0.0014983279
coelastrum_reticulatum,0.00034830562,0.00034499564,0.0003444337,0.00035414824,0.0003446131,0.00034446924,0.00034442745
coelosphaerium,0.00078345026,0.0006532017,0.00063722004,0.0009348277,0.0006500883,0.0006397867,0.0006368991
coleps,0.0003630394,0.0003518445,0.00035054694,0.00037361548,0.0003516184,0.00035080878,0.00035051332
collotheca,-0.0008411094,-0.0007640469,-0.0007539507,-0.0009227582,-0.0007616889,-0.0007555515,-0.00075375004
conochilus,-0.001199277,-0.001087255,-0.0010729429,-0.0013244975,-0.0010840566,-0.0010751435,-0.0010726731
cosmarium,0.0003928092,0.00035293552,0.00034757538,0.00043565972,0.00035170667,0.00034835053,0.00034747281
cryptophyte,0.00052821473,0.00046677203,0.00045903053,0.00059600314,0.000465403,0.00046027458,0.00045887165
cyanobacteria_colonial_blue,0.00032532678,0.0002941869,0.00028985797,0.00035499956,0.0002931469,0.000290547,0.00028976816
cyanobacteria_colonial_clathrate,-0.0009375927,-0.0008293515,-0.00081599166,-0.0010538214,-0.00082616985,-0.00081814907,-0.0008157181
