,h0,h1,h2,h3
aphanizomenon,-0.04650708,0.5049679,-0.02591339,-0.16238436
askenasia,0.046065204,-0.064903244,-0.3022847,0.4701621
asplanchna,0.07996031,-0.4699052,-0.0033116534,0.19901267
asterionella,-0.24317779,-0.07089308,-0.17351927,-0.22297709
aulacoseira,-0.014554367,-0.009685202,-0.010953458,-0.010335424
bosmina,-0.14963128,-0.11154865,-0.25042802,-0.074000284
centric_diatom,-0.17723066,-0.09842741,-0.044439115,-0.087001465
ceratium,-0.010119446,-0.02953454,-0.31624097,0.15736395
chaoborus,0.112201914,-2.573586e-07,-8.1338425e-05,-0.5886608
chlorophyte,-0.11694331,-0.08233039,-0.088448964,-0.078261904
chlorophyte_colonial_dividing,-0.14714997,-0.10009387,-0.11303371,-0.10228204
chlorophyte_elongated,0.2181854,-0.15765585,-0.021459451,0.05613373
chlorophyte_frame,-0.17342366,-0.0046768975,0.086856715,0.18239175
chlorophyte_square,-0.20216905,-0.10102954,-0.19079703,-0.12332745
chroococcales,-0.13641724,-0.16119711,-0.19104417,-0.1049417
chydorus,0.12897778,-0.16886993,0.078277394,-0.2790792
ciliate,-0.28445354,-0.30688098,0.054303143,-0.011535303
ciliate_big,-0.40904498,0.36161318,-0.07415101,-0.2684517
ciliate_blue,-0.27432615,-0.21612495,0.15277919,0.08198706
ciliate_green,0.035133775,-0.05344052,-0.070454165,0.30930892
ciliate_round,-0.08383582,-0.28071642,0.08293695,-0.10524083
closterium,-0.27472514,-0.033375308,0.16879281,0.1593871
coelastrum_reticulatum,-0.36271915,0.20783737,0.2041307,-0.21761264
coelosphaerium,-0.2222697,-0.022944704,-0.17178316,-0.07671646
coleps,0.064300135,-0.11742861,0.08382124,-0.20557459
collotheca,0.3188991,0.33207858,0.13314988,-0.28316435
conochilus,-0.00027701337,-0.022154186,0.054493833,0.06463646
cosmarium,0.12467171,0.097533025,-0.2797145,0.1084335
cryptophyte,-0.03154577,-0.020717507,-0.02171215,-0.021309104
cyanobacteria_colonial_blue,-0.08898109,0.013894271,-0.18282777,-0.12211341
cyanobacteria_colonial_clathrate,0.22795923,0.10850756,-0.1323445,-0.2604174
cyanobacteria_colonial_probably,-0.1834622,-0.12654316,-0.12964079,-0.16554338
cyanobacteria_filamentous,-0.22216615,-0.055461925,-0.0386259,-0.021546597
cyclops,-0.1195583,-0.09158534,-0.18044452,-0.094936796
daphnia,-0.2130788,0.007095968,0.07561194,-0.13703139
daphnia_cucullata,-0.2589996,0.20118606,0.02901675,-0.27117845
diaphanosoma,-0.012055578,-0.16807695,-0.05374316,0.2471412
didinium,0.105739474,-0.13023826,0.045246318,-0.43011197
dinobryon,-0.050024275,-0.033276815,-0.036234926,-0.032755613
dinoflagellate_diamond,-0.15822324,0.03729852,0.13538481,-0.33288944
dolichospermum,-0.12908995,-0.0037351253,0.033181213,-0.13481107
eudiaptomus,-0.06623546,-0.03752746,0.006667136,-0.13493127
fragilaria,-0.17583686,-0.17894544,-0.15458623,-0.049033556
gonium,-0.045252267,0.29979736,-0.11966587,0.032050267
gymnodinium,-0.03616438,-0.03703813,-0.09323602,-0.107930616
kellicottia,0.21294886,0.008290791,0.037232094,-0.33713436
keratella_cochlearis,0.10444137,-0.3025658,0.0011205828,0.21624027
keratella_quadrata,-0.16777903,-0.09679187,-0.09853786,-0.0014589828
leptodora,-0.18093087,-0.19548185,0.09609878,-0.15032583
limnoraphis,-0.15196416,-0.11017744,-0.2217173,-0.28549972
mallomonas_akrokomos,0.26194888,-0.040901978,-0.06441855,-0.24586959
mallomonas_big,-0.11637573,-0.20542966,-0.01707561,0.15134582
nauplius,-0.18044627,-0.11959734,-0.16263662,-0.14785333
oocystaceae,-0.13487355,-0.08957589,-0.09355178,-0.08653678
pandorina,0.278348,-0.02825857,-0.129585,-0.2553963
paradileptus,0.11497058,-0.22906506,-0.0044056643,0.1605365
pediastrum,0.002394692,0.036683064,0.20163094,-0.041788295
pennate_diatom,-0.08584981,-0.107227184,-0.10743293,0.15118876
peridinium,-0.033073388,-0.046625208,-0.0074751778,-0.20292148
phacotus,-0.031179497,-0.22141868,-0.25359362,-0.12993136
plankton_x,0.19080769,-0.30855334,0.31428483,-0.34853846
plankton_y,-0.14732493,-0.19308092,0.031139664,-0.16639547
plankton_z,0.15460932,0.0686502,-0.08189677,-0.22396293
planktosphaeria,-0.1407644,-0.005882683,0.3141217,0.3220286
polyarthra,0.07895565,0.01711769,-0.1985048,0.37837765
protist_like_ciliate,0.003566456,-0.19814375,0.065292515,0.028087191
rhodomonas,-0.17387922,-0.120735064,-0.14037998,-0.13528977
rotifer,-0.17978776,-0.0805959,-0.20494387,-0.11250559
rotifer_long,0.23193398,-0.15587638,-0.021372728,0.24070342
rotifer_z,-0.101899676,-0.110433415,0.068212,0.043471277
scenedesmus,0.06911422,-0.2347073,-0.017052924,0.10805571
snowella,0.17641656,0.13138716,-0.010715407,0.19557448
staurastrum,-0.04534728,-0.2506341,0.07568415,0.19246757
strombidium,0.043348473,0.048719786,-0.08807568,-0.13572657
synchaeta,0.12956363,-0.09988595,-0.08650182,0.015909728
synedra,0.15239064,0.071526825,-0.0019187626,-0.034355465
