,h0,h1,h2
aphanizomenon,-1.6048149,1.2159145,-2.4263813
askenasia,-1.2937229,-0.9095508,-0.81493986
asplanchna,-1.6889609,0.7259632,0.7942846
asterionella,-0.29860353,-0.25004104,-1.2810701
aulacoseira,1.2797703,0.94582456,-1.4525207
bosmina,0.50176585,0.3143582,1.0328544
centric_diatom,0.9944901,0.6420017,-0.3331053
ceratium,-2.6894796,0.8194532,-3.9505801
chaoborus,-1.0532006,-0.35902318,-0.9275083
chlorophyte,-3.8848617,-4.098417,0.717513
chlorophyte_colonial_dividing,-3.4797919,-5.4417796,0.36176753
chlorophyte_elongated,-1.350855,-2.4487994,1.3747541
chlorophyte_frame,-3.4097235,-3.670048,0.35368237
chlorophyte_square,-2.5566933,-4.85483,0.38008505
chroococcales,-1.0527297,-3.5451362,-1.0998712
chydorus,0.14420417,-0.18681146,-0.90771437
ciliate,-0.45416343,0.36159897,0.7002664
ciliate_big,-1.6799996,1.9979022,-3.6565905
ciliate_blue,0.013643757,-1.368128,-0.5796615
ciliate_green,-2.3622987,-0.98139346,-1.655056
ciliate_round,0.2506168,0.14383729,-0.42342672
closterium,2.434691,-0.78134346,-1.9826219
coelastrum_reticulatum,1.4789153,-1.9669843,-1.619176
coelosphaerium,-1.1139476,-2.736857,-1.5377412
coleps,1.0112258,-1.4917983,-1.4639342
collotheca,-0.40310872,-2.4317927,-2.5586388
conochilus,-1.9881299,1.9255725,-0.25356695
cosmarium,-1.1416318,-2.8518202,-1.0169098
cryptophyte,-3.2564528,-1.2566458,0.99536556
cyanobacteria_colonial_blue,-0.37438238,-3.1921556,-0.43383422
cyanobacteria_colonial_clathrate,0.13935687,-2.5116558,-2.0065386
cyanobacteria_colonial_probably,-0.22993091,-3.3864477,-1.7010843
cyanobacteria_filamentous,0.90098494,-0.46556997,-1.8388338
cyclops,-2.2760882,-2.0112224,0.7837211
daphnia,-1.4866312,0.5362313,-1.6012874
daphnia_cucullata,1.0361462,-0.7043677,-0.9850694
diaphanosoma,0.12787943,-1.5730788,-0.8295718
didinium,-0.41731524,-0.5294905,-0.6642204
dinobryon,-3.5287118,-2.023585,-3.10935
dinoflagellate_diamond,2.5307388,2.2359583,1.3781422
dolichospermum,0.005100965,-1.0733484,-2.3359604
eudiaptomus,-0.28806844,0.093692526,0.07206995
fragilaria,1.8053482,-0.78356624,-2.8398695
gonium,-3.5901456,-2.7023933,-1.0546253
gymnodinium,-0.6937847,-1.1387334,-0.40695515
kellicottia,-1.3843852,0.53544486,0.40142673
keratella_cochlearis,-0.93823236,-0.2890111,-2.6476526
keratella_quadrata,-1.9201705,1.1444696,-0.75149906
leptodora,-0.47909284,-0.8248805,-1.8434526
limnoraphis,-0.40663493,0.34784093,-2.3952
mallomonas_akrokomos,-1.5714982,-0.4651879,1.5780805
mallomonas_big,0.3849274,-1.5329895,-1.7936512
nauplius,-4.7582407,-0.3382982,1.9022229
oocystaceae,-2.7697425,-2.650602,-1.649057
pandorina,0.68524045,-0.97601783,-1.5886397
paradileptus,-0.46209008,-0.39407268,-3.4529269
pediastrum,1.7331605,-3.8356123,-2.2439432
pennate_diatom,-1.1216624,0.2761298,-0.56573665
peridinium,-0.6280785,-1.1638768,-0.9130413
phacotus,-2.4443424,-2.3414803,-1.1319016
plankton_x,-1.8859992,-1.3196491,-0.5865853
plankton_y,0.12061788,-0.62631345,-0.16317502
plankton_z,-2.4481335,-2.468798,-1.0478127
planktosphaeria,-1.3187815,-0.68284273,-0.059923988
polyarthra,-2.3841932,-0.87983286,1.9988334
protist_like_ciliate,-1.2763444,-1.3903545,-0.619536
rhodomonas,-2.5498002,0.9659277,1.6788639
rotifer,-4.106678,-0.5275825,1.2161405
rotifer_long,-1.8812344,-0.730806,-0.2350009
rotifer_z,-0.85852635,-1.8907955,-1.4233613
scenedesmus,-0.8010017,-2.0810153,-2.9444287
snowella,-0.07010489,-1.7904392,-3.7642536
staurastrum,0.53720427,-1.1299706,-1.1563443
strombidium,-2.1966527,0.16504776,-0.65691024
synchaeta,0.266567,0.5586966,0.13604936
synedra,-1.5002506,0.8725603,-0.8048289
synedra_angustissima,1.3633833,-0.0047798175,-0.9992795
synura,2.1329126,-2.2219992,-1.3629718
tetraedron,-1.4222488,-2.766847,-0.7906732
tintinnid,0.08045685,0.48370808,-0.79128635
trichocerca,-3.0198631,-0.6868902,-1.1009107
uroglena,-2.0472474,-0.8547579,-1.7506219
vorticella_epistylis_like,-0.16247743,-0.10876782,-1.6580749
