,h0,h1,h2,h3,h4
aphanizomenon,-1.2085342,-0.07664217,-1.0937145,-1.9281248,-0.72541857
askenasia,-0.85486615,-0.9424104,1.7348155,0.27526987,1.0777674
asplanchna,0.7609851,-0.48731288,-0.8712427,-1.9773301,1.4115485
asterionella,0.24483326,-3.6056654,-0.34524816,0.9396248,0.1142267
aulacoseira,-0.3984266,0.021997308,-1.616068,0.37724528,-1.8429484
bosmina,0.8704395,1.8766935,-0.3831147,-0.8535675,-1.7207112
centric_diatom,0.6695199,-1.0118029,-0.9961136,1.3148854,-0.73379314
ceratium,-1.388005,-0.48362386,0.7639632,-0.7781662,-0.12348596
chaoborus,-1.526694,0.6296902,0.47020185,-1.2641271,0.26377767
chlorophyte,2.7135856,-4.2404356,5.0965047,-3.102085,-0.40551162
chlorophyte_colonial_dividing,-0.34228432,-2.57716,4.5765276,-4.081012,-0.21039744
chlorophyte_elongated,0.0865128,-0.62116235,1.1970052,-2.0211325,0.9848924
chlorophyte_frame,0.010995009,-0.7358335,3.5854135,-2.4088242,-0.6886909
chlorophyte_square,-0.31353742,-3.087901,3.4912918,-3.6443145,-3.2440014
chroococcales,-1.533249,-2.2624795,2.1334767,-2.0655165,-3.0645761
chydorus,-1.5919447,0.72317445,-0.23510458,-0.33824047,-0.4504128
ciliate,0.90262854,-0.27370417,0.044458486,-0.24731368,0.25574842
ciliate_big,-3.0023963,2.4065177,-0.9084513,-3.9220715,-2.7623856
ciliate_blue,-0.49505568,0.24724996,1.1560903,-0.37400952,-1.6566736
ciliate_green,-2.874592,-0.50820726,2.5046835,-0.28642672,3.2355468
ciliate_round,0.05713067,-0.81309056,-1.5737283,-0.8164954,-1.3179616
closterium,-1.4555832,-2.2851896,-1.0022669,2.5365062,-1.7775558
coelastrum_reticulatum,-2.174296,-1.8080829,-0.4720404,0.5303207,-1.1500165
coelosphaerium,-1.9909102,-1.4614391,2.047346,-1.0873003,-1.8685043
coleps,-1.4688672,-1.0660915,-0.2268583,0.17424099,-2.1732762
collotheca,-3.069663,-0.9713261,0.95612866,-1.6643944,-1.6151272
conochilus,-0.04644939,0.5301101,-0.62091327,-1.3688691,1.6185426
cosmarium,-1.067019,-1.3308989,2.0969563,-1.2383546,-0.2916049
cryptophyte,1.9822114,-0.079025455,1.7844348,-4.8546796,-0.60993564
cyanobacteria_colonial_blue,-1.0246471,-2.4297323,1.0501888,-1.7304972,-0.74000365
cyanobacteria_colonial_clathrate,-2.4493742,-3.4535666,0.2618487,-0.93363243,0.22821541
cyanobacteria_colonial_probably,-2.8385143,-1.4551128,1.4590527,-2.4198675,-2.2110229
cyanobacteria_filamentous,-1.731474,0.120433316,-1.0813751,-0.8262247,-2.435989
cyclops,0.21746235,0.05415416,1.518738,-3.6141136,-0.2797103
daphnia,-2.899836,2.2672935,-0.24098913,-2.892338,0.6171181
daphnia_cucullata,-1.6815212,1.2816933,0.14748211,0.01086172,-2.1818876
diaphanosoma,-1.2992423,-0.021472044,0.51129806,-0.8987217,-1.5989574
didinium,0.22069697,-1.2859952,0.8618343,0.16965911,-0.42554203
dinobryon,-7.7161746,-3.0297415,2.6169174,-3.6539621,5.681401
dinoflagellate_diamond,3.438824,-0.3588743,-3.5422482,2.4314091,-2.594156
dolichospermum,-1.5069622,-0.6805312,0.4443324,-0.18610089,-1.4929342
eudiaptomus,-0.5994992,0.077259935,-0.5273345,-0.53930014,0.5398382
fragilaria,-2.754648,-2.7647183,-0.89306855,2.3541389,0.14089365
gonium,-1.3256105,-1.300432,2.2884867,-4.0783587,-0.3177369
gymnodinium,2.0893452,-1.0651824,1.9663666,-1.1419151,-2.9019568
kellicottia,1.8962978,-1.1387875,-0.7950301,-2.040832,-0.19028327
keratella_cochlearis,-1.5249947,-1.9426482,-0.5884288,-0.31144267,-0.3881277
keratella_quadrata,0.17637134,-1.0389227,-0.5428773,-1.0096052,1.1930453
leptodora,-1.5841881,1.128553,0.7352476,-1.9755315,-1.668115
limnoraphis,-2.1185617,1.2262573,-0.7311203,-1.7631377,-1.7163267
mallomonas_akrokomos,1.210339,-0.034873832,1.2255352,-0.8726007,1.2396848
mallomonas_big,-1.8807287,-1.118406,0.629276,0.276334,-1.0823777
nauplius,2.7219512,-0.86173064,2.077907,-3.785532,2.1478186
oocystaceae,-0.062439628,-0.14386298,3.4202898,-3.2308059,-1.6636916
pandorina,-0.9399651,-2.7006452,-0.5338679,0.6808164,-0.37889415
paradileptus,-2.0113206,-0.22795126,0.33304912,-0.72465,-1.112697
pediastrum,-2.9410226,-0.83887327,0.75628334,-0.5085823,-1.7638199
pennate_diatom,0.53205025,-1.0311493,-0.15533735,-1.0230669,-0.1864883
peridinium,0.9192858,-1.1794865,2.188401,-0.12870753,-2.371444
phacotus,-0.3834362,-1.8286866,2.804947,-0.7307514,0.57417554
plankton_x,-0.22413445,0.020777373,1.3339636,-1.9527978,-1.7103553
plankton_y,1.0822376,-1.4577384,0.29402998,-0.008735153,-0.87561625
plankton_z,-0.38928032,-1.7304758,2.6537473,-0.7117998,-0.12940542
planktosphaeria,0.15379678,-1.0190352,1.0558051,-0.5088253,1.0962341
polyarthra,1.4258473,-0.58482784,0.20009623,-3.2530985,0.7875033
protist_like_ciliate,1.319967,-0.62771225,2.0749154,-1.7948564,-3.5016258
rhodomonas,3.622246,-0.7570018,0.73474854,-2.3567712,0.5992927
rotifer,0.5506252,-0.6674457,0.5578122,-6.656497,1.6676236
rotifer_long,-0.31176326,0.54753613,1.216161,-1.2766416,0.07959419
rotifer_z,-1.5369694,-0.34477258,1.8654102,0.009020391,-0.392555
scenedesmus,-2.4612024,0.33358234,1.4908508,-2.3171914,-3.510478
snowella,-4.222893,1.1623479,2.1360073,0.22525497,-3.838248
staurastrum,-0.96530706,-2.2987742,0.19176368,1.1762593,0.29783273
strombidium,1.2525864,-1.5963396,1.0202674,-1.1400069,0.29696083
synchaeta,-0.5009767,0.11288896,-0.93775696,0.20892686,0.82959
synedra,-0.9624979,-0.39335307,-0.7892605,-1.1298994,1.1668499
synedra_angustissima,-1.2684021,1.4632818,-1.5573616,-0.7555329,-3.7258687
synura,-2.1790664,-0.8314872,-0.60023963,0.3412418,-1.7687348
tetraedron,-0.96410996,-1.5129039,1.718242,-1.850895,-1.7246994
tintinnid,0.25144607,-1.042536,-1.5497652,-0.81889015,-1.5960326
trichocerca,-0.60687625,-0.15967372,1.1388813,-2.7332463,0.15582438
uroglena,-3.2913525,-0.5732711,0.56222266,-2.6463256,2.0279496
vorticella_epistylis_like,-0.08020214,-1.4634165,-0.408754,-0.32436204,-2.4399748
