date,h0,h1,h2,h3
2020-07-14,0.59227943,0.5016073,0.7145905,0.5244435
2023-02-03,0.5941979,0.5032224,0.7167691,0.5263375
2021-09-10,0.592433,0.5021314,0.7146046,0.524706
2019-05-28,0.5923082,0.5018823,0.7146794,0.5246662
2021-04-30,0.59302557,0.5025374,0.7154977,0.5252059
2021-05-16,0.5931013,0.5026011,0.715638,0.5253276
2021-09-19,0.59240746,0.5020294,0.71469355,0.52467406
2022-12-31,0.5939321,0.50303954,0.7164416,0.52595687
2022-07-15,0.5917227,0.50131845,0.7140461,0.52403504
2023-08-20,0.5917222,0.5012507,0.7139845,0.52397025
2024-08-18,0.5925206,0.5019513,0.7149008,0.5247396
2020-05-24,0.5930932,0.5024955,0.71552545,0.525308
2024-03-30,0.59307855,0.50253975,0.71552384,0.5253038
2019-10-04,0.5923493,0.50184286,0.71496797,0.5247067
2024-03-16,0.59256625,0.5022109,0.71498,0.5248879
2021-10-13,0.5914016,0.50148356,0.7138719,0.5241198
2023-02-23,0.5923333,0.5018044,0.71473736,0.5244886
2020-12-06,0.59335256,0.5026747,0.7157945,0.52545786
2023-03-06,0.5928033,0.5021084,0.7152222,0.52494454
2019-04-19,0.5926761,0.5024023,0.71553046,0.5250955
2020-08-04,0.59301883,0.5024131,0.715452,0.52518904
2020-02-07,0.59320307,0.5025753,0.7156274,0.5253136
2021-06-04,0.59262383,0.50203764,0.71499014,0.5247616
2020-07-12,0.5916194,0.50079346,0.7138972,0.5237247
2019-11-07,0.59316933,0.50265145,0.71563345,0.52528995
2019-05-15,0.5929741,0.5024487,0.71550685,0.5251598
2020-10-15,0.59288394,0.50231093,0.7154135,0.5250687
2021-11-07,0.5921439,0.5025523,0.71449214,0.5244316
2023-07-28,0.592397,0.5018655,0.7148457,0.5246202
2020-05-16,0.59303254,0.5024803,0.7154766,0.5252627
2022-11-13,0.59334415,0.50267655,0.71581227,0.52544177
2023-06-21,0.5924072,0.5019424,0.7146491,0.5246673
2023-09-09,0.5884489,0.49811658,0.7100593,0.5209472
2022-06-03,0.59255165,0.5022197,0.7148186,0.52490264
2024-10-07,0.5926586,0.50208205,0.7151628,0.52498776
2022-02-23,0.59287137,0.502275,0.71530956,0.52506995
2023-08-04,0.59236276,0.501827,0.71472156,0.5245171
2024-07-03,0.59221315,0.50189716,0.7145328,0.52452004
2020-04-05,0.5919481,0.5016839,0.7144284,0.5239805
2020-04-30,0.5931123,0.5025796,0.7155906,0.5252994
2020-11-23,0.59326726,0.5025807,0.71566373,0.5253595
2024-12-04,0.5931963,0.50260246,0.71575165,0.5253985
2020-05-23,0.5930833,0.5025111,0.7154953,0.5252925
2021-10-18,0.591521,0.5019008,0.7140385,0.5240676
2021-05-18,0.5931464,0.50257504,0.7156466,0.5253323
2022-04-10,0.5928558,0.5024122,0.71530044,0.52499723
2024-10-23,0.59222466,0.5017624,0.71507764,0.5250637
2024-08-29,0.59192425,0.50145614,0.71424896,0.5242046
2021-08-19,0.5931563,0.50250655,0.71554255,0.5253917
2019-06-07,0.5924051,0.50189924,0.7146936,0.5245826
2023-12-19,0.5933757,0.5026684,0.7157952,0.5254052
2022-01-26,0.5932438,0.5026058,0.7157138,0.5253762
2024-10-15,0.5924096,0.50191855,0.71499646,0.5249387
2024-06-15,0.59298193,0.5030207,0.7158473,0.5250869
2021-04-05,0.5920796,0.501648,0.7144823,0.5242086
2024-05-14,0.5928558,0.50230867,0.7152024,0.52506346
2021-09-24,0.59250695,0.5018922,0.71478504,0.5247023
2023-04-20,0.592848,0.5024881,0.71530724,0.52506727
2021-04-07,0.59247977,0.501971,0.7149418,0.5246064
2020-08-20,0.5927116,0.5020674,0.71514064,0.5249183
2024-03-13,0.59249985,0.5021119,0.7149129,0.52479327
2023-06-28,0.5923012,0.5017893,0.7146109,0.5245541
2022-09-15,0.5902868,0.4993405,0.71250534,0.52306306
2020-12-24,0.5932663,0.50260955,0.715726,0.5253942
2024-10-01,0.5925187,0.5018003,0.71491665,0.5248004
2024-08-20,0.5925634,0.5019938,0.7149381,0.5248131
2024-06-24,0.5922526,0.5021759,0.71473104,0.52455556
2023-04-08,0.59196615,0.50172484,0.71438295,0.5241662
2020-04-03,0.59253997,0.5020894,0.715104,0.52455616
2020-03-27,0.5928794,0.5023694,0.7154095,0.5249527
2022-02-03,0.5932708,0.5026191,0.7157318,0.52539706
2023-04-21,0.59266686,0.5024027,0.71506965,0.5249108
2019-09-12,0.59185624,0.50127655,0.7144929,0.52425706
2020-07-20,0.5926123,0.5020922,0.7149989,0.5247984
2024-07-10,0.59207034,0.50183994,0.7145369,0.52436715
2020-04-26,0.59303063,0.50254714,0.7155102,0.52521086
2019-11-13,0.5931959,0.5026598,0.7157049,0.5252729
2021-06-28,0.592952,0.50238407,0.7153401,0.5251053
2022-11-20,0.59355205,0.50282186,0.7160381,0.5256125
2023-08-14,0.5912912,0.5008282,0.71355045,0.523549
2022-06-28,0.5924605,0.5019973,0.7147985,0.524662
2023-05-13,0.59312093,0.50262,0.71565944,0.52535623
2022-03-29,0.592525,0.50199324,0.71512836,0.5244572
2022-01-14,0.59336686,0.50271004,0.71583956,0.52550226
2020-11-06,0.5932523,0.50264317,0.7157219,0.5254263
2023-04-09,0.5918483,0.5017115,0.71426225,0.52409023
2022-05-25,0.5917049,0.5011623,0.71383053,0.5239604
2021-11-22,0.59349334,0.50279635,0.71599334,0.52561694
2020-07-08,0.59245884,0.50142413,0.71491,0.5244672
2023-07-06,0.59039205,0.5000728,0.7125188,0.5228048
2021-04-14,0.59272677,0.5022783,0.71521217,0.5249017
2024-01-01,0.59335417,0.5026523,0.7157989,0.52544695
2020-07-26,0.59280175,0.5022166,0.71520936,0.5249792
2022-02-09,0.5930999,0.50248367,0.7155441,0.52521974
2024-02-12,0.5928251,0.5021079,0.71518004,0.524922
2024-11-19,0.5929586,0.50245833,0.7155831,0.52529
2021-06-30,0.5928735,0.50206685,0.7153011,0.5249622
2020-12-15,0.5933393,0.5026613,0.7157949,0.52545506
2021-08-09,0.5914267,0.50131255,0.7140826,0.5244558
2019-10-14,0.59252924,0.5020859,0.7150192,0.5247989
2023-05-17,0.5931615,0.50256526,0.71566427,0.52534795
2024-11-16,0.59280497,0.50238526,0.7154882,0.52521974
2022-08-11,0.5921303,0.50146955,0.7145768,0.5242378
2022-01-30,0.5932718,0.50262225,0.7157366,0.5253967
2022-06-01,0.59305555,0.50239396,0.7153029,0.5252593
2022-07-11,0.5917419,0.5013582,0.7140659,0.5240118
2023-03-15,0.59280366,0.5021318,0.7152144,0.52496433
2024-02-23,0.59199125,0.5006126,0.7133393,0.5237226
2019-04-18,0.5925853,0.5022745,0.7151952,0.5248638
2021-01-21,0.5930768,0.5024747,0.71553314,0.5252088
2022-11-06,0.59309685,0.5025094,0.715567,0.5252584
2021-04-15,0.5928591,0.5023223,0.7153318,0.5249986
2021-05-31,0.5919347,0.5013735,0.71420467,0.5248231
2020-10-23,0.5928075,0.50230247,0.7152808,0.52505517
2019-05-02,0.59305996,0.5025623,0.7155858,0.5252399
2022-09-11,0.5912011,0.5004128,0.7135882,0.523724
2022-06-12,0.5921262,0.5018859,0.71448046,0.5244691
2019-05-19,0.59296125,0.50243276,0.7154933,0.52517503
2022-12-24,0.5941982,0.50321287,0.7167263,0.5261493
