,h0,h1,h2,h3,h4,h5,h6
aphanizomenon,-1.294419,0.34560695,0.4857215,0.5235018,-4.0043817,0.2498191,-2.0672452
askenasia,-1.2680221,0.605787,-1.4560949,-1.7011877,0.05503459,-0.37656692,-0.3567763
asplanchna,1.6328439,-2.5207093,-0.16858551,-0.09022156,-2.0824609,3.4694433,-0.9012345
asterionella,-2.1114376,-0.048193224,-0.7085258,0.43619233,-3.382364,0.22886133,1.3153058
aulacoseira,-2.3396282,0.9671127,1.121324,0.38984,0.7769409,0.07656575,-0.49230108
bosmina,0.23868011,-0.43328103,2.3057878,0.14353548,0.93795884,-0.37345397,-1.3145608
centric_diatom,-2.4068992,0.53638756,1.0854443,-0.44987163,0.6033424,0.22219473,1.4782801
ceratium,-2.6335335,2.839533,-1.7056676,-0.7545923,-5.9390454,-0.73097306,-1.9671735
chaoborus,-0.96393335,-0.55054086,0.2862151,-0.50350773,-0.5509138,0.17440838,-1.9624269
chlorophyte,-6.5072923,-4.2850013,-0.2363506,-6.690793,1.0762128,-1.2751268,0.8633301
chlorophyte_colonial_dividing,-1.353858,-6.364738,-3.2384753,-3.078286,-1.9380338,-2.4140282,1.8406353
chlorophyte_elongated,1.1077906,-1.9295688,-0.88363236,-0.60907537,-1.0524691,-0.25626156,0.5561616
chlorophyte_frame,-1.039831,-1.7861325,-1.0085354,-2.7784538,0.08760558,-2.1906188,0.09384944
chlorophyte_square,-2.4318852,-4.872023,-0.57659554,-1.295084,0.06392438,-3.130639,1.0710759
chroococcales,-0.8280889,-2.4505565,-0.9258453,0.457298,-2.574569,-3.6536374,1.0097654
chydorus,-1.7370212,-1.8268585,1.0618078,-0.305869,2.5692747,0.3483791,-2.0573585
ciliate,0.48644567,0.22974147,0.38463008,-0.65162545,-0.93115973,-0.274738,0.8027518
ciliate_big,-2.3389003,1.0030599,0.91675484,0.76960224,-3.0041769,-0.23668465,-3.6904018
ciliate_blue,-1.4198102,0.30931136,0.34713876,-0.7827561,0.5677252,-1.8666941,-0.1830677
ciliate_green,-0.38298625,1.3836737,-4.3220267,-3.0816317,1.7008319,0.8589844,-2.374983
ciliate_round,-0.9788003,-0.13216399,0.76427794,0.99715483,-1.8777844,-0.08052654,0.558423
closterium,-4.1146617,0.042722303,-0.4104231,1.7147924,1.0846788,-1.084728,1.3839631
coelastrum_reticulatum,-1.0367899,-1.1846524,-1.5036162,2.4588645,-0.35169083,-0.7034893,0.03139985
coelosphaerium,-0.7362655,-1.24422,-1.5309708,-0.49043575,0.62509096,-2.0969372,-0.3243238
coleps,-1.2023182,-0.17316991,-0.24032326,1.2877578,-0.28844228,-1.647259,0.5034823
collotheca,-0.8286954,-0.97773373,-1.1689618,1.1789118,-0.59440696,-2.2627954,-2.562965
conochilus,0.39763364,0.5114712,0.10802832,-1.2117007,-1.7094152,2.1179976,-1.2853976
cosmarium,-1.1132678,-2.5295613,-1.2673668,-0.77189744,0.41666672,-1.3592126,0.0644135
cryptophyte,-0.33282214,-1.4900544,0.9060703,-2.2892005,-1.9983091,-0.27650806,-0.7510354
cyanobacteria_colonial_blue,-1.2757828,-3.8315787,-2.0740154,1.5983868,-4.3387485,-0.31483918,1.0894517
cyanobacteria_colonial_clathrate,-2.466818,-2.3670943,-3.393528,1.543598,-0.06854975,0.6984741,-0.18588836
cyanobacteria_colonial_probably,-0.27730814,-2.8321288,-1.5808147,1.7263503,-0.42917308,-2.4173346,-1.0470233
cyanobacteria_filamentous,-0.96708083,-0.59639275,0.85311544,2.175475,-0.6962845,-1.45615,-1.4064151
cyclops,-0.32703212,-2.0161076,0.20302339,-1.6671991,-0.6596786,-0.20319273,-0.9867439
daphnia,-0.5272634,-0.5278598,0.12694426,0.038902022,-1.7213657,1.5413866,-4.894277
daphnia_cucullata,-0.53311056,-0.02872583,0.20531431,1.1903932,1.5329769,-1.0215464,-2.5383928
diaphanosoma,-0.32830197,-0.7482056,-0.42520162,1.0455762,-0.12980913,-1.3682609,-0.7637098
didinium,-1.3508196,0.7546437,-0.29757237,-0.8026344,-0.8425356,-1.143385,0.7037263
dinobryon,-2.5396557,0.0146138,-4.8486543,-1.4306195,-1.125154,0.13850662,-4.244442
dinoflagellate_diamond,-1.9132205,-0.17238829,3.8094022,1.249326,1.7842213,2.2546802,1.5739648
dolichospermum,-1.8538394,-0.10941919,-0.37947893,0.4507338,0.5189561,-1.6237907,-0.5098748
eudiaptomus,0.13655247,-0.37015104,-0.4155419,0.0012079868,0.26847005,0.8864208,-0.30110574
fragilaria,-2.1401436,0.043776404,-1.8213503,2.1925228,-1.344092,0.28008756,0.21181157
gonium,-0.19021213,-1.4551054,-1.9150337,-1.7968419,-0.8597554,-1.3529515,-0.114058025
gymnodinium,-3.3976557,0.7693809,2.138875,-2.724333,-1.1254698,-3.1994708,1.4827172
kellicottia,-0.026876977,-0.6465096,0.94932014,-0.23776391,-3.3534062,0.48598832,0.938813
keratella_cochlearis,-2.3877234,1.0874249,-1.9768233,0.21417896,-1.5833915,-0.3206842,0.4505807
keratella_quadrata,-0.23421818,1.2150694,-1.5000961,-1.4445571,-2.2409089,1.7470003,0.17785224
leptodora,-2.3215783,-0.35303968,1.222859,0.2712863,-1.9180899,-1.0545138,-2.3935292
limnoraphis,-2.037564,-0.07634714,0.9672959,-0.04613788,0.027339736,-0.328519,-2.3648658
mallomonas_akrokomos,1.4349736,-0.75254667,0.27795917,-2.2498338,0.06377872,-0.21723166,0.496469
mallomonas_big,-2.5253537,0.7910014,-1.2843347,0.15006259,0.082649685,-1.6863729,-0.13950168
nauplius,0.9697158,-1.6551847,0.34154674,-3.5947535,-2.578378,1.1368618,-0.3947786
oocystaceae,-4.19139,-1.4132706,0.22364604,-2.749037,-0.16064425,-2.1405632,-1.2800505
pandorina,-1.8631364,-0.67174673,-1.7015388,1.9022112,-3.028076,0.22127056,1.3693795
paradileptus,-2.6662426,1.0987792,-0.7253573,1.2632693,-3.2453728,-0.6145839,-2.6157346
pediastrum,-1.5394298,-2.6243467,-1.4927473,1.7866323,1.7243279,-1.4154081,-0.58321106
pennate_diatom,-1.8032826,-0.29797405,0.6222653,-1.1902721,-1.0578139,0.5796917,0.13761447
peridinium,-2.8588617,0.78828233,0.6646236,-1.4072456,-0.5131776,-3.1631346,0.9536824
phacotus,-3.3523161,-1.4704955,-1.1350791,-3.190369,-0.05495573,-0.5127629,-0.50283045
plankton_x,-0.4091648,-0.16793251,-0.1599938,-1.9592756,-1.5986339,-1.4071399,0.029594861
plankton_y,-1.71857,0.13175322,0.19009496,-0.4455714,-0.43071723,-0.5890009,1.1460897
plankton_z,-2.3608685,-0.6510934,-0.73080695,-2.59725,-2.1752622,-1.5354247,-0.04110813
planktosphaeria,-0.9483082,-0.47185147,-0.56443036,-2.0244763,0.2665472,0.49865818,-0.012600151
polyarthra,2.3691416,-3.325375,0.74941903,-0.7099142,-2.3746512,1.355014,-0.36121178
protist_like_ciliate,-2.5614626,0.23454536,1.4423379,-1.6367111,-1.5402918,-3.3486447,0.765275
rhodomonas,0.9914497,0.030827472,1.0945226,-2.5703492,-1.4404656,0.2340617,0.9565014
rotifer,1.8407574,-1.8906605,-0.9272688,-1.1251578,-5.6893716,1.4883771,-0.9021945
rotifer_long,0.50562453,0.2713785,-0.009039228,-1.0185579,-0.58999753,-1.1165245,-1.2692531
rotifer_z,-0.7508381,-0.33483678,-0.908065,-1.3642586,0.97328454,-1.1661735,-0.80581087
scenedesmus,-3.0802927,-0.5538423,0.8154017,0.24073167,-0.09413723,-3.3959782,-2.966515
snowella,-2.0385242,-0.025290163,-0.16745353,-0.9588222,3.7071555,-3.5624745,-1.7190671
staurastrum,0.06308115,-0.47789222,-2.114314,1.9659351,-2.4206684,-0.46710935,1.3843446
strombidium,-0.9832896,0.81011254,-0.3194792,-2.1553183,-2.4965284,-0.5996978,0.64311355
synchaeta,-0.26488566,-0.26118782,-0.7502557,-0.12637416,0.54582125,2.3812633,-0.7925282
synedra,-0.124650136,-0.014728553,-1.0842601,-0.27330372,-1.6903538,2.0039706,-0.96366245
synedra_angustissima,-3.013684,-0.7032487,2.1811237,0.99429166,2.5496223,-0.5733705,-1.7420627
synura,-0.39247075,-0.66858846,-0.7572443,2.318199,0.31056002,-1.5586996,-0.32887477
tetraedron,-2.5812619,-1.3620491,0.4474497,-1.0519801,-1.3896666,-2.5200813,-0.8402474
tintinnid,-1.4262415,-0.4639568,1.329749,0.5779518,-1.1342072,-0.50266635,0.49533102
trichocerca,-0.569348,-0.3463624,-0.8245675,-1.8820531,-1.0564313,-0.29391035,-0.9514069
uroglena,-0.101452745,-0.5893964,-2.5657518,-0.04834313,-2.759388,1.1376727,-3.2844493
vorticella_epistylis_like,-2.033043,0.5142622,0.6551795,0.7997909,-1.9392995,-1.7840916,0.8753369
