,h0,h1,h2,h3,h4,h5
rotifer_long,-1.1134322,-0.47353336,0.44379583,-2.1429296,-0.028377196,-0.23811086
rotifer_z,-0.86281705,0.4137017,0.4898705,-1.5679419,-0.5075475,-1.8686246
scenedesmus,-3.221125,0.7208764,-1.7410938,1.1392032,-0.65356475,-1.5518768
snowella,-3.0268016,-0.41134566,1.0338407,-0.6911969,0.025564961,-2.2888222
staurastrum,0.05835965,1.2023339,1.0394908,-0.37415114,-0.35868466,-1.1354127
strombidium,-0.12990871,-1.395386,-0.1332658,-1.5810305,-2.4298522,-0.123721026
synchaeta,2.4753554,0.91792333,-1.1295909,0.6291047,0.26911023,-0.16846149
synedra,1.7893589,0.03554567,-0.9350949,-1.1166415,0.027780317,-1.4735239
synedra_angustissima,-0.46127388,0.7503745,-1.0140176,2.7071729,0.0952995,-0.2651422
synura,-1.5525246,1.3895519,1.0388931,0.62161124,1.1842281,-1.8291045
tetraedron,-2.4561596,1.0383193,-0.17860956,-0.58219516,-1.3940748,0.02865272
tintinnid,-0.07186776,0.38509664,-0.40160775,1.5468367,-0.8651047,0.27729455
trichocerca,-0.37818265,-0.37373096,-1.7247839,-1.5596223,-0.8674106,-0.9338468
uroglena,1.1563225,0.7471625,-1.8314594,-2.3911192,0.078844644,-3.2874637
vorticella_epistylis_like,-0.8558879,0.04652332,0.18290228,1.2706664,-1.5771488,-0.7205993
