epoch,train_mse,val_mse,train_nll,val_nll,theta_mean,sat_lo,sat_hi,sat_mid
1,7.860031873860863e-05,7.693792576901615e-05,0.004815998487174511,0.005008324980735779,1.0000098943710327,0.0,0.0,1.0
10,0.00010631019461015967,7.673725485801697e-05,0.004821359645575285,0.0050030057318508625,1.000098466873169,0.0,0.0,1.0
20,8.889691564490931e-05,7.633761561010033e-05,0.004832329228520393,0.005013610702008009,1.0001953840255737,0.0,0.0,1.0
30,0.00010110348562193394,7.673084473935887e-05,0.004850268829613924,0.005020250100642443,1.0002920627593994,0.0,0.0,1.0
40,0.00011456992997409543,7.665804150747135e-05,0.004838869906961918,0.005014150869101286,1.0003865957260132,0.0,0.0,1.0
50,0.00013326279472494206,7.761242886772379e-05,0.004858244210481644,0.005034507252275944,1.0004806518554688,0.0,0.0,1.0
60,6.730146346853872e-05,7.646430458407849e-05,0.004840882960706949,0.005011531990021467,1.0005762577056885,0.0,0.0,1.0
70,6.910300703566463e-05,7.686841126997024e-05,0.004849314223974943,0.005027871113270521,1.0006721019744873,0.0,0.0,1.0
80,6.51048198051285e-05,7.65673175919801e-05,0.004839021246880293,0.005012334790080786,1.000765323638916,0.0,0.0,1.0
90,6.098446069700003e-05,7.645926962140948e-05,0.004825111012905836,0.0049955169670283794,1.0008609294891357,0.0,0.0,1.0
100,6.966505707168835e-05,7.668692705919966e-05,0.004823056515306234,0.004986122716218233,1.0009568929672241,0.0,0.0,1.0
110,8.821905325930856e-05,7.655326771782711e-05,0.004819358233362436,0.005003750324249268,1.0010511875152588,0.0,0.0,1.0
120,7.222669637485524e-05,7.660924165975302e-05,0.004819830413907766,0.00499965064227581,1.0011459589004517,0.0,0.0,1.0
130,8.20078571450722e-05,7.679295231355354e-05,0.004825953859835863,0.004999984987080097,1.0012433528900146,0.0,0.0,1.0
140,8.361946547665866e-05,7.691681094001979e-05,0.004822429735213518,0.004993896931409836,1.0013368129730225,0.0,0.0,1.0
150,0.00010705725417210487,7.646745507372543e-05,0.004812914412468672,0.004995016381144524,1.0014312267303467,0.0,0.0,1.0
160,8.166487793914712e-05,7.656576053705066e-05,0.00481273652985692,0.0049899872392416,1.001526117324829,0.0,0.0,1.0
170,8.858766868797829e-05,7.690733764320612e-05,0.004816719796508551,0.004997576586902142,1.001622200012207,0.0,0.0,1.0
180,7.77795512931334e-05,7.625139551237226e-05,0.004803190939128399,0.004994042683392763,1.0017178058624268,0.0,0.0,1.0
190,9.023218826769153e-05,7.678211113670841e-05,0.00481050368398428,0.0049927388317883015,1.0018151998519897,0.0,0.0,1.0
200,7.080030909492052e-05,7.64549185987562e-05,0.0048060547560453415,0.004991271998733282,1.0019090175628662,0.0,0.0,1.0
210,9.471663279327913e-05,7.647260645171627e-05,0.004799526650458574,0.004995311144739389,1.002005934715271,0.0,0.0,1.0
220,6.839221459813416e-05,7.638498937012628e-05,0.004795297980308533,0.004987648222595453,1.0021021366119385,0.0,0.0,1.0
230,7.935310327411571e-05,7.639826071681455e-05,0.0048004393465816975,0.004990778863430023,1.0021984577178955,0.0,0.0,1.0
240,7.568456148874248e-05,7.616168295498937e-05,0.004796469118446112,0.004976021125912666,1.0022941827774048,0.0,0.0,1.0
250,8.676461729919537e-05,7.631694461451843e-05,0.0047970418818295,0.004984008148312569,1.00239098072052,0.0,0.0,1.0
260,8.67442155140452e-05,7.649440522072837e-05,0.004796626046299934,0.004981619771569967,1.0024868249893188,0.0,0.0,1.0
270,7.688986661378295e-05,7.620806718477979e-05,0.004793781321495771,0.00497481320053339,1.0025817155838013,0.0,0.0,1.0
280,7.777803302815301e-05,7.633945642737672e-05,0.004791066981852055,0.004974087234586477,1.0026767253875732,0.0,0.0,1.0
290,8.137184395309304e-05,7.639662362635136e-05,0.004791908897459507,0.004975604359060526,1.002771258354187,0.0,0.0,1.0
300,8.689839160069823e-05,7.636117516085505e-05,0.004789814818650484,0.004974536132067442,1.0028659105300903,0.0,0.0,1.0
310,7.797558628226397e-05,7.632152119185776e-05,0.004790746606886387,0.004974568262696266,1.00296151638031,0.0,0.0,1.0
320,7.519066566601396e-05,7.631198968738317e-05,0.004789525177329779,0.004974485840648413,1.003057599067688,0.0,0.0,1.0
330,9.360413969261572e-05,7.635007932549343e-05,0.0047898609191179276,0.004974085837602615,1.0031545162200928,0.0,0.0,1.0
340,7.040792970656185e-05,7.629310130141675e-05,0.004786263220012188,0.004980247467756271,1.003250241279602,0.0,0.0,1.0
350,8.064109188126168e-05,7.638768875040114e-05,0.004785178229212761,0.004972829483449459,1.0033459663391113,0.0,0.0,1.0
360,8.229494433180662e-05,7.630824256921187e-05,0.004783522337675095,0.004976615309715271,1.0034420490264893,0.0,0.0,1.0
370,8.127923738356912e-05,7.638789975317195e-05,0.004783801268786192,0.004970448091626167,1.0035375356674194,0.0,0.0,1.0
380,6.578921347681899e-05,7.63134885346517e-05,0.004784014075994492,0.004971068352460861,1.0036325454711914,0.0,0.0,1.0
390,7.990820613485994e-05,7.627972809132189e-05,0.004784426186233759,0.004975088406354189,1.0037287473678589,0.0,0.0,1.0
400,8.927437884267419e-05,7.632855704287067e-05,0.004783783573657274,0.004966582637280226,1.0038245916366577,0.0,0.0,1.0
410,7.865215502533829e-05,7.627080049132928e-05,0.0047837249003350735,0.004965381231158972,1.0039210319519043,0.0,0.0,1.0
420,7.711989255767548e-05,7.627659215359017e-05,0.004782842006534338,0.004972996190190315,1.0040168762207031,0.0,0.0,1.0
430,7.81611712227459e-05,7.628156890859827e-05,0.004782295320183039,0.004965255036950111,1.0041121244430542,0.0,0.0,1.0
440,9.119094102061354e-05,7.630590698681772e-05,0.004778716713190079,0.004965381231158972,1.0042074918746948,0.0,0.0,1.0
450,7.600454064231599e-05,7.637972157681361e-05,0.004781588912010193,0.004968306515365839,1.004302978515625,0.0,0.0,1.0
460,7.79364128902671e-05,7.631986227352172e-05,0.004778795875608921,0.00496857101097703,1.0043989419937134,0.0,0.0,1.0
470,7.27853042917559e-05,7.62727067922242e-05,0.004779399838298559,0.004965875297784805,1.0044949054718018,0.0,0.0,1.0
480,7.657753030798631e-05,7.630135223735124e-05,0.00478065712377429,0.004963688552379608,1.0045899152755737,0.0,0.0,1.0
490,7.83596853580093e-05,7.628566527273506e-05,0.004779222421348095,0.0049671302549541,1.0046852827072144,0.0,0.0,1.0
500,8.846470518619753e-05,7.618308154633269e-05,0.004777631722390652,0.004964110441505909,1.0047811269760132,0.0,0.0,1.0
