date,h0,h1,h2,h3,h4
2024-09-14,0.4732891,0.6008566,0.47413194,0.5156533,0.5156254
2020-10-18,0.4735056,0.60125744,0.474392,0.5163159,0.51607907
2022-01-30,0.4740519,0.6016649,0.47478116,0.5164953,0.51637363
2024-12-28,0.47410825,0.6016659,0.4746689,0.5165987,0.51640433
2021-07-06,0.4737672,0.60134816,0.4746552,0.51616746,0.5161424
2021-11-08,0.47298497,0.6006417,0.47343034,0.51579505,0.51541847
2024-08-17,0.47321042,0.60082734,0.47407588,0.51568633,0.5156329
2022-11-29,0.47262612,0.6001394,0.4733024,0.5150766,0.51484597
2021-05-28,0.47367087,0.59995776,0.474377,0.5164107,0.51591396
2024-02-23,0.472038,0.5998327,0.47384334,0.51468486,0.51446676
2023-02-23,0.47261888,0.60015357,0.47342327,0.5151679,0.5149675
2021-06-08,0.4736599,0.60129654,0.47432542,0.51620585,0.5160566
2019-08-15,0.473127,0.60076094,0.47385073,0.5155825,0.5156051
2023-06-16,0.4732057,0.60089564,0.47432035,0.5156568,0.51571786
2019-06-01,0.4731192,0.59877944,0.4737759,0.5158309,0.5152008
2021-08-31,0.4735977,0.60112166,0.4742022,0.516229,0.51581204
2024-12-29,0.47411615,0.6016837,0.47470537,0.51659125,0.516412
2023-08-24,0.47241277,0.5999518,0.47316986,0.5148853,0.5146481
2019-06-25,0.47238052,0.599772,0.4728899,0.51478356,0.5147745
2024-11-20,0.47391182,0.6013967,0.474463,0.51646364,0.51627886
2020-07-15,0.4734019,0.6009714,0.47419477,0.5158374,0.51579595
2019-10-18,0.47350195,0.6012008,0.4744199,0.51615626,0.5160047
2023-04-04,0.47354516,0.6011021,0.4744186,0.5159832,0.5159111
2022-09-09,0.4722911,0.5999789,0.4729284,0.51457006,0.5146662
2023-05-04,0.47400624,0.601585,0.4747621,0.51649654,0.516359
2023-06-28,0.4731522,0.6007417,0.4740795,0.5155318,0.515629
2022-01-01,0.47408694,0.6017433,0.4748592,0.51656264,0.5164558
2024-05-07,0.4740873,0.6011402,0.47425932,0.5165232,0.5167807
2020-05-29,0.47343323,0.6010669,0.47427434,0.51591736,0.51594204
2019-11-07,0.47394165,0.6016227,0.47477588,0.51648235,0.5163795
2023-11-27,0.4739212,0.60153913,0.47464597,0.5164308,0.5162791
2020-06-24,0.47139865,0.5991257,0.47133604,0.51481724,0.51406723
2019-08-31,0.471992,0.59943247,0.47239366,0.5141308,0.5145822
2023-07-21,0.47326612,0.6008495,0.4741279,0.51568514,0.5156697
2024-07-31,0.47352964,0.60120416,0.4744266,0.5160726,0.51601326
2020-02-02,0.47406304,0.6015698,0.47472116,0.51649576,0.5164478
2020-11-18,0.47393543,0.6015643,0.4747762,0.5164192,0.5163211
2024-12-15,0.47409898,0.6016716,0.47470227,0.51659214,0.5164288
2020-04-01,0.47360814,0.601249,0.47443947,0.51591736,0.51590097
2022-03-23,0.47345653,0.6011756,0.47436425,0.5157948,0.5158288
2021-06-23,0.47342926,0.6012333,0.4743196,0.51594967,0.5159744
2023-08-07,0.47318593,0.6007579,0.47399125,0.5156171,0.51554257
2020-07-20,0.47345224,0.6011127,0.4743772,0.5159379,0.51586825
2021-03-18,0.47321936,0.6007525,0.47400582,0.51550907,0.5154651
2021-05-30,0.4734595,0.5995269,0.47422454,0.5162807,0.515724
2024-06-07,0.4734701,0.6010979,0.47435278,0.51592964,0.5158618
2021-08-08,0.47365013,0.5995548,0.47348794,0.5154588,0.5146918
2020-06-08,0.47382623,0.6015781,0.4746723,0.516313,0.5163006
2022-06-15,0.4731791,0.6007029,0.47401845,0.51543206,0.515587
2020-02-13,0.47404647,0.6013814,0.47456628,0.51643926,0.5164606
2023-01-19,0.47224697,0.599723,0.47266304,0.514791,0.51439774
2020-06-10,0.47385556,0.6015156,0.4746609,0.5163115,0.5162588
2024-06-22,0.4733053,0.600786,0.47429472,0.51591635,0.515704
2024-05-25,0.4730036,0.60094225,0.47382134,0.5155382,0.51547503
2021-11-01,0.47232595,0.5998979,0.472411,0.5155365,0.5148341
2021-08-30,0.47356018,0.6010844,0.47420657,0.5161577,0.51582366
2024-08-14,0.47351885,0.6011445,0.47433752,0.51599586,0.51592267
2024-03-07,0.47320473,0.600814,0.47387075,0.51555943,0.5153314
2024-04-10,0.4738336,0.6015003,0.4745988,0.5163195,0.5162214
2022-08-17,0.4716992,0.59933645,0.4721698,0.5143535,0.51427
2021-03-27,0.47102845,0.598213,0.47175437,0.5132817,0.513074
2024-10-10,0.47345588,0.6009274,0.47419286,0.515983,0.51581544
2021-11-13,0.47348785,0.6011642,0.47423744,0.51600814,0.5158778
2021-08-18,0.47384623,0.60147,0.474504,0.51637626,0.51624745
2023-08-12,0.4722893,0.5998323,0.47309265,0.5147462,0.5145931
2024-09-05,0.47279885,0.60041577,0.47371015,0.5152746,0.5151823
2019-04-14,0.47357595,0.60116756,0.47443637,0.51598006,0.51597583
2019-05-23,0.4736986,0.6011681,0.4743312,0.5161647,0.51614714
2023-10-10,0.47170576,0.59925073,0.47297618,0.5140985,0.5139292
2020-11-04,0.47401252,0.60166144,0.47483543,0.51649654,0.516425
2023-03-28,0.47343493,0.6010493,0.47433528,0.5159076,0.51582366
2021-02-22,0.47399992,0.601589,0.47474214,0.5163932,0.51631916
2024-09-29,0.47292358,0.60047686,0.47392014,0.51552016,0.5157902
2024-05-18,0.47022298,0.59748006,0.47099763,0.5124924,0.5125667
2020-05-31,0.47276768,0.60034734,0.47362235,0.5152188,0.5152601
2023-05-27,0.4737468,0.6015573,0.4744916,0.5162673,0.5161197
2024-12-04,0.47405887,0.6015872,0.474616,0.5165841,0.5163975
2024-07-23,0.47156456,0.59905833,0.47244278,0.51413566,0.51420003
2021-12-05,0.47383565,0.60148007,0.47456154,0.5163347,0.51618177
2022-08-23,0.4699813,0.5973151,0.46945375,0.5126136,0.51288664
2020-01-04,0.47413817,0.60176605,0.47488517,0.5166011,0.51649123
2019-07-17,0.47349724,0.6011386,0.47421154,0.5160023,0.51591647
2024-05-11,0.47402927,0.60096514,0.47407836,0.5165053,0.51681507
2023-08-10,0.47294235,0.60049295,0.47367078,0.51538163,0.5152424
2024-05-09,0.47403136,0.60149467,0.47446835,0.51653165,0.51636827
2019-11-18,0.47403127,0.60168445,0.4748036,0.5165132,0.5164256
2022-05-12,0.4737356,0.6012316,0.474423,0.51612675,0.5160314
2019-11-05,0.47389784,0.6015818,0.47472516,0.51645625,0.51635957
2024-05-21,0.47143367,0.5990833,0.4723431,0.51383895,0.5138583
