,h0,h1,h2,h3,h4
aphanizomenon,-0.12617424,-0.019852594,-0.4631271,0.07319967,0.023343312
askenasia,-0.084762014,-0.08159538,-0.03246643,-0.18389913,-0.035411272
asplanchna,-0.37407097,0.34906328,-0.0127042625,-0.101058796,0.15947175
asterionella,-0.019716207,-0.152717,-0.018664638,0.002613939,-0.035008665
aulacoseira,-0.01621709,-0.018942418,-0.016689459,-0.01684927,-0.017380983
bosmina,-0.033736046,0.34428144,0.09647314,-0.049117483,-0.20593317
centric_diatom,-0.067311175,-0.15887484,-0.16031063,-0.15163791,-0.17885658
ceratium,-0.17554627,-0.16847605,-0.055778846,0.035575155,0.19803181
chaoborus,-0.0008463168,0.08940009,0.34111828,0.1447323,-0.03267523
chlorophyte,-0.063205376,-0.078093976,-0.0672498,-0.0678208,-0.066721834
chlorophyte_colonial_dividing,-0.09605546,-0.11296771,-0.09471895,-0.104406714,-0.10104938
chlorophyte_elongated,0.040314306,-0.12510665,-0.08157069,-0.11908699,0.106247425
chlorophyte_frame,0.07330772,0.05263127,0.111385114,-0.17853321,0.018323017
chlorophyte_square,-0.16258705,0.05674356,-0.19187282,-0.16930902,-0.043591406
chroococcales,-0.042744637,-0.14555006,-0.16414292,-0.15305161,-0.04562613
chydorus,-0.31770897,0.08155386,0.00020201903,0.07651857,-0.09459271
ciliate,-0.058615133,0.1563061,-0.6531935,0.06789766,8.674969e-05
ciliate_big,0.30278096,7.8649265e-08,0.03523223,0.042610306,-0.042155422
ciliate_blue,-0.0010061682,0.089426436,-0.114578225,-0.06788806,0.020414619
ciliate_green,-0.18317154,-0.004941032,-0.29009306,-0.17183155,-0.081553295
ciliate_round,0.013479763,0.0018276465,0.12108273,0.18482931,-0.3245192
closterium,0.01152027,0.05334666,-0.1788014,0.043763865,-0.10633515
coelastrum_reticulatum,-0.39456925,-0.057225972,0.33854258,0.066557094,0.18120266
coelosphaerium,-0.23443599,-0.021126153,-0.24459851,0.27890947,0.011423436
coleps,0.4561304,-0.18418731,0.35968506,-0.041889265,-0.17974018
collotheca,-0.0026322524,-0.02124608,-0.0013051133,-0.19314888,-0.07476391
conochilus,-0.11316648,0.4489445,-0.2687951,0.27800936,-0.4154406
cosmarium,-0.1430671,0.062025286,-0.12322115,-0.017039504,-0.04474073
cryptophyte,-0.048598994,-0.060036324,-0.048447307,-0.051817033,-0.05201606
cyanobacteria_colonial_blue,-0.06350665,-0.11540355,0.025630021,-0.15105829,-0.13692111
cyanobacteria_colonial_clathrate,-0.036533535,0.020312203,0.0009769745,-0.2912467,-0.0072326856
cyanobacteria_colonial_probably,-0.13594912,-0.10521595,-0.09467543,-0.108194225,-0.1542609
cyanobacteria_filamentous,-0.04276749,-0.14450291,-0.20245214,0.017008074,-0.047120683
cyclops,-0.12920646,-0.23509333,0.0005954269,-0.140371,-0.06933696
daphnia,-0.08484973,-0.037588462,-0.33160642,0.0086867865,-0.2029745
daphnia_cucullata,0.3215322,0.020103494,-0.08677225,0.09539208,0.02926094
diaphanosoma,-0.26520357,0.39401862,-0.20736577,0.06280675,-0.122278236
didinium,0.13285741,-0.16693552,-0.013910714,0.033969022,0.03868196
dinobryon,-0.045741007,-0.054355938,-0.04487126,-0.04759815,-0.046852972
dinoflagellate_diamond,-0.0906033,0.0155197065,-0.0036583897,-0.23090114,-0.105537266
dolichospermum,-0.029032947,-0.23383808,-0.16816942,0.00458106,-0.082003914
eudiaptomus,-0.3837578,-0.09755616,-0.024362499,0.008187204,0.16398823
fragilaria,-0.16525708,-0.15934718,-0.23051076,-0.0833985,-0.14389582
gonium,-0.2579771,-0.3385159,0.20902278,-0.025532126,-0.09817301
gymnodinium,-0.041203424,-0.16652514,0.25111338,-0.010818565,0.035529528
kellicottia,0.03438242,-0.41679326,0.056171488,0.1851261,0.089020096
keratella_cochlearis,0.05424588,0.23777206,0.015019841,-0.35883996,0.10585459
keratella_quadrata,0.0014911682,0.11675981,0.0180327,-0.1383483,-0.026705125
leptodora,-0.51432234,0.023513276,0.02841575,-0.044739444,0.0043471726
limnoraphis,-0.5044068,0.00939082,-0.40423554,0.23545921,-0.10550683
mallomonas_akrokomos,0.14541686,-0.3754106,-0.2688085,0.14846559,0.5015685
mallomonas_big,-0.1789154,-0.032106943,0.08331141,-0.09777489,-0.13135535
nauplius,-0.1892339,-0.05926372,-0.08587237,-0.13556305,-0.11342336
oocystaceae,-0.10402997,-0.11663534,-0.096304044,-0.1028029,-0.1065882
pandorina,-0.07931558,-0.34082818,0.020783838,-0.17747797,-0.011331327
paradileptus,0.08089882,0.02638516,-0.12040839,0.12986702,-0.1902312
pediastrum,0.006463329,-0.2462849,-0.102952085,0.2462035,-0.12152377
pennate_diatom,0.08992337,-0.1503934,-0.07573073,0.03356118,-0.15028557
peridinium,0.069348365,-0.2845054,-0.06891711,-0.085168034,0.013420503
phacotus,-0.12799299,-0.06450668,0.2526881,0.062403247,-0.0402584
plankton_x,0.43428937,-0.04539518,-0.37649065,-0.08241706,-0.23617831
plankton_y,0.2500119,0.07905281,-0.12296084,-0.07043189,-0.18800688
plankton_z,-0.14451925,0.13580269,0.2686127,-0.32226777,0.20922479
planktosphaeria,-0.16144921,-0.0048095547,0.36538157,-0.18083218,-0.15183982
polyarthra,0.24496602,0.14502488,0.014485235,0.08578065,-0.048227135
protist_like_ciliate,-0.1339205,0.0031558922,0.23070984,0.047549386,-0.11368846
rhodomonas,-0.1373373,-0.16881402,-0.15416686,-0.14140548,-0.1599366
rotifer,-0.107412234,-0.18745406,-0.113160744,-0.13497142,-0.11628117
rotifer_long,-0.27806994,-0.08588265,0.12114019,-0.07605052,-0.10982838
rotifer_z,0.23958004,-0.18369366,-0.10454436,0.39368427,0.044281043
scenedesmus,-0.023472281,-0.07231468,-0.023848489,0.032314416,-0.16755515
snowella,-0.084078245,0.30011052,-0.09728672,0.16059265,-0.10253199
staurastrum,-0.023295322,-0.011328966,-0.069599256,0.041700862,0.053434495
strombidium,-0.4033375,0.17639497,-0.07910111,-0.073835656,0.09533712
synchaeta,-0.016967727,0.12260388,-0.13845286,0.08329524,-0.20077732
synedra,-0.050994556,-0.0047140783,-0.19885288,-0.26307938,-0.011866586
synedra_angustissima,-0.20446698,0.032253526,0.0120453555,-0.046783056,-0.031117918
synura,0.024646405,-0.1622637,-0.15305497,-0.07847992,-0.07080765
tetraedron,-0.18550828,0.1429423,-0.053815015,0.12216521,-0.05840237
tintinnid,0.079964645,0.049767364,0.14418323,-0.222335,-0.03344818
trichocerca,0.21852149,0.0614521,0.062554665,-0.083897635,0.09334578
uroglena,-0.11444104,-0.14013493,-0.17651981,-0.11157893,-0.093873136
vorticella_epistylis_like,-0.05912653,-0.007999348,-0.01932775,-0.10563147,0.10371072
