,h0,h1,h2,h3,h4
aphanizomenon,-1.0218495,0.15798952,0.40132326,1.3976316,-0.45836726
askenasia,-0.5423179,0.43735427,-1.1584513,0.49176505,-0.1926785
asplanchna,-1.7914436,1.3528472,-0.039907042,-0.7342743,-0.31059408
asterionella,-1.7539387,-2.744234,-1.9599745,0.7248137,-2.0466604
aulacoseira,-1.0879939,-2.2367945,3.164287,0.26224768,-2.3009236
bosmina,-0.22447765,-0.3606052,1.046877,-0.32428205,0.76562846
centric_diatom,1.9764591,-0.93345577,-0.33006445,-1.0381044,-0.90681136
ceratium,0.22794583,0.24664222,-0.75558394,1.6149454,-0.92104936
chaoborus,-2.3391118,0.4984876,-0.6249924,0.46109402,-0.83085
chlorophyte,-0.7368692,-0.31372613,-1.2702038,0.5375796,0.540488
chlorophyte_colonial_dividing,-1.0231134,-0.14159456,-1.9967517,1.129931,0.5599015
chlorophyte_elongated,-0.99706256,0.45825964,-0.86571014,-0.17647585,-0.038321562
chlorophyte_frame,-1.7678651,0.54307663,-2.139246,0.6086479,0.61860454
chlorophyte_square,-0.72623414,-0.28250864,-1.7733103,1.0547713,0.88765895
chroococcales,-2.8707595,-0.21554315,-4.0457873,0.80026597,1.0899438
chydorus,-3.1957743,-2.7590382,-1.3320254,0.14770035,-0.0822797
ciliate,-0.15860502,0.06720113,0.004828807,-0.71223074,0.39601827
ciliate_big,-2.578003,-1.5667536,1.2948811,1.0729522,-0.6316212
ciliate_blue,-0.77564687,-0.45620826,-0.40284163,0.14820868,0.09915417
ciliate_green,-1.5506932,0.78804636,-1.4891373,0.60496944,-0.7300272
ciliate_round,0.19813253,-1.3014256,-0.7138559,-0.4076193,-0.324248
closterium,0.45688817,-0.9989183,-0.3694475,0.82873297,-0.6772342
coelastrum_reticulatum,-0.7617329,-2.0195274,-0.96336466,2.2834156,0.18688281
coelosphaerium,-5.534514,-0.6158685,-4.6257586,1.0671756,0.63541883
coleps,-1.4356298,-1.3122499,-1.5675553,0.76560026,-0.058870167
collotheca,-2.2939794,-0.12615132,-1.9052234,1.0641804,-0.28326982
conochilus,-1.5429405,1.1966734,0.09348165,-1.1954442,-1.1560265
cosmarium,-0.20437364,-0.05696971,-1.8890036,0.91357815,0.08649222
cryptophyte,-1.1864156,0.0065054046,0.039898902,-0.19131,0.52961284
cyanobacteria_colonial_blue,-1.5693197,-0.4539839,-2.0692928,1.2439064,0.3396067
cyanobacteria_colonial_clathrate,-4.0049696,-0.35392728,-1.7689556,2.4657035,-1.0151807
cyanobacteria_colonial_probably,-2.8960278,-1.0471826,-2.5045571,1.4087406,0.75177443
cyanobacteria_filamentous,-2.398569,-2.2042298,-1.1166134,0.34834474,-2.0746794
cyclops,-0.9079156,0.37559912,-0.32222632,0.15613411,0.19390295
daphnia,-1.982787,0.1771498,0.5833799,0.73331213,-0.21960048
daphnia_cucullata,-4.9343467,-1.8397036,-1.6174015,1.0146756,-0.40477622
diaphanosoma,-4.918157,-0.25650683,-3.6474462,0.83831173,0.800623
didinium,0.9213013,-0.27530473,-1.2298821,0.29623467,-0.18165268
dinobryon,-2.7334378,1.0446122,-2.895558,1.5298086,-2.005189
dinoflagellate_diamond,0.27871495,-2.1097803,1.006183,-1.6168315,1.1702037
dolichospermum,-1.5862023,-0.8320208,-0.30488303,1.1306038,-1.5258447
eudiaptomus,-0.2903817,-0.035657763,-0.023930542,-0.033947352,-0.085518606
fragilaria,-1.233527,-0.42388463,-0.86024624,2.554461,-2.7651336
gonium,-4.2906117,0.64104295,-3.9182515,0.64615667,0.03707758
gymnodinium,-0.20148319,-0.4542221,-0.3850538,-0.13858326,0.19506861
kellicottia,-0.24940173,0.24365708,0.19244269,-0.5318073,-0.14778039
keratella_cochlearis,0.12767461,0.28520018,-0.6503587,0.5756496,-0.4581961
keratella_quadrata,-0.8498593,1.2061136,0.27203763,0.0343048,-1.0395813
leptodora,-4.5041857,-0.64265925,-0.24332318,1.3777303,0.20572227
limnoraphis,-4.21041,-1.9239482,-1.6503834,0.5883837,-0.094695106
mallomonas_akrokomos,0.4866142,0.6271612,-0.35598046,-1.0371476,0.09791522
mallomonas_big,-0.01261165,-0.78448117,-1.5655714,0.53611463,-0.7664322
nauplius,-0.92494386,0.5786364,-0.01239385,-0.41350845,0.120966874
oocystaceae,-1.9078987,-1.354117,-2.0835357,0.9149257,1.0537398
pandorina,-0.0074212486,-0.10379651,-0.12257658,0.6108265,-0.48972204
paradileptus,-0.39129853,-0.4037177,-0.6458226,1.7717875,-0.97822416
pediastrum,-0.8576434,-0.93354887,-1.2047893,1.2688909,0.051673125
pennate_diatom,-1.8320444,-0.251271,-1.2876004,-0.83781296,-1.9729627
peridinium,1.4895685,-0.24553639,-1.5327089,0.6144305,0.34698862
phacotus,-1.3676826,-0.027334007,-0.9282528,1.067872,-0.7664125
plankton_x,-0.4554113,0.20428307,-1.5874916,0.09792105,0.59444296
plankton_y,0.87174886,-0.52849436,0.1682566,-0.12537849,0.1428385
plankton_z,-2.2469265,-0.12360666,-3.7273197,-0.030821944,-0.39350405
planktosphaeria,-0.85497206,-0.17458937,0.561516,0.71111655,-0.9263054
polyarthra,-0.12511814,1.3512161,-0.045311388,-0.74534214,0.4012758
protist_like_ciliate,-0.5918052,-0.1757989,-1.4467176,0.1252444,-0.05762394
rhodomonas,-0.5592393,-0.019737229,0.7138682,-0.7497512,0.5865177
rotifer,-1.0285249,1.1770754,-0.36586317,-0.17356573,-0.35088077
rotifer_long,-1.236515,0.6298158,-1.1209029,0.05782357,0.15659405
rotifer_z,-1.3744808,1.0279015,-2.8572848,0.63561594,-0.12331461
scenedesmus,-1.3166265,-0.676918,-2.0211103,1.3897309,-0.028768774
snowella,-5.922782,-0.82724994,-4.8939867,-4.2225375,1.9690176
staurastrum,0.049656425,-0.44921908,-1.0982907,0.6501982,-0.15253149
strombidium,0.14706874,0.19530857,-0.53808254,-0.132709,0.35284385
synchaeta,-0.4554278,0.40206426,0.24979442,-0.7911068,-1.1094569
synedra,-1.8889859,0.47472033,-0.8034555,0.12879746,-1.0869001
synedra_angustissima,-0.9649488,-2.2682192,0.57996494,0.24996442,-1.4831034
synura,-1.8188294,-0.56533766,-1.1292446,0.6468945,-1.5477897
tetraedron,-0.8158028,-0.46748233,-1.4603889,0.7392861,0.7592481
tintinnid,0.34790725,-0.43622023,0.14514682,-0.13689181,0.021201126
trichocerca,-0.03382878,0.42410854,-0.6985011,0.7464911,0.54636353
uroglena,-0.9299688,2.6681397,-1.3331349,2.48074,0.45644695
vorticella_epistylis_like,1.0403045,-0.9065603,-0.47654825,0.29700592,-0.021930885
