,h0,h1,h2,h3,h4
aphanizomenon,-0.84950787,-1.2445651,-1.9226063,1.0866947,0.35260656
askenasia,-0.5625684,-0.8469298,-0.77804804,-0.591826,-0.7662565
asplanchna,-0.29070988,-0.7784926,0.39383996,2.2777147,-2.0915506
asterionella,-3.6734881,-0.04122191,0.82305473,0.7507418,-0.61375797
aulacoseira,-1.0853555,-0.33382505,-0.7365215,0.40934658,2.7508721
bosmina,1.0700375,-0.19840792,0.20774525,-0.28404263,0.98901194
centric_diatom,-1.6722354,-0.019238299,1.1002909,0.592837,1.3675703
ceratium,-1.3625412,-4.545717,-3.6571898,0.39364448,2.308038
chaoborus,0.060598936,-0.78541535,-1.6170906,0.22322696,-0.45148954
chlorophyte,-6.5017567,-5.9187045,1.5911425,-2.0291774,-2.9962785
chlorophyte_colonial_dividing,-2.4629664,-3.332559,-0.61580896,-3.123203,-5.183825
chlorophyte_elongated,0.20852423,-0.17394781,0.25277263,-0.9804041,-2.6704392
chlorophyte_frame,-1.0754426,-3.1602516,-0.36844343,-2.3651655,-2.6505492
chlorophyte_square,-2.8586597,-2.153343,0.53804535,-3.9262898,-2.9727685
chroococcales,-1.2100283,-0.48724005,-0.75758916,-3.3516805,-1.1902789
chydorus,0.3297294,0.46712714,-1.3839774,-0.16637474,-0.016829424
ciliate,0.20915115,-0.9662329,0.9398726,-0.21867193,0.10767198
ciliate_big,-1.0782951,-2.729512,-3.6970909,0.53037125,2.8654604
ciliate_blue,-0.23639928,0.18925054,-0.21295127,-2.18558,0.5469805
ciliate_green,0.04238971,-2.1266549,-3.0463722,0.47982004,-2.4229615
ciliate_round,-1.153503,-0.2893657,0.19763994,0.20809878,0.7281786
closterium,-2.5886996,2.0203896,-0.17832895,-1.0380015,1.6167525
coelastrum_reticulatum,-1.3694005,1.6773608,-1.2286015,-0.87503076,-0.29922634
coelosphaerium,-0.84828115,-0.4128835,-1.5366244,-2.304469,-1.02745
coleps,-1.7291834,1.5981805,-0.37717023,-1.4677243,0.051442087
